fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
cruzandolameta,"VIII CARRERA SOLIDARIA ""JAIME JIMÉNEZ""",2019-07-27,Sábado,10.0,road running,Absoluta/General,11,47,Cantoria,Valle del Almanzora,Almería,0,976,10 Km
cruzandolameta,TRAVESÍA A NADO DE MOJÁCAR 2019,2019-07-27,Sábado,0.0,Otros,Absoluta/General,7,14,Mojácar,,Almería,0,1012,Varias
cruzandolameta,CARRERA POPULAR DE TURRE 2019,2019-07-20,Sábado,8.0,road running,Absoluta/General,3,11,Turre,,Almería,0,942,8 Km
cruzandolameta,VIII CARRERA NOCTURNA CIUDAD DE BALERMA,2019-07-20,Sábado,4.5,road running,Absoluta/General,46,157,"Ejido, El",,Almería,0,982,"9 o 4,5 Km"
cruzandolameta,TRAVESÍA A NADO CARBONERAS 2019,2019-07-20,Sábado,0.0,Otros,Absoluta/General,6,13,Carboneras,,Almería,0,1011,Varias
cruzandolameta,CARRERA POPULAR DE CUEVAS DEL ALMANZORA 2019,2019-07-13,Sábado,6.9,road running,Absoluta/General,6,12,Cuevas del Almanzora,,Almería,0,941,"6,9 Km"
cruzandolameta,IX MEDIA MARATON CALAR ALTO,2019-07-07,Domingo,21.0,trail running,Absoluta/General,45,306,Gérgal,,Almería,0,905,21 Km
cruzandolameta,ALMERISWIM 2019,2019-07-07,Domingo,10.0,Otros,Absoluta/General,2,12,"Ejido, El",,Almería,0,999,10K y 5K
cruzandolameta,CARRERA POPULAR DE MACAEL 2019,2019-06-29,Sábado,10.04,road running,Absoluta/General,3,6,Macael,Valle del Almanzora,Almería,0,940,"10,04 Km"
cruzandolameta,II CARRERA-MARCHA SOLIDARIA A FAVOR DEL SÍNDROME DE ASPERGER,2019-06-16,Domingo,5.0,road running,Absoluta/General,178,189,Roquetas de Mar,,Almería,0,963,5 Km
cruzandolameta,CARRERA POPULAR DE SORBAS 2019,2019-06-15,Sábado,10.5,road running,Absoluta/General,1,14,Sorbas,,Almería,0,939,"10,5 Km"
cruzandolameta,OPEN BTT VILLA DE CÁDIAR 2019,2019-06-09,Domingo,40.0,Ciclismo y btt,Absoluta/General,5,53,Cádiar,Comarca de la Alpujarra Granadina,Granada,0,962,40K
cruzandolameta,VIII PRUEBA CICLISTA BTT SENDA DE ARRIEROS,2019-06-09,Domingo,52.0,Ciclismo y btt,Absoluta/General,3,103,Albox,Valle del Almanzora,Almería,0,984,63 o 52 Km
cruzandolameta,CARRERA POPULAR DE SERÓN 2019,2019-06-08,Sábado,10.0,road running,Absoluta/General,3,5,Serón,Valle del Almanzora,Almería,0,938,10 Km
cruzandolameta,VI CARRERA SOLIDARIA POR LAS ENFERMEDADES POCO FRECUENTES,2019-06-02,Domingo,0.0,road running,Absoluta/General,169,124,Almería,,Almería,0,928,Varias
cruzandolameta,II CARRERA POPULAR TORRENUEVA COSTA,2019-06-02,Domingo,8.0,road running,Absoluta/General,9,12,Torrenueva Costa,Comarca de la Costa Granadina,Granada,0,959,8 Km
cruzandolameta,V MARCHA INTERNACIONAL SIERRAS DE LAS ALPUJARRAS LA INDOMABLE,2019-06-01,Sábado,120.0,Ciclismo y btt,Absoluta/General,19,267,Berja,,Almería,0,853,197 o 120 Km
cruzandolameta,VIII CARRERA SOLIDARIA CROSS COLOR ROQUETAS,2019-06-01,Sábado,6.0,road running,Absoluta/General,314,271,Roquetas de Mar,,Almería,0,908,6 Km
cruzandolameta,CARRERA POPULAR DE ANTAS 2019,2019-06-01,Sábado,8.0,road running,Absoluta/General,4,10,Antas,,Almería,0,937,8km
cruzandolameta,ULTRA-TRI SPAIN 2019 - DÍA 3,2019-05-25,Sábado,84.0,Multidisciplina,Absoluta/General,1,22,Motril,Comarca de la Costa Granadina,Granada,0,846,10-421-84 Km
cruzandolameta,CARRERA POPULAR DE BÉDAR 2019,2019-05-25,Sábado,10.0,road running,Absoluta/General,4,2,Bédar,,Almería,0,936,10 Km
cruzandolameta,XVI MARCHA CICLOTURISTA JUAN MARTINEZ OLIVER - LAS 4 CIMAS,2019-05-19,Domingo,160.0,Ciclismo y btt,Absoluta/General,1,31,Gérgal,,Almería,0,876,160 Km
cruzandolameta,IV CxM SIERRO,2019-05-19,Domingo,12.0,trail running,Absoluta/General,15,100,Sierro,Valle del Almanzora,Almería,0,886,25 o 12 Km
cruzandolameta,"III CARRERA SOLIDARIA ""RUN SEK FOR SIYAKULA""",2019-05-19,Domingo,0.0,road running,Absoluta/General,24,56,"Ejido, El",,Almería,0,913,Varias
cruzandolameta,II SAMOA RACE - CARRERA DE OBSTACULOS,2019-05-19,Domingo,8.0,Otros,Absoluta/General,82,145,Cogollos de la Vega,Comarca de la Vega de Granada,Granada,0,922,8 Km + 25 Obst.
cruzandolameta,III MTB CUMBRES DEL POLJE,2019-05-19,Domingo,46.0,Ciclismo y btt,Absoluta/General,8,340,Zafarraya,Comarca de Alhama,Granada,0,925,46 Km
cruzandolameta,"XIV CARRERA FUERZAS ARMADAS 2019 ""LAS DOS COLINAS""",2019-05-19,Domingo,12.85,road running,Absoluta/General,495,2143,Granada,Comarca de la Vega de Granada,Granada,0,951,"12,85 km"
cruzandolameta,VI CARRERA DE LA MUJER DE EL EJIDO,2019-05-12,Domingo,6.0,road running,Absoluta/General,164,70,"Ejido, El",,Almería,0,953,3 ó 6 km
cruzandolameta,XVII CARRERA POPULAR POR LA CONVIVENCIA,2019-05-12,Domingo,3.5,road running,Absoluta/General,64,144,Almería,,Almería,0,970,"7 o 3,5 km"
cruzandolameta,1ª CARRERA BASE AÉREA LOS VOLANTONES,2019-05-11,Sábado,5.0,road running,Absoluta/General,53,250,Armilla,Comarca de la Vega de Granada,Granada,0,915,10 o 5 K
cruzandolameta,CxM DE LA ROSQUILLA 2019,2019-05-11,Sábado,11.7,trail running,Absoluta/General,10,84,Alhama de Almería,,Almería,0,960,"22 u 11,7 Km"
cruzandolameta,7ª CARRERA POPULAR UNIVERSIDAD DE ALMERIA,2019-05-05,Domingo,10.0,road running,Infantil,26,138,Almería,,Almería,0,896,10K o 5K y Carrera Infantil
cruzandolameta,III DESAFÍO PLAYA DE LOS MUERTOS - FARO MESA ROLDAN,2019-05-05,Domingo,7.0,trail running,Absoluta/General,47,134,Carboneras,,Almería,0,897,"9,5 o 7 Km"
cruzandolameta,"VIII CARRERA POPULAR ""FRANCISCO MONTOYA"" (LAS NORIAS DE DAZA)",2019-05-05,Domingo,10.0,road running,Infantil,5,2,"Ejido, El",,Almería,0,916,5 o 10 Km y Carreras Infantiles
cruzandolameta,OPEN MTB PUERTA DE LA ALPUJARRA 2019,2019-05-05,Domingo,21.097,Ciclismo y btt,Absoluta/General,13,540,Lanjarón,Comarca de la Alpujarra Granadina,Granada,0,919,CRI + Media Maraton
cruzandolameta,VII CARRERA POPULAR DEL HORNAZO,2019-05-01,Miércoles,6.0,road running,Absoluta/General,21,43,Cádiar,Comarca de la Alpujarra Granadina,Granada,0,932,Carrera 10 o 6 Km - Caminata 7 Km
cruzandolameta,IX MARCHA GRAN FONDO GUAD AL XENIL,2019-04-27,Sábado,147.6,Ciclismo y btt,Absoluta/General,9,401,Lecrín,Comarca del Valle de Lecrín,Granada,0,848,"147,6 Km"
cruzandolameta,"I MARATÓN BTT SIERRA DE GÁDOR ""LA INDOMABLE""",2019-04-27,Sábado,47.0,Ciclismo y btt,Absoluta/General,8,384,Berja,,Almería,0,891,105 o 47 Km
cruzandolameta,37 EDP MEDIA MARATON CIUDAD DE GRANADA y 1/4 de MARATÓN ALBAICÍN - ALHAMBRA,2019-04-27,Sábado,21.0,road running,Absoluta/General,413,2578,Granada,Comarca de la Vega de Granada,Granada,0,961,21 Km
cruzandolameta,CARRERAS EN FAMILIA - MEDIA MARATÓN CIUDAD DE GRANADA,2019-04-27,Sábado,0.0,road running,Absoluta/General,10,1,Granada,Comarca de la Vega de Granada,Granada,0,964,Varias
cruzandolameta,IV MEDIO MARATÓN Y 11K VEGAS DEL GENIL,2019-04-14,Domingo,21.0,road running,Absoluta/General,19,150,Vegas del Genil,Comarca de la Vega de Granada,Granada,0,900,21K Y 11K
cruzandolameta,2ª MTB LAS LINDES,2019-04-14,Domingo,10.9,Ciclismo y btt,Absoluta/General,2,59,Huétor Vega,Comarca de la Vega de Granada,Granada,0,924,"10,9 Km/vuelta"
cruzandolameta,CARRERA POPULAR DE RIOJA 2019,2019-04-13,Sábado,10.0,road running,Absoluta/General,4,6,Rioja,,Almería,0,935,10 Km
cruzandolameta,IV CARRERA AZUL POR EL AUTISMO,2019-04-07,Domingo,5.0,road running,Absoluta/General,319,288,Santa Fe,Comarca de la Vega de Granada,Granada,0,889,5 Km
cruzandolameta,XIII 10 KM PUERTO DE ALMERIA,2019-04-07,Domingo,10.0,road running,Absoluta/General,123,471,Almería,,Almería,0,904,10 Km
cruzandolameta,2ª SUBIDA AL FIN DEL MUNDO,2019-04-07,Domingo,0.0,trail running,Absoluta/General,16,12,Guadix,Comarca de Guadix,Granada,0,956,Varias
cruzandolameta,"XV MARATÓN MTB ""GUZMÁN EL BUENO""",2019-04-06,Sábado,105.0,Ciclismo y btt,Absoluta/General,62,2340,Córdoba,,Córdoba,0,784,105 Km
cruzandolameta,X RUTA DE LAS FORTALEZAS - GENERAL,2019-04-06,Sábado,53.0,road running,Absoluta/General,662,2477,Cartagena,Campo de Cartagena y Mar Menor,Murcia,0,878,53 Km
cruzandolameta,X RUTA DE LAS FORTALEZAS - JUVENIL,2019-04-06,Sábado,14.4,road running,Absoluta/General,12,33,Cartagena,Campo de Cartagena y Mar Menor,Murcia,0,880,"14,4 Km"
cruzandolameta,X RUTA DE LAS FORTALEZAS - PROMO,2019-04-06,Sábado,14.4,road running,Absoluta/General,72,50,Cartagena,Campo de Cartagena y Mar Menor,Murcia,0,882,"14,4 Km"
cruzandolameta,CARRERA POPULAR DE ABLA 2019,2019-04-06,Sábado,0.0,road running,Absoluta/General,3,5,Abla,,Almería,0,929,Varias
cruzandolameta,X RUTA DE LAS FORTALEZAS - INFANTIL,2019-04-05,Viernes,2.7,road running,Absoluta/General,152,156,Cartagena,Campo de Cartagena y Mar Menor,Murcia,0,881,"2,7 Km"
cruzandolameta,Iª RUNNER FASHION CARRERA AZUL POR EL AUTISMO 2019,2019-03-31,Domingo,5.0,road running,Absoluta/General,299,331,Almería,,Almería,0,917,5K
cruzandolameta,13 CARRERA POPULAR MEMORIAL PADRE MARCELINO,2019-03-31,Domingo,0.0,road running,Absoluta/General,345,1221,Granada,Comarca de la Vega de Granada,Granada,0,931,Varias
cruzandolameta,IV CARRERA NOCTURNA DE LINARES,2019-03-30,Sábado,6.0,road running,Absoluta/General,48,154,Linares,,Jaén,0,820,6 Km
cruzandolameta,TRAIL DEL ESPARTO 2019,2019-03-24,Domingo,13.7,trail running,Absoluta/General,28,144,Gádor,,Almería,0,895,"22 o 13,7 Km"
cruzandolameta,"VII VUELTA PEDESTRE A LA ZUBIA ""CORRE POR EL PARKINSON""",2019-03-24,Domingo,0.0,road running,Absoluta/General,215,222,"Zubia, La",Comarca de la Vega de Granada,Granada,0,907,Varias
cruzandolameta,KILÓMETRO VERTICAL MÁGINA SKY RACE,2019-03-23,Sábado,1.0,trail running,Absoluta/General,12,85,Albanchez de Mágina,,Jaén,0,949,1Km Vertical
cruzandolameta,V SAN JOSÉ ARRAMBLA,2019-03-17,Domingo,12.0,trail running,Absoluta/General,25,92,Guadix,Comarca de Guadix,Granada,0,819,12 Km
cruzandolameta,VI EXTREME FILABRES TRAIL 2019,2019-03-17,Domingo,12.0,trail running,Absoluta/General,5,46,Serón,Valle del Almanzora,Almería,0,877,"33,5 o 12 Km"
cruzandolameta,XII CARRERA URBANA CIUDAD DE ADRA,2019-03-17,Domingo,10.0,road running,Absoluta/General,24,102,Adra,,Almería,0,888,10K y 5k
cruzandolameta,XLIII MEDIA MARATÓN CIUDAD DE BAZA,2019-03-17,Domingo,10.0,road running,Absoluta/General,77,502,Baza,Comarca de Baza,Granada,0,899,21 y 10 Km
cruzandolameta,LA MOJAQUERA 2019,2019-03-17,Domingo,42.0,Ciclismo y btt,Absoluta/General,3,190,Mojácar,,Almería,0,914,73 y 42 Km
cruzandolameta,II RALLY XC VILLA PADUL - BULL BIKES,2019-03-17,Domingo,0.0,Otros,Absoluta/General,1,6,Padul,Comarca del Valle de Lecrín,Granada,0,926,Varias
cruzandolameta,"XII MEDIA MARATON, 10´5K, 5K Y PROMOCIÓN ESCOLARES ""CIUDAD DE LAS HORTALIZAS"" 2019",2019-03-10,Domingo,21.0,road running,Absoluta/General,18,204,"Ejido, El",,Almería,0,885,21 Km
cruzandolameta,VII CARRERA SOLIDARIA DE LA MUJER CIUDAD DE ALMERÍA,2019-03-10,Domingo,7.5,road running,Infantil,208,35,Almería,,Almería,0,911,"2,5 - 5 - 7,5 Km y carreras infantiles"
cruzandolameta,VII TRAIL ALCORNOCAL SIERRA DE LUJAR,2019-03-03,Domingo,21.0,trail running,Absoluta/General,22,87,Lújar,Comarca de la Costa Granadina,Granada,0,837,21 Km y 10 Km
cruzandolameta,XI TRAIL CABO DE GATA- NIJAR,2019-03-03,Domingo,29.0,trail running,Absoluta/General,24,216,Níjar,,Almería,0,903,29 km
cruzandolameta,VI SUBIDA FUENTE DEL SABUCO,2019-02-28,Jueves,40.0,Ciclismo y btt,Absoluta/General,9,132,Lecrín,Comarca del Valle de Lecrín,Granada,0,887,40 Km
cruzandolameta,XII CxM SIERRA ELVIRA 2019,2019-02-24,Domingo,12.5,trail running,Absoluta/General,32,270,Atarfe,Comarca de la Vega de Granada,Granada,0,854,"31, 16 o 12,5 Km"
cruzandolameta,VII BTT LABRADORES DEL DUC 2019,2019-02-24,Domingo,55.0,Ciclismo y btt,Absoluta/General,10,273,Quéntar,Comarca de la Vega de Granada,Granada,0,918,55 Km
cruzandolameta,IX EDICIÓN 10K RUTA - A.C.D.  BOMBEROS LEVANTE ALMERIENSE 2019 ,2019-02-17,Domingo,10.0,road running,Absoluta/General,27,134,Turre,,Almería,0,856,10 Km
cruzandolameta,IX EDICIÓN MTB -  A.C.D. BOMBEROS LEVANTE ALMERIENSE 2019,2019-02-10,Domingo,40.0,Ciclismo y btt,Absoluta/General,15,517,Turre,,Almería,0,855,40 Km
cruzandolameta,"XXII MEDIO MARATÓN CIUDAD DE ALMERÍA"" (21 Km Homologada por la RFEA) ",2019-02-03,Domingo,21.0,road running,Absoluta/General,306,2119,Almería,,Almería,0,822,21 Km Homologada por la RFEA
cruzandolameta,VIII CXM RUTA DEL CASTILLO,2019-01-27,Domingo,15.0,trail running,Absoluta/General,13,79,Vélez de Benaudalla,Comarca de la Costa Granadina,Granada,0,845,15 Km
cruzandolameta,VI CARRERA POPULAR DEPORTES OLIMPO - RUTA DE LOS SECADEROS,2019-01-27,Domingo,7.0,road running,Infantil,109,308,Cúllar Vega,Comarca de la Vega de Granada,Granada,0,850,"7K, 5K o C.Infantiles"
cruzandolameta,II CASTILLO TRAIL LA CALAHORRA,2019-01-27,Domingo,10.0,trail running,Absoluta/General,28,88,"Calahorra, La",Comarca de Guadix,Granada,0,851,"21,11 o 10 Km"
cruzandolameta,III 10K CARCHUNA - CALAHONDA,2019-01-20,Domingo,5.0,road running,Absoluta/General,32,137,Calahonda,Comarca de la Costa Granadina,Granada,0,831,10 y 5 Km
cruzandolameta,IV LANJARON CAÑON TRAIL,2019-01-13,Domingo,0.0,trail running,Absoluta/General,68,264,Lanjarón,Comarca de la Alpujarra Granadina,Granada,0,833,Varias
cruzandolameta,IX CxM ALICÚN 2019,2019-01-13,Domingo,11.0,trail running,Absoluta/General,17,63,Alicún,,Almería,0,883,11 Km
cruzandolameta,XI SAN SILVESTRE CIUDAD DE ALMERIA,2018-12-30,Domingo,6.0,road running,Absoluta/General,730,1261,Almería,,Almería,0,859,6 Km
cruzandolameta,XXXI CARRERA URBANA SAN SILVESTRE 2018,2018-12-29,Sábado,10.0,road running,Absoluta/General,51,247,"Ejido, El",,Almería,0,832,5 y 10 Km
cruzandolameta,XXIII CARRERA POPULAR SAN SILVESTRE DE BAILÉN,2018-12-29,Sábado,4.7,road running,Absoluta/General,13,23,Bailén,,Jaén,0,835,"2,6 o 4,7 Km"
cruzandolameta,CxM ALHAMBRA & SACROMONTE 2018,2018-12-23,Domingo,12.0,trail running,Absoluta/General,3,49,Granada,Comarca de la Vega de Granada,Granada,0,805,"42, 25 o 12K"
cruzandolameta,TRAIL TERRERAS 2018,2018-12-23,Domingo,16.0,trail running,Absoluta/General,20,87,Benalúa,Comarca de Guadix,Granada,0,821,7 o 16 Km
cruzandolameta,IV SAN SILVESTRE CIUDAD DE PULIANAS 2018,2018-12-23,Domingo,8.0,road running,Absoluta/General,93,150,Pulianas,Comarca de la Vega de Granada,Granada,0,826,8 Km
cruzandolameta,"II CARRERA DE NAVIDAD DE CARBONERAS ""LLANO DE DON ANTONIO""",2018-12-23,Domingo,5.0,road running,Absoluta/General,27,71,Carboneras,,Almería,0,829,5K
cruzandolameta,VII CARRERA SOLIDARIA  ONGD SIEMPRE ADELANTE,2018-12-23,Domingo,0.0,road running,Absoluta/General,16,5,Santa Fe,Comarca de la Vega de Granada,Granada,0,847,Varias
cruzandolameta,"VIII SAN SILVESTRE ""SUBIDA AL CASTILLEJO""",2018-12-22,Sábado,8.0,trail running,Absoluta/General,24,103,"Guajares, Los",Comarca del Valle de Lecrín,Granada,0,823,8 Km
cruzandolameta,31º CARRERA NOCTURNA SAN SILVESTRE MOTRIL,2018-12-21,Viernes,0.0,road running,Absoluta/General,28,40,Motril,Comarca de la Costa Granadina,Granada,0,840,Varias
cruzandolameta,27 CARRERA NOCTURNA DE GRANADA,2018-12-21,Viernes,4.5,road running,Absoluta/General,16,14,Granada,Comarca de la Vega de Granada,Granada,0,857,"4,5 K"
cruzandolameta,XIX SUBIDA PEDESTRE AL CONJURO,2018-12-16,Domingo,17.8,road running,Absoluta/General,24,161,Motril,Comarca de la Costa Granadina,Granada,0,790,"17,8 Km"
cruzandolameta,7 CARRERA SOLIDARIA DE ALBOLOTE,2018-12-16,Domingo,3.0,road running,Absoluta/General,190,151,Albolote,Comarca de la Vega de Granada,Granada,0,817,3 Km
cruzandolameta,III ALMANZOR TRAIL,2018-12-15,Sábado,11.0,trail running,Absoluta/General,15,58,Torrox,La Axarquía,Málaga,0,813,27 o 11 Km
cruzandolameta,IV CARRERA DE ASPAPROS,2018-12-01,Sábado,0.0,road running,Absoluta/General,12,72,Almería,,Almería,0,843,Varias
cruzandolameta,IV CARRERA SOLIDARIA SAN SILVESTRE CIUDAD DE MARACENA 4S,2018-11-30,Viernes,5.0,road running,Absoluta/General,272,344,Maracena,Comarca de la Vega de Granada,Granada,0,814,5 Km
cruzandolameta,VI CARRERA POPULAR VILLA DE ESCOZNAR,2018-11-25,Domingo,8.5,road running,Absoluta/General,26,75,Illora,Comarca de Loja,Granada,0,825,"8,5 Km"
cruzandolameta,II MEDIA MARATON CIUDAD DE ROQUETAS,2018-11-25,Domingo,21.097,road running,Absoluta/General,74,417,Roquetas de Mar,,Almería,0,838,"21,097 km"
cruzandolameta,VOLCANICA 2018,2018-11-25,Domingo,68.0,Ciclismo y btt,Absoluta/General,8,236,Níjar,,Almería,0,842,68
