nombre_carrera,fecha,categoria,url_base,paginas_leidas,n_masculino,n_femenino,n_desconocido,n_total,n_filas_unicas,n_filas_sin_codigo
XXVI COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,09 ago. 2025,Relevos por equipos mixtos,https://ccnorte.com/resultados/xxvi-copa-asturias-de-natacion-de-aguas-abiertas/relevos-por-equipos-mixtos/1,2,0,0,0,0,29,29
XXVI COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,09 ago. 2025,Individual Femenina (2012 y anteriores),https://ccnorte.com/resultados/xxvi-copa-asturias-de-natacion-de-aguas-abiertas/individual-femenina-2011-y-anteriores/1,3,0,51,0,51,51,0
VI CARREIRA POPULAR VILA DE MEIRA,09 ago. 2025,ABSOLUTA (2009 e anteriores),https://ccnorte.com/resultados/vi-carreira-popular-vila-de-meira/absoluta-2009-e-anteriores/1,4,77,20,0,97,97,0
XXVI COPA ASTURIAS DE NATACIÓN DE AGUAS ABIERTAS,09 ago. 2025,Individual Masculina (2012 y anteriores),https://ccnorte.com/resultados/xxvi-copa-asturias-de-natacion-de-aguas-abiertas/individual-masculina-2011-y-anteriores/1,4,97,0,0,97,97,0
XXX CARREIRA A PÉ - LIRA,09 ago. 2025,8.5Km (2009 e anteriores),https://ccnorte.com/resultados/xxx-carreira-a-pe-lira/10km-2009-e-anteriores/1,7,126,36,0,162,162,0
XLI TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,03 ago. 2025,PERCORRIDO C (2014-2015 e seguintes),https://ccnorte.com/resultados/xli-travesia-a-nado-do-porto-de-vilagarcia/percorrido-c-2014-2015/1,1,12,13,0,25,25,0
XLI TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,03 ago. 2025,PERCORRIDO B (2013 e anteriores),https://ccnorte.com/resultados/xli-travesia-a-nado-do-porto-de-vilagarcia/percorrido-b-2013-e-anteriores/1,3,41,34,0,75,75,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,"POPULAR (sub23, sub45 e +45)/ INFANTIL (2010-2011)",https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/popular-sub23-sub45-e-45-infantil-2010-2011/1,2,20,10,0,30,30,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,ELITE. Puntuable Copa España e Circuito Galego Augas Abertas,https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/elite-puntuable-copa-espana-e-circuito-galego-augas-abertas/1,3,32,23,0,55,55,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,POPULAR (2011 y anteriores)/ALEVIN (2012-2013),https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/alevin-2012-2013/1,1,13,11,0,24,24,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,BENXAMIN (2014-2015),https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/benxamin-2014-2015/1,1,9,9,0,18,18,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,MASTER/POPULAR Puntuable Copa España e Circuito Galego Augas Aberta,https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/master-popular-puntuable-copa-espana-e-circuito-galego-augas-aberta/1,4,51,33,0,84,84,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,PREBENXAMIN (2016 e posteriores),https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/prebenxamin-2016-e-posteriores/1,1,4,1,0,5,5,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,REMUDAS MIXTAS MASTER/POPULAR,https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/remudas-mixtas-master-popular/1,1,0,0,0,0,5,5
XLI TRAVESÍA A NADO DO PORTO DE VILAGARCÍA,03 ago. 2025,PERCORRIDO A (2011 e anteriores),https://ccnorte.com/resultados/xli-travesia-a-nado-do-porto-de-vilagarcia/percorrido-a-2011-e-anteriores/1,6,102,39,0,141,141,0
IX TRAVESÍA VILA DO TEA 2025,02 ago. 2025,REMUDAS MIXTAS ELITE,https://ccnorte.com/resultados/ix-travesia-vila-do-tea-2025/remudas-mixtas-elite/1,1,0,0,0,0,9,9
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,BENJAMIN (2014-2015),https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/benjamin-2014-2015/1,1,13,9,0,22,22,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,PREBENXAMIN (2016-2021),https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/prebenxamin-2016-2021/1,1,6,3,0,9,9,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,ELITE (2011 e anteriores),https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/elite-2011-e-anteriores/1,2,24,21,0,45,45,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,POPULAR (2007 e anteriores),https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/popular-2007-e-anteriores/1,2,25,9,0,34,34,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,PROMOCION INFANTIL ALEVIN,https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/promo-infant-alevin/1,2,25,18,0,43,43,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,ELITE COPA ESPAÑA,https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/elite-copa-espana/1,2,20,15,0,35,35,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,ELITE CTO. GALEGO AUGAS ABERTAS,https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/elite-cto-galego-augas-abertas/1,2,15,13,0,28,28,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,MASTER (2005 e anteriores),https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/master-2005-e-anteriores/1,4,56,31,0,87,87,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,MASTER CTO. GALEGO AUGAS ABERTAS,https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/master-cto-galego-augas-abertas/1,2,18,15,0,33,33,0
III TRAVESIA DO LEREZ CIDADE DE PONTEVEDRA,26 jul. 2025,MASTER COPA ESPAÑA,https://ccnorte.com/resultados/iii-travesia-do-lerez-cidade-de-pontevedra/master-copa-espana/1,3,42,25,0,67,67,0
LIII TRAVESIA AL DIQUE,25 jul. 2025,1200m (2010 y posteriores),https://ccnorte.com/resultados/lii-travesia-al-dique-/1200m-2010-y-posteriores/1,1,10,13,0,23,23,0
LIII TRAVESIA AL DIQUE,25 jul. 2025,1200m (2005 y anteriores),https://ccnorte.com/resultados/lii-travesia-al-dique-/1200m-t/1,2,26,11,0,37,37,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,RELEVO (2X3500m),https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/relevo-2x3500m/1,1,8,2,0,10,13,3
LIII TRAVESIA AL DIQUE,25 jul. 2025,3500 FEMENINA,https://ccnorte.com/resultados/lii-travesia-al-dique-/3500-femenina/1,3,0,68,0,68,68,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,7000m,https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/7000m/1,2,17,9,0,26,26,0
LIII TRAVESIA AL DIQUE,25 jul. 2025,3500 MASCULINA,https://ccnorte.com/resultados/lii-travesia-al-dique-/3500-masculina/1,5,103,0,0,103,103,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,800m,https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/800m/1,2,21,22,0,43,43,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,3500m,https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/3500m/1,3,45,30,0,75,75,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,400m,https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/400m/1,2,22,14,0,36,36,0
III TRAVESÍA DE AGUAS ABIERTAS EMBALSE DE RIAÑO,20 jul. 2025,1500m,https://ccnorte.com/resultados/iii-travesia-de-aguas-abiertas-embalse-de-riano/1500m/1,4,52,45,0,97,97,0
CARREIRA POPULAR CONCELLO DE A PASTORIZA,13 jul. 2025,SUB10 (2016-2017)-SUB12 (2014-2015),https://ccnorte.com/resultados/carreira-popular-concello-de-a-pastoriza/sub10-2016-2017-sub12-/1,1,6,12,0,18,18,0
XV edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2025,13 jul. 2025,Relevos,https://ccnorte.com/resultados/xv-edicion-travesia-a-nado-costa-serena-gran-premio-concello-de-nigran-2025/relevos/1,2,31,0,0,31,31,0
CARREIRA POPULAR CONCELLO DE A PASTORIZA,13 jul. 2025,SUB14 (2012-2013)-SUB16 (2010-2011),https://ccnorte.com/resultados/carreira-popular-concello-de-a-pastoriza/sub14-2012-2013-sub/1,1,10,10,0,20,20,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,CADETE FEMENINA INCLUSIVO,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/cadete-femenina-inclusivo/1,1,0,2,0,2,2,0
XV edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2025,13 jul. 2025,4.000 metros,https://ccnorte.com/resultados/xv-edicion-travesia-a-nado-costa-serena-gran-premio-concello-de-nigran-2025/4000-metros/1,6,112,18,0,130,131,1
XV edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2025,13 jul. 2025,2.700 metros,https://ccnorte.com/resultados/xv-edicion-travesia-a-nado-costa-serena-gran-premio-concello-de-nigran-2025/2700-metros/1,5,81,38,0,119,119,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,BENXAMIN FEMENINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/benxamin-femenina/1,1,0,18,0,18,18,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,BENXAMIN MASCULINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/benxamin-masculina/1,1,22,0,0,22,22,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,ALEVIN FEMENINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/alevin-femenina/1,1,0,15,0,15,15,0
XV edición Travesía a nado Costa Serena-Gran Premio Concello de Nigrán 2025,13 jul. 2025,800 metros,https://ccnorte.com/resultados/xv-edicion-travesia-a-nado-costa-serena-gran-premio-concello-de-nigran-2025/800-metros/1,6,50,76,0,126,126,0
CARREIRA POPULAR CONCELLO DE A PASTORIZA,13 jul. 2025,ABSOLUTA (2009 e anteriores),https://ccnorte.com/resultados/carreira-popular-concello-de-a-pastoriza/absoluta/1,4,75,16,0,91,91,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,INFANTIL FEMENINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/infantil-femenina/1,1,0,21,0,21,21,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,CADETE FEMENINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/cadete-femenina/1,1,0,13,0,13,13,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,ALEVIN MASCULINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/alevin-masculina/1,2,35,0,0,35,35,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,CADETE MASCULINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/cadete-masculina/1,1,18,0,0,18,18,0
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,REMUDA MIXTA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/remuda-mixta/1,1,0,0,0,0,6,6
TRÍATLON DE MENORES CIDADE DE FERROL (CPTO XUNTA DE GALICIA DE TRÍATLON) 2025,12 jul. 2025,INFANTIL MASCULINA,https://ccnorte.com/resultados/triatlon-concello-de-ferrol-cpto-xunta-de-galicia-de-triatlon-2025/infantil-masculina/1,2,35,0,0,35,35,0
XIV TRAVESÍA A NADO CONCELLO DE BUEU UDRA- PESCADOIRA 2025,12 jul. 2025,7500m,https://ccnorte.com/resultados/xiv-travesia-a-nado-concello-de-bueu-udra-pescadoira-pola-rexeneracion-da-praia-de-pescadoira-2025/7500m/1,2,39,6,0,45,45,0
XIV TRAVESÍA A NADO CONCELLO DE BUEU UDRA- PESCADOIRA 2025,12 jul. 2025,4000m,https://ccnorte.com/resultados/xiv-travesia-a-nado-concello-de-bueu-udra-pescadoira-pola-rexeneracion-da-praia-de-pescadoira-2025/4000m/1,2,23,6,0,29,29,0
XIV TRAVESÍA A NADO CONCELLO DE BUEU UDRA- PESCADOIRA 2025,12 jul. 2025,1500m,https://ccnorte.com/resultados/xiv-travesia-a-nado-concello-de-bueu-udra-pescadoira-pola-rexeneracion-da-praia-de-pescadoira-2025/1500m/1,2,17,20,0,37,37,0
VIII EDICION SAMURAI XTREME RACE 2025,06 jul. 2025,TANDA 1 CAMPEONATO DE ESPAÑA Normativa OSO,https://ccnorte.com/resultados/viii-edicion-samurai-xtreme-race-2025/tanda-campeonato-de-espana/1,2,24,3,0,27,27,0
VIII EDICION SAMURAI XTREME RACE 2025,06 jul. 2025,EQUIPOS,https://ccnorte.com/resultados/viii-edicion-samurai-xtreme-race-2025/equipos/1,1,0,0,0,0,13,13
IV CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,27 jun. 2025,SUB10 (2016-2017),https://ccnorte.com/resultados/iv-carreira-nocturna-urbana-concello-de-pontedeume/sub10-2016-2017/1,1,7,3,0,10,10,0
IV CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,27 jun. 2025,SUB12 (2014-2015) SUB14 (2012-2013) SUB16 (2010-2011),https://ccnorte.com/resultados/iv-carreira-nocturna-urbana-concello-de-pontedeume/sub12-2014-2015-sub14-2012-2013-sub16-2010-2011/1,1,6,3,0,9,9,0
VIII EDICION SAMURAI XTREME RACE 2025,06 jul. 2025,POPULAR COMPETITIVA (STARTED),https://ccnorte.com/resultados/viii-edicion-samurai-xtreme-race-2025/tanda-2-starter/1,4,71,18,0,89,89,0
VIII CROSS CABO UDRA,21 jun. 2025,EQUIPOS CROSS CABO UDRA ABSOLUTA 2025,https://ccnorte.com/resultados/viii-cross-cabo-udra/equipos/equipos-cross-cabo-udra-absoluta-2025/1,1,0,0,0,0,6,6
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,POPULAR MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/popular/1,1,18,0,0,18,18,0
VIII CROSS CABO UDRA,21 jun. 2025,POPULAR (2010 e anteriores) SABADO 21,https://ccnorte.com/resultados/viii-cross-cabo-udra/popular-2010-e-anteriores/1,4,47,38,0,85,85,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,POPULAR FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/popular-femenina/1,1,0,6,0,6,6,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,JUNIOR MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/junior-masculina/1,1,13,0,0,13,13,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,JUNIOR FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/junior-femenina/1,1,0,10,0,10,10,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,JUVENIL MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/juvenil-masculina/1,1,22,0,0,22,22,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,JUVENIL FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/juvenil-femenina/1,1,0,11,0,11,11,0
IV CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,27 jun. 2025,ABSOLUTA (2009 e anteriores),https://ccnorte.com/resultados/iv-carreira-nocturna-urbana-concello-de-pontedeume/abso/1,7,123,46,0,169,169,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,CADETE MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/cadete-masculina/1,2,33,0,0,33,33,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,CADETE FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/cadete-femenina/1,2,0,33,0,33,33,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,INFANTIL MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/infantil-masculina/1,2,33,0,0,33,33,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,INFANTIL FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/infantil-femenina/1,1,0,22,0,22,22,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,ALEVIN FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/alevin-femenina/1,1,0,15,0,15,15,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,BENJAMIN MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/benjamin-masculina/1,1,20,0,0,20,20,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,ALEVIN MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/alevin-masculina/1,2,31,0,0,31,31,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,BENJAMIN FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/benjamin-femenina/1,1,0,16,0,16,16,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,PREBENJAMIN MASCULINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/prebenjamin-masculina/1,1,4,0,0,4,4,0
VIII CROSS CABO UDRA,21 jun. 2025,ABSOLUTA (2008 e anteriores) SABADO 21,https://ccnorte.com/resultados/viii-cross-cabo-udra/absoluta-2008-e-anteriores-sabado-5/1,11,205,57,0,262,260,0
II TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,21 jun. 2025,PREBENJAMIN FEMENINA,https://ccnorte.com/resultados/ii-tritea-triatlon-de-menores-a-freixa-ponteareas/prebenjamin-femenina/1,1,0,5,0,5,5,0
X TRÍATLON CONCELLO DE PORRIÑO-TUI,15 jun. 2025,CIRCUITO FEMENINA,https://ccnorte.com/resultados/x-triatlon-concello-de-porrino-tui/circuito-femenina/1,1,0,23,0,23,23,0
X TRÍATLON CONCELLO DE PORRIÑO-TUI,15 jun. 2025,POPULAR FEMENINA,https://ccnorte.com/resultados/x-triatlon-concello-de-porrino-tui/popular-femenina/1,1,0,10,0,10,10,0
X TRÍATLON CONCELLO DE PORRIÑO-TUI,15 jun. 2025,POPULAR MASCULINA,https://ccnorte.com/resultados/x-triatlon-concello-de-porrino-tui/popular-masculina/1,2,48,0,0,48,48,0
IV CARREIRA POPULAR CONCELLO DE PARADELA,14 jun. 2025,SUB12 (2014-2015) SUB10 (2016-2017),https://ccnorte.com/resultados/iv-carreira-popular-concello-de-paradela/sub12-2014-2015-sub10-2016-2017/1,1,7,3,0,10,10,0
X TRÍATLON CONCELLO DE PORRIÑO-TUI,15 jun. 2025,CIRCUITO MASCULINA,https://ccnorte.com/resultados/x-triatlon-concello-de-porrino-tui/circuito-masculina/1,3,72,0,0,72,72,0
IV CARREIRA POPULAR CONCELLO DE PARADELA,14 jun. 2025,ABSOLUTA (2009 e anteriores),https://ccnorte.com/resultados/iv-carreira-popular-concello-de-paradela/absoluta-2009-e-anteriores/1,2,24,4,0,28,28,0
IV CARREIRA POPULAR CONCELLO DE PARADELA,14 jun. 2025,SUB16 (2010-2011) SUB14 (2012-2013),https://ccnorte.com/resultados/iv-carreira-popular-concello-de-paradela/sub16-2010-2011-sub14-2012-2013/1,1,2,5,0,7,7,0
VI CARREIRA NOCTURNA MURUS LUCIS “ROMANOS VS CASTREXOS”,13 jun. 2025,ROMAN@S,https://ccnorte.com/resultados/v-carreira-nocturna-murus-lucis-romanos-vs-castrexos/romans/1,2,21,7,0,28,28,0
VI CARREIRA NOCTURNA MURUS LUCIS “ROMANOS VS CASTREXOS”,13 jun. 2025,CASTREX@S,https://ccnorte.com/resultados/v-carreira-nocturna-murus-lucis-romanos-vs-castrexos/castrexs/1,2,18,11,0,29,29,0
III TRAIL A FUME DE CAROZO 2025,08 jun. 2025,TRAIL 25K (Desnivel +1000),https://ccnorte.com/resultados/iii-trail-a-fume-de-carozo-2025/trail-25k-desnivel-1000/1,2,20,6,0,26,26,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,"5000M DEPORTISTA (INF,JUN1,JUN2,SEN) MASCULINA",https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/5000m-deportista-inf-jun1-jun2-sen-masculina/1,1,20,0,0,20,20,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,2500M MASTER FEMENINA,https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/2500m-master-femenina/1,2,0,44,0,44,44,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,"5000M DEPORTISTA (INF,JUN1,JUN2,SEN) FEMINA",https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/5000m-deportista-inf-jun1-jun2-sen-femina/1,1,0,20,0,20,20,0
III TRAIL A FUME DE CAROZO 2025,08 jun. 2025,TRAIL 16K (Desnivel +600),https://ccnorte.com/resultados/iii-trail-a-fume-de-carozo-2025/trail-16k-desnivel-600/1,4,73,23,0,96,96,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,2500M MASTER MASCULINA,https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/2500m-master-masculina/1,3,66,0,0,66,66,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,1250M ALEVIN MASCULINA,https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/1250m-alevin-masculina/1,1,6,0,0,6,6,0
IX CAMPEONATO GALLEGO DE AGUAS ABIERTAS,01 jun. 2025,1250M ALEVIN FEMENINA,https://ccnorte.com/resultados/ix-campeonato-gallego-de-aguas-abiertas/1250m-alevin-femenina/1,1,0,10,0,10,10,0
XIV CARREIRA POPULAR DE CHANTADA.10 km no corazón,31 may. 2025,SUB14 (2012-2013)-SUB16 (2010-2011),https://ccnorte.com/resultados/xiv-carreira-popular-de-chantada10-km-no-corazon/sub14-2012-2013-sub16-2010-2011/1,1,6,6,0,12,12,0
POSEIDON RACE CERCEDA 2025,31 may. 2025,EQUIPOS,https://ccnorte.com/resultados/poseidon-race-cerceda-2025/equipos/1,1,0,0,0,0,14,14
XIV CARREIRA POPULAR DE CHANTADA.10 km no corazón,31 may. 2025,5Km (2009 e anteriores),https://ccnorte.com/resultados/xiv-carreira-popular-de-chantada10-km-no-corazon/5km-2009-e-anteriores/1,3,25,35,0,60,60,0
POSEIDON RACE CERCEDA 2025,31 may. 2025,PAREJAS,https://ccnorte.com/resultados/poseidon-race-cerceda-2025/parejas/1,1,0,0,0,0,21,21
XIV CARREIRA POPULAR DE CHANTADA.10 km no corazón,31 may. 2025,10Km (2009 e anteriores),https://ccnorte.com/resultados/xiv-carreira-popular-de-chantada10-km-no-corazon/10km-2009-e-anteriores/1,4,76,22,0,98,98,0
POSEIDON RACE CERCEDA 2025,31 may. 2025,ÉLITE,https://ccnorte.com/resultados/poseidon-race-cerceda-2025/elite/1,4,75,12,0,87,87,0
CROSS POSEIDON RACE ACEM,31 may. 2025,CROSS,https://ccnorte.com/resultados/cross-poseidon-race/cross/1,1,1,4,0,5,5,0
XXIII CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,25 may. 2025,CATEGORIA A (2018-2020),https://ccnorte.com/resultados/xxiii-carreira-popular-rota-do-romanico-concello-de-panton/categoria-a-2018-2020/1,1,11,7,0,18,18,0
XXIII CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,25 may. 2025,CATEGORIA B (2016-2017) CATEGORIA C (2013-2015),https://ccnorte.com/resultados/xxiii-carreira-popular-rota-do-romanico-concello-de-panton/categoria-b-2016-2017-categoria-c-2013-2015/1,1,7,3,0,10,10,0
XXIII CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,25 may. 2025,CATEGORIA D (2010-2012),https://ccnorte.com/resultados/xxiii-carreira-popular-rota-do-romanico-concello-de-panton/categoria-d-2010-2012/1,1,0,3,0,3,3,0
VIII EDICION SAMURAI XTREME RACE 2025,06 jul. 2025,POPULAR,https://ccnorte.com/resultados/viii-edicion-samurai-xtreme-race-2025/popular/1,29,426,290,0,716,715,1
XXIII CARREIRA POPULAR ROTA DO ROMÁNICO CONCELLO DE PANTON,25 may. 2025,ABSOLUTA (2009 e anteriores),https://ccnorte.com/resultados/xxiii-carreira-popular-rota-do-romanico-concello-de-panton/absoluta-2009-e-anteriores/1,3,49,21,0,70,70,0
POSEIDON RACE CERCEDA 2025,31 may. 2025,POPULAR COMPETITIVA (STARTED),https://ccnorte.com/resultados/poseidon-race-cerceda-2025/tanda-2-starter/1,8,127,49,0,176,176,0
