pagina,nombre_carrera,fecha,circuito_nombre,circuito_url,imagen_url,categoria,categoria_url,categoria_es_interna
1,XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a47a70d830057.77003153.jpg,ABSOLUTA (2010 e anteriores),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/absoluta-2010-e-anteriores/1,True
1,XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a47a70d830057.77003153.jpg,INFANTIL/CADETE (2011-2014),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/infantil-cadete-2011-2014/1,True
1,XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a47a70d830057.77003153.jpg,BENXAMIN/ALEVIN (2015-2018),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/benxamin-alevin-2015-2018/1,True
1,XVII CARREIRA PEDESTRE POPULAR CONCELLO DE BOIMORTO,19 jul. 2026,,,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a47a70d830057.77003153.jpg,PREBENXAMIN (2019-2021),https://ccnorte.com/resultados/xvii-carreira-pedestre-popular-concello-de-boimorto/prebenxamin-2019-2021/1,True
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,SUB10 (2017-2018),https://maiskmsbarreiros.gal/es/web/evento/3219/,False
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,SUB12 (2015-2016),https://maiskmsbarreiros.gal/es/web/evento/3219/,False
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,SUB14 (2013-2014),https://maiskmsbarreiros.gal/es/web/evento/3219/,False
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,SUB16 (2011-2012),https://maiskmsbarreiros.gal/es/web/evento/3219/,False
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,1/2KM VERTICAL (2010 e anteriores),https://maiskmsbarreiros.gal/es/web/evento/3219/,False
1,"XII CARREIRA MONTE COMADO ""1/2 KM VERTICAL""",19 jul. 2026,Circuito +Kms Barreiros 2026,https://ccnorte.com/resultados/liga/circuito-kms-barreiros-2026,https://ccnorte.com/thumb/resize/x/600/y/0/image/cartel-6a4cd9e8751631.21808770.jpg,CLUBS 1/2KM VERTICAL,https://maiskmsbarreiros.gal/es/web/evento/3219/,False
