nombre_carrera,municipio,comarca,provincia
CORRESAN CENTRO COMERCIAL COMPOSTELA,Santiago de Compostela,Santiago,Galicia
CORRIDA ATLANTICA COMPORTA - TROIA,O Vicedo,A Mariña Occidental,Lugo
CORUÑA CORRE 2014-2015. III CARRERA POPULAR LOS ROSALES 2014,,,
CORUÑA CORRE 2014-2015. III CARRERA POPULAR LOS ROSALES 2014. MENORES,,,
CORUÑA CORRE 2014-2015. IV CARRERA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2014. MENORES,,,
CRONO ESCALADA MONTE CASTELO,Lousame,Noia,Galicia
CROSS POSEIDON RACE ACEM,,,
CTO. GALEGO DE AUGAS ABERTAS - ETAPA FINAL PONTEAREAS 2022,,,
CTO. GALEGO DE AUGAS ABERTAS - PONTEAREAS 2022,Ponteareas,O Condado,Galicia
CXOU CARREIRA DA CARBALLEIRA,Mos,Vigo,Galicia
CXOU CARREIRA DA CARBALLEIRA MENORES,,,
CXOU CARREIRA DA ZONA UNIVERSITARIA,Barcelona,Barcelonès,Catalunya
CXOU CARREIRA DA ZONA UNIVERSITARIA MENORES,,,
Campionato Galego de Dúatlón - Naron,Narón,Ferrol,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía,Vilagarcía,O Salnés,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2018,Vilagarcía,O Salnés,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2019,Vilagarcía,O Salnés,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2022,Vilagarcía,O Salnés,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2023,Vilagarcía,O Salnés,Galicia
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2024,Vilagarcía,O Salnés,Galicia
Carreira Contra o Cancro 5km Monforte,Toro,,Zamora
Carreira Pedestre Santiaguiño do Burgo,la Guingueta d'Àneu,Pallars Sobirà,Lleida
Carreira Pedestre Santiaguiño do Burgo 2016,la Guingueta d'Àneu,Pallars Sobirà,Lleida
Carreira Pedestre Santiaguiño do Burgo 2017,la Guingueta d'Àneu,Pallars Sobirà,Lleida
Carreira Pedestre Santiaguiño do Burgo 2018,la Guingueta d'Àneu,Pallars Sobirà,Lleida
Carreira Popular 50 anos do CHUAC,A Coruña,A Coruña,Galicia
Carreira Popular de San Roque de Larín 2019 - Arteixo,Arteixo,A Coruña,Galicia
DESAFIO BOOT CAMP RACE VIGO 2015,,,
DESAFIO BOOT CAMP VIGO 2016,,,
DESAFIO BOOT CAMP VIGO 2017,,,
DESAFIO BOOT CAMP VIGO 2018,,,
DESAFIO BOOT CAMP VIGO 2019,,,
DESAFIO BOOT CAMP VIGO 2021,,,
DESAFIO BOOT CAMP VIGO 2022,,,
DESAFIO BOOT CAMP VIGO 2023,,,
DESAFIO BOOT CAMP VIGO 2024,,,
DESAFIO BOOT CAMP VIGO 2025,,,
DESAFIO COUREL 2017 CRONO SEMIURBANA,,,
DESAFIO COUREL 2017 JABALI - LOBO - OSO,,,
DESAFIO COUREL 2017 MONTAÑA DEL LOR,,,
DESAFIO COUREL 2017 VALLE DEL SOLDÓN,,,
DESAFIO MONTE TREGA 2016,A Guarda,O Baixo Miño,Galicia
DESAFIO VIA ROMANA,Riudoms,Baix Camp,Tarragona
DESAFIO VIA ROMANA 2018,Riudoms,Baix Camp,Tarragona
DESAFIO42 OURENSE - MEDIO MARATON DO RIBEIRO 2014,Carballeda de Avia,O Ribeiro,Ourense
DESAFIO42 OURENSE - NOGUEIRA DE RAMUIN 2014,Luíntra,Ourense,Ourense
DESAFIO42 OURENSE - OURENSE CIDADE 2014,Beade,O Ribeiro,Ourense
DESAFÍO BOMBEROS A CORUÑA 2016,Ferrol,Ferrol,Galicia
DESAFÍO BOMBEROS A CORUÑA 2019,Ferrol,Ferrol,Galicia
DESAFÍO SAN MAMEDE 2016,Lousame,Noia,Galicia
DESAFÍO SAN MAMEDE 2017,Lousame,Noia,Galicia
DESAFÍO SAN MAMEDE SOLIDARIO 2018,Lousame,Noia,Galicia
DESAFÍO SAN MAMEDE SOLIDARIO 2019,Lousame,Noia,Galicia
DIEZ KILOMETROS CUIDAD DE LEON 2012,Quintana del Castillo,,León
DIEZ KILÓMETROS CIUDAD DE LEÓN 2013,Quintana del Castillo,,León
DIEZ KILÓMETROS CIUDAD DE LEÓN 2014,Quintana del Castillo,,León
DIEZ KILÓMETROS CIUDAD DE LEÓN 2015,Quintana del Castillo,,León
DIEZ KILÓMETROS CIUDAD DE LEÓN 2016,Quintana del Castillo,,León
DIEZ KILÓMETROS LEÓN CAPITAL ESPAÑOLA DE LA GASTRONOMÍA 2018,Nerja,La Axarquía,Andalucía
DIEZ KILÓMETROS LEÓN CUNA DEL PARLAMENTARISMO 2017,León,,León
DIEZ KM UNIVERSITARIOS CIUDAD DE LEON 2013,Quintana del Castillo,,León
DIEZ KM UNIVERSITARIOS CIUDAD DE LEON 2014,Quintana del Castillo,,León
DIEZ KM. UNIVERSITARIOS CIUDAD DE LEÓN 2015,Quintana del Castillo,,León
DIEZ KM. UNIVERSITARIOS CIUDAD DE LEÓN 2016,Quintana del Castillo,,León
DOBLE MILLA SAN BARTOLO XOVE,Xove,A Mariña Occidental,Lugo
DONA VIDA GIJÓN 2014,Gijón / Xixón,,Asturias / Asturies
DUATLON CROSS RIBADUMIA 2014,A Escusa,O Salnés,Galicia
Desafío Bomberos Coruña,Ferrol,Ferrol,Galicia
DÚATLON CONCELLO DE PONTEVEDRA 2022,Pontevedra,Pontevedra,Galicia
DÚATLON X DE NADAL CONCELLO DE CARBALLO,Carballo,Bergantiños,Galicia
E.ON NIGHT RACE LUGO 2013,,,
E.ON NIGHT RACE LUGO 2014,,,
EDP IX MEIA MARATONA DO DOURO VINHATEIRO,,,
EDP IX MEIA MARATONA DO DOURO VINHATEIRO EM CADEIRA DE RODAS,Tui,O Baixo Miño,Galicia
ESTRADA RIO RATO,Lugo,Lugo,Lugo
ETAPA DE LA VUELTA CICLOTURISTA: GIJÓN - VALGRANDE - PAJARES,Lena,,Asturias / Asturies
ETAPA FINAL CIRCUITO GALEGO ARZUA ULLOA AUGAS ABERTAS-CAMPIONATO GALEGO CONTRA O RELOXO POR EQUIPOS,,,
ETAPA FINAL CIRCUITO GALLEGO AA ARZUA ULLOA OPEN 2025- CAMPEONATO GALLEGO CONTRARRELOJ EQUIPOS,,,
FARINATO RACE CIUDAD RODRIGO 2016,,,
FARINATO RACE GIJÓN 2016,,,
FARINATO RACE LEÓN 2016,,,
FARINATO RACE LUGO,,,
FARINATO RACE MÉRIDA 2016,,,
FARINATO RACE PAMPLONA 2016,,,
FINAL ADULTOS PARQUE DE FRIGSA,Lugo,Lugo,Lugo
FINAL PARQUE DE FRIGSA,Lugo,Lugo,Lugo
GLADIATOR RACE,,,
GLADIATOR RACE 2022,San Sebastián de los Reyes,,Comunidad de Madrid
GLADIATOR RACE ASTURIAS 2019,Oviedo,,Asturias / Asturies
GLADIATOR RACE PONTEVEDRA,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE PONTEVEDRA 2018,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE PONTEVEDRA 2019,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE PONTEVEDRA 2023,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE PONTEVEDRA 2024,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE PONTEVEDRA 2025,Pontevedra,Pontevedra,Galicia
GLADIATOR RACE VIA NOVA,Petín,Valdeorras,Ourense
GLADIATOR ROCKET ASTURIAS,Oviedo,,Asturias / Asturies
GLADIATOR ROCKET ASTURIAS 2017,Oviedo,,Asturias / Asturies
GLADIATOR ROCKET PONTEVEDRA,,,
GLADIATOR ROCKET PONTEVEDRA 2017,,,
GLADIATOR WARRIOR ASTURIAS,Oviedo,,Asturias / Asturies
GLADIATOR WARRIOR ASTURIAS 2017,Oviedo,,Asturias / Asturies
GLADIATOR WARRIOR PONTEVEDRA,Pontevedra,Pontevedra,Galicia
GLADIATOR WARRIOR PONTEVEDRA 2017,Pontevedra,Pontevedra,Galicia
Grand Prix Race-Edition (a Veiga-Ourense) ADULTOS,,,
HALF TRIATLON RIBADEO 2021,,,
HERCULES XTRM 2014. INDIVIDUAL FEMENINA,,,
HERCULES XTRM 2014. INDIVIDUAL MASCULINA,,,
HERCULES XTRM 2014. RELEVOS DE 2,Zaragoza,Zaragoza,Aragón
HERCULES XTRM 2014. RELEVOS DE 3,Zaragoza,Zaragoza,Aragón
HEROICAN RACE (ALLARIZ),,,
HEROICAN RACE 11K 2018,,,
HEROICAN RACE 5K 2018,,,
HEROICAN RACE OCR WORLD TEAM CHAMPIONSHIP 2018,,,
HEROICAN RACE RIBADEO 2016,,,
HEROICAN RACE RIBADEO 2017,,,
HEROICAN RACE RIBADEO 2024,,,
HEROICAN RACE RIBADEO 2025,,,
HEROICAN RACE RIBADEO 2026,,,
HappyGoRunning - Cidade Universitaria (Vigo),Madrid,,Comunidad de Madrid
HappyGoRunning - Cidade Universitaria 2016,Madrid,,Comunidad de Madrid
HappyGoRunning - Cidade Universitaria 2017,Madrid,,Comunidad de Madrid
HappyGoRunning - Cidade Universitaria 2018,Madrid,,Comunidad de Madrid
HappyGoRunning - Cidade Universitaria 2019,Madrid,,Comunidad de Madrid
I 10K CONCELLO DE CASELAS 2013. PROBA ABSOLUTA,O Pazo de Irixoa,Betanzos,Galicia
I 10K CONCELLO DE CASELAS 2013. PROBA ESCOLARES-MENORES,O Pazo de Irixoa,Betanzos,Galicia
"I 10K O ROSAL ""FEIRA DO VIÑO"" 2014",Morales del Vino,,Zamora
I BALEIRA CASTROVERDE SOLIDARIA #MARZOSAUDESOLIDARIO. RECORRIDO CORTO,,,
I BALEIRA CASTROVERDE SOLIDARIA #MARZOSAUDESOLIDARIO. RECORRIDO LARGO,Madrid,,Comunidad de Madrid
I BRIGANTIA-TRAIL CONCELLO DE A CORUÑA,A Coruña,A Coruña,Galicia
I BTT CARREIRA SOLIDARIA A FAVOR DA LOITA DO CANCRO CONCELLO DE BOBORÁS (OURENSE),Boborás,O Carballiño,Ourense
I CANICROSS POPULAR IFEVI,,,
I CARREIRA BENEFICA IES DE CARRAL,Carral,A Coruña,Galicia
I CARREIRA DA MULLER VIVAS E VISIBLES,,,
I CARREIRA DO ENTROIDO CONCELLO DE VIGO,Vigo,Vigo,Galicia
I CARREIRA DÍA DO TRABALLADOR DE TOMIÑO,O Seixo,O Baixo Miño,Galicia
I CARREIRA E ANDAINA POPULAR CONTRA A VIOLENCIA DE XÉNERO (MEIS),Santiago de Compostela,Santiago,Galicia
I CARREIRA NOCTURNA CASTIÑEIRAS,Castiñeiras,A Barbanza,Galicia
I CARREIRA NOCTURNA MÓVETE POR SAN SALVADOR,Chantada,Chantada,Lugo
I CARREIRA NOCTURNA RINLO-RIBADEO,Ribadeo,A Mariña Oriental,Lugo
I CARREIRA PEDESTRE CONCELLO DE DUMBRÍA,Dumbría,Fisterra,Galicia
I CARREIRA PEDESTRE CONCELLO DE MAZARICOS,A Picota,O Xallas,Galicia
I CARREIRA PEDESTRE CONCELLO DE VIMIANZO 2012,Vimianzo,Terra de Soneira,Galicia
I CARREIRA PEDESTRE DE MUXIA 10K,Muxía,Fisterra,Galicia
I CARREIRA PEDESTRE DE MUXIA 5K,Muxía,Fisterra,Galicia
I CARREIRA PEDESTRE DE MUXIA MENORES,,,
I CARREIRA PEDESTRE DO CONCELLO DE MALPICA,Nájera,,La Rioja
I CARREIRA PEDESTRE MONTE PORREIRO 2013 - GRAN PREMIO U.N.E.D,Pontevedra,Pontevedra,Galicia
I CARREIRA PEDESTRE POPULAR CONCELLO DE TOURO,Fonte Díaz,Arzúa,Galicia
I CARREIRA POPULAR ALTOS DE TORONA,Tomiño,O Baixo Miño,Galicia
I CARREIRA POPULAR CARBALLEDO,A Barrela,Chantada,Lugo
I CARREIRA POPULAR CONCELLO DE FORCAREI.2013,Forcarei,Tabeirós - Terra de Montes,Galicia
I CARREIRA POPULAR CONCELLO DE FRIOL 2013,Friol,Lugo,Lugo
I CARREIRA POPULAR CONCELLO DE GUNTÍN 2024,Guntín,Lugo,Lugo
I CARREIRA POPULAR DOLMEN DE DOMBATE - CABANA DE BERGANTIÑOS,Carballo,Bergantiños,Galicia
I CARREIRA POPULAR DOLMEN DE DOMBATE 10K,Cabana de Bergantiños,Bergantiños,Galicia
I CARREIRA POPULAR FESTA DA AUGARDENTE DE PORTOMARIN,Portomarín,Lugo,Lugo
I CARREIRA POPULAR MARUXAINA CONCELLO DE CERVO,San Cibrao,A Mariña Occidental,Lugo
I CARREIRA POPULAR SOLIDARIA CPR LA MILAGROSA LUGO,Lugo,Lugo,Lugo
I CARREIRA POPULAR VILA DE MEIRA,Meira,Meira,Lugo
I CARREIRA POPULAR VÍA NOVA 'CONCELLO DE BANDE' 2014,Bande,A Baixa Limia,Ourense
I CARREIRA SOLIDARIA DO CONCELLO DE OUTEIRO DE REI,Molins de Rei,Baix Llobregat,Catalunya
I CARREIRA TRAIL DO BRANCO LEXITIMO (PADERNE),,,
I CARREIRA VIA VERDE,Jaén,,Jaén
I CARREIRA “POPULAR” - VIGO,O Porriño,Vigo,Galicia
I CARRERA ATMOSFERA SPORT,A Coruña,A Coruña,Galicia
I CARRERA BECERREA CONTRA EL CANCER. 10KM,Babilafuente,,Salamanca
I CARRERA BECERREA CONTRA EL CANCER. 5KM,Babilafuente,,Salamanca
I CARRERA COFEDAS FERRETERIAS SOLIDARIA DE 10KM Y I CARRERA OPTIMUS SOLIDARIA DE 5KM,Ibargoiti,Pirinioaurrea,Navarra
I CARRERA DE LAS EMPRESAS (OURENSE),Selaya,,Cantabria
I CARRERA DE MONTAÑA GIJÓN TRAIL 2015,Gijón / Xixón,,Asturias / Asturies
I CARRERA EMPRESAS GALICIA,Zaragoza,Zaragoza,Aragón
I CARRERA NOCTURNA CONCELLO DE FERROL 2012,Ferrol,Ferrol,Galicia
"I CARRERA NOCTURNA DE NIGRÁN “PLAZAH2K""",,,
I CARRERA PEDESTRE CONCELLO DE CEE 10K,Cee,Fisterra,Galicia
I CARRERA PEDESTRE CONCELLO DE CEE 5K,Cee,Fisterra,Galicia
I CARRERA PEDESTRE CONCELLO DE CEE BENXAMIN-ALEVIN,,,
I CARRERA PEDESTRE CONCELLO DE CEE INFANTIL-CADETE,,,
I CARRERA PEDESTRE CONCELLO DE ZAS 10K,Negreira,A Barcala,Galicia
I CARRERA PEDESTRE CONCELLO DE ZAS 5K,Negreira,A Barcala,Galicia
I CARRERA PEDESTRE CONCELLO DE ZAS MENORES,,,
"I CARRERA POPULAR ""CULTIVANDO DEPORTE""",,,
I CARRERA POPULAR 8KM AGONES 2014,Pravia,,Asturias / Asturies
I CARRERA POPULAR CENTRO RICARDO BARO,,,
I CARRERA POPULAR CONTRA EL CANCER CORRE POR FERROL,,,
I CARRERA POPULAR DE LA GUARDIA CIVIL DE OURENSE “PILAR 2024”,,,
I CARRERA POPULAR DOLMEN DE DOMBATE 10K,Cabana de Bergantiños,Bergantiños,Galicia
I CARRERA POPULAR DOLMEN DE DOMBATE 6K,Cabana de Bergantiños,Bergantiños,Galicia
I CARRERA POPULAR DOLMEN DE DOMBATE MENORES,,,
I CARRERA POPULAR NOCTURNA CORRENDO POR VIGO,O Porriño,Vigo,Galicia
I CARRERA POPULAR SALUDABLE 3K & 10K HUCA “Muévete por la Salud”,Santa Cruz de Tenerife,,Santa Cruz de Tenerife
I CARRERA POPULAR VENTORRILLO 2013,Santa Comba,O Xallas,Galicia
I CARRERA POPULAR VENTORRILLO. MENORES 2013,,,
I CARRERA POPULAR VILLA DE SARRIA 10 KM 2013,Zuia,Gorbeialdea,Araba / Álava
I CARRERA SOLIDARIA 'KILOMETROS QUE AYUDAN',,,
I CARRERA SOLIDARIA A FAVOR DE AFECTADOS POR CÁNCER HEMATOLÓGICO Y TRASPLANTADOS DE MÉDULA ÓSEA 2013,Burgos,,Castilla y León
"I CARRERA SOLIDARIA DE LUGO “LA VIDA ES UNA CARRERA ,VEN A GANARLA”",,,
I CARRERA SOLIDARIA DULCES LESSONS (GIJÓN),,,
I CARRERA SOLIDARIA FUNDACIÓN REAL MADRID OURENSE,Xinzo de Limia,A Limia,Ourense
I CARRERA SOLIDARIA GT MOTIVE. PRUEBA ABSOLUTA,,,
I CARRERA SOLIDARIA GT MOTIVE. PRUEBAS BENJAMIN E INFANTIL,Jerez de la Frontera,Campiña de Jerez,Andalucía
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. ABSOLUTA,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. ALEVINES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. BENJAMINES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. INFANTILES CADETES Y JUVENILES MUJERES,,,
I CIRCUITO CORUÑA CORRE. I CARRERA POPULAR LOS ROSALES. INFANTILES Y CADETES HOMBRES,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. ABSOLUTA,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. ALEVIN,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. BENXAMIN,,,
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. INFANTIL Y CADETE,Flix,Ribera d'Ebre,Tarragona
I CIRCUITO CORUÑA CORRE. II CARRERA POPULAR NOVO MESOIRO. XUVENIL,,,
I CIRCUITO CP SAUDABLES CorreSAN. Cidade Da Cultura,Higueruelas,La Serranía,Comunitat Valenciana
"I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ""As Pontes""",As Pontes de García Rodríguez,O Eume,Galicia
"I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ""LAXE""",,,
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO A POBRA,Puebla de Sanabria,,Zamora
I CIRCUITO DE TRAVESÍAS DE OBSTÁCULOS ENKIPRO ARTEIXO,,,
I COMPETICION CIUDAD DE A CORUÑA MARCHA NORDICA,Huelva,Comarca Metropolitana de Huelva,Huelva
I CORRENDO POR VIGO 2012,O Porriño,Vigo,Galicia
I CROSS COUNTRY CABANAS 2014,,,
I CROSS COUNTRY LUGO,,,
I CROSS COUNTRY PONTEVEDRA,,,
I CROSS COUNTRY VILALBA 2014,,,
"I CROSS PONTE ROMANA. ""HOMENAXE A PALELAS""",,,
I CTO. GALEGO DE AUGAS ABERTAS,,,
I Carreira 10 km Nocturna BurelaBonita,,,
I Carreira da Ostra ARCADE - SOUTOMAIOR 2014,A Calle,Vigo,Galicia
I Carrera Popular Matogrande,A Coruña,A Coruña,Galicia
I Carrera Solidaria Cafés Toscaf,,,
I DESAFÍO B/R BALMORI 2014,,,
I DESCENSO A NADO CONCELLO DE SALVATERRA DE MIÑO,A Carreira,Betanzos,Galicia
I DUATLON CONCELLO DE COSPEITO VILA DE MUIMENTA,Carballeda de Avia,O Ribeiro,Ourense
I DÚATLON CROS CONCELLO DE SADA,Sada,Zangozerria,Navarra
I DÚATLON DE MORAÑA,Moraña,Caldas,Galicia
I Dúatlon Concello de Poio,Poio,Pontevedra,Galicia
I Dúatlon Concello de Riveira - Memorial Jesús e Vicente,Sevilla,,Sevilla
I Dúatlon Cros Cerdedo-Cotobade,,,
I Dúatlon Torre dos Andrade Concello de Vilalba,Vilalba,Terra Chá,Lugo
I Dúatlon Torre dos Andrade Concello de Vilalba Remudas,,,
I Dúatlon de estrada San Cibrao das Viñas,San Cibrao das Viñas,Ourense,Ourense
I EDICIÓN DA CARREIRA POPULAR DE TERNERA GALLEGA. ADULTOS,,,
I EDICIÓN DA CARREIRA POPULAR DE TERNERA GALLEGA. NENOS,,,
I GRAN FONDO BTT RUTAS DE OURENSE,Maceda,Allariz-Maceda,Ourense
I LEGUA CIUDAD DE VALLADOLID 2013,Valladolid,,Valladolid
I LEGUA IRMANDIÑA (VIMIANZO),,,
I MARCHA-CARRERA POR LA IGUALDAD CIUDAD DE PONTEVEDRA,Pontevedra,Pontevedra,Galicia
I MEDIA MARATON CIUDAD DE OVIEDO 2014,Oviedo,,Asturias / Asturies
I MEDIA MARATON SOLIDARIA ZONA ABERTA VILAGARCIA DE AROUSA 2012,Santiago de Compostela,Santiago,Galicia
I MEDIO MARATÓN CIDADE DE LUGO – DIARIO EL PROGRESO,Badajoz,,Badajoz
I MILLA POPULAR URBANA CONCELLO DE LOURENZÁ,Vilanova,A Mariña Central,Lugo
I MILLA URBANA 40 ANIVERSARIO LUCUS,,,
I MIÑO RADIKAL (PROBA CON OBSTÁCULOS EN OURENSE),Maceda,Allariz-Maceda,Ourense
I Marcha Cicloturista Concello de Lourenzá,Vilanova,A Mariña Central,Lugo
I Media Maratón de Ferrol La Departamental,Murcia,Área Metropolitana de Murcia,Región de Murcia
I NIGHT TRAIL QUIROGA,Quiroga,Quiroga,Lugo
I OCR CHANTADA WOLF SURVIVAL RACE,,,
I OKTOBERBIKE CAMPELO 2017,,,
I RETO SUBE E BAIXA EXPOGRELO ABADIN,,,
I RUTA BTT CAMPASPERO – CIRCUITO SPRINTERCHIP BTT SERIES – 1ª ETAPA.,Aranjuez,,Comunidad de Madrid
"I SAN SILVESTRE DE MOS ""PET FRIENDLY""",,,
I SANITAS MARCA RUNNING SERIES DE VIGO,Vigo,Vigo,Galicia
I SUBIDA A LAGOS DE COVADONGA,Cangas de Onís,,Asturias / Asturies
I SUBIDA A MONTEALEGRE,Ourense,Ourense,Ourense
I TRAIL A FUME DE CAROZO 2023,Abadín,Terra Chá,Lugo
I TRAIL CONCELLO DE MAÑÓN,Mañón,Ortegal,Galicia
I TRAIL DE MONTAÑA LUCUS MOUNTAIN,,,
I TRAIL DE PADERNE,Consistorio,Betanzos,Galicia
I TRAIL DO NOCEDO,Os Blancos,A Limia,Ourense
I TRAIL DO ROMANICO,Puente la Reina / Gares,Izarbeibar-Novenera,Navarra
I TRAIL DO XURÉS,Calvos de Randín,A Limia,Ourense
I TRAIL ENCONTRO MONTE PINDO,Carnota,Muros,Galicia
I TRAIL MOSTEIRO DE SOANDRES CONCELLO DA LARACHA,A Laracha,Bergantiños,Galicia
I TRAIL RIBEIRA SACRA (NOGUEIRA DE RAMUÍN),Nogueira de Ramuín,Ourense,Ourense
I TRAIL TRANS SERRA DA GROBA,A Laracha,Bergantiños,Galicia
I TRAIL Y ANDAINA DE CELANOVA,Celanova,Terra da Celanova,Ourense
I TRAIL “RUTA DOS MUIÑOS” RIOTORTO 2023,,,
I TRAVESIA A NADO PLAYA DE MIÑO,A Carreira,Betanzos,Galicia
I TRAVESIA A NADO RIO LEREZ,A Pobra do Caramiñal,A Barbanza,Galicia
I TRAVESÍA A NADO BALARÉS,Ponteceso,Bergantiños,Galicia
I TRAVESÍA A NADO DO MIÑO CIDADE DE LUGO. 1500m,,,
I TRAVESÍA A NADO DO MIÑO CIDADE DE LUGO. 4000m,,,
I TRAVESÍA A NADO ENTRE CAMARIÑAS E MUXÍA POLOS ESQUECIDOS EN LESBOS,Cartagena,Campo de Cartagena y Mar Menor,Región de Murcia
I TRAVESÍA DO CANEIRO - CLUB FLUVIAL DE LUGO,Lugo,Lugo,Lugo
I TRIATLON SPRINT SOLIDARIO CONCELLO DE BOIRO,Boiro,A Barbanza,Galicia
I TRITEA-ACUATLÓN POPULAR E INCLUSIVO -PONTEAREAS,,,
I TRITEA-TRÍATLON DE MENORES “A FREIXA”-PONTEAREAS,Ponteareas,O Condado,Galicia
I Trail Monte Aloia,Tui,O Baixo Miño,Galicia
I Triatlón Boamorte Bikes Sanxenxo,Portonovo,O Salnés,Galicia
I Trivolta a Galicia,,,
I Tríatlon Concello de Redondela,Redondela,Vigo,Galicia
I Tríatlon Concello de Rianxo,Rianxo,A Barbanza,Galicia
I URBANCROSS GIJÓN 2013,,,
I Urban Trail Night Pontevedra 2017,O Porriño,Vigo,Galicia
I VOLTA A NADO ILLA DE TAMBO-CONCELLO DE POIO,Poio,Pontevedra,Galicia
I Vertiatlón Solidario de Baiona,Baiona,Vigo,Galicia
I Ácuatlon Concello de Poio,Poio,Pontevedra,Galicia
II 10 KM SAN ANDRES DEL RABANEDO 2012,San Andrés del Rabanedo,,León
II 10KM CIDADE UNIVERSITARIA - CUVI 2008,Barcelona,Barcelonès,Catalunya
II BARBANTIA RODA 2013,,,
II BTT CARREIRA SOLIDARIA A FAVOR DA LOITA DO CANCRO CONCELLO DE BOBORÁS (OURENSE),Boborás,O Carballiño,Ourense
II BTT CONCELLO DE O PINO 2013,O Pino,Arzúa,Galicia
II BTT MONTE CASTELO,Lousame,Noia,Galicia
II C-TRAIL BRIGANTIA AVENTURA,,,
II CAMPEONATO DE GALICIA POR EQUIPOS- II COPA XUNTA DE GALICIA MARCHA NORDICA,Huelva,Comarca Metropolitana de Huelva,Huelva
II CARREIRA 10K SALCEDA,Polaciones,,Cantabria
II CARREIRA 10K SALCEDA 1000m,Polaciones,,Cantabria
II CARREIRA 10K SALCEDA 2500m Y 500m,Pontevedra,Pontevedra,Galicia
II CARREIRA DA MULLER VIVAS E VISIBLES (SARRIA),,,
II CARREIRA DE MONTAÑA MONTES DE VIVEIRO 2012 OPEN,Viveiro,A Mariña Occidental,Lugo
II CARREIRA DESAFÍO SANTANDER- ISLAS CÍES,Madrid,,Comunidad de Madrid
II CARREIRA DO CAMIÑO A MERCED-AS ACEAS” (SARRIA),,,
II CARREIRA DO COCIDO - LALIN 2012,Lalín,O Deza,Galicia
II CARREIRA DÍA DO TRABALLADOR DE TOMIÑO,O Seixo,O Baixo Miño,Galicia
II CARREIRA INTERNACIONAL DE CALVOS 2014,Carballo,Bergantiños,Galicia
II CARREIRA NOCTURNA ESTRADENSE 2013,Santiago de Compostela,Santiago,Galicia
II CARREIRA NOCTURNA MURUS LUCIS,,,
II CARREIRA NOCTURNA RINLO-RIBADEO,Ribadeo,A Mariña Oriental,Lugo
II CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,Pontedeume,O Eume,Galicia
II CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,,,
II CARREIRA PEDESTRE CONCELLO DE VIMIANZO 2013 - 10KM,Vimianzo,Terra de Soneira,Galicia
II CARREIRA PEDESTRE CONCELLO DE VIMIANZO 2013 - XUVENIL-CADETE,Vimianzo,Terra de Soneira,Galicia
II CARREIRA PEDESTRE CONCELLO DE ZAS,Zas,Terra de Soneira,Galicia
II CARREIRA PEDESTRE DE DUMBRÍA,Dumbría,Fisterra,Galicia
II CARREIRA PEDESTRE DE MUXÍA,Muxía,Fisterra,Galicia
II CARREIRA PEDESTRE DO CONCELLO DE MALPICA,Nájera,,La Rioja
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D,Pontevedra,Pontevedra,Galicia
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. CCCP,Pontevedra,Pontevedra,Galicia
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. COMPENSADA FEMENINA,Pontevedra,Pontevedra,Galicia
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - GRAN PREMIO U.N.E.D. COMPENSADA MASCULINA,Pontevedra,Pontevedra,Galicia
II CARREIRA PEDESTRE MONTE PORREIRO 2014 - RESULTADO NO OFICIAL,Pontevedra,Pontevedra,Galicia
II CARREIRA PONTENOITE 5+5 2014 10K,,,
