nombre_carrera,municipio,comarca,provincia
1ª TRAVESIA DEL ESTE. GIJÓN,Gijón / Xixón,,Asturias / Asturies
1ª TRAVESIA NOCTURNA DE BEGOÑA,Madrid,,Comunidad de Madrid
1ª TRAVESIA PLAYAS DE GIJON PLAYA L'ARBEYAL A PLAYA SAN LORENZO,Madrid,,Comunidad de Madrid
1ª TRAVESÍA LARGA (GIJÓN),Biota,Cinco Villas,Aragón
2 EDICION 15K DEL ATLANTICO,Pontevedra,Pontevedra,Galicia
20ª SAN SILVESTRE CLUB FLUVIAL DE LUGO,Lugo,Lugo,Lugo
21K COSTA DA VELA (CANGAS),O Rial,Vigo,Galicia
21K COSTA DA VELA 2017,O Rial,Vigo,Galicia
21K DE LA COSTA DE SOAVELA,Cangas de Morrazo,Morrazo,Galicia
21k Costa da Vela 2015,O Rial,Vigo,Galicia
21º SAN SILVESTRE CLUB FLUVIAL 2015 (LUGO),Monforte de Lemos,Terra de Lemos,Lugo
22º SAN SILVESTRE CLUB FLUVIAL 2016 (LUGO),Monforte de Lemos,Terra de Lemos,Lugo
23º SAN SILVESTRE CLUB FLUVIAL 2017 (LUGO),Monforte de Lemos,Terra de Lemos,Lugo
24 HORAS DE VIGO 2014. EQUIPOS,Vigo,Vigo,Galicia
24 HORAS DE VIGO 2014. INDIVIDUAL,Vigo,Vigo,Galicia
24º SAN SILVESTRE CLUB FLUVIAL 2018 (LUGO),Monforte de Lemos,Terra de Lemos,Lugo
25º SAN SILVESTRE CLUB FLUVIAL 2019 (LUGO),Monforte de Lemos,Terra de Lemos,Lugo
27 KANGAS MOUNTAIN,,,
27 Kangas Mountain - II EDICIÓN,Huesca/Uesca,Hoya de Huesca / Plana de Uesca,Aragón
27º SAN SILVESTRE CLUB FLUVIAL 2021,Monforte de Lemos,Terra de Lemos,Lugo
28º SAN SILVESTRE CLUB FLUVIAL 2022,Monforte de Lemos,Terra de Lemos,Lugo
29º SAN SILVESTRE CLUB FLUVIAL 2023,Monforte de Lemos,Terra de Lemos,Lugo
2ª CARREIRA PEDESTRE CONCELLO DE CEE 2015,Cee,Fisterra,Galicia
2ª CARRERA POPULAR 10KM OVIEDO - LAS CALDAS VILLA TERMAL,Oviedo,,Asturias / Asturies
2ª CARRERA POPULAR GALIEXPO RUNNING. 5K - 10K,València,Comarca de València,Comunitat Valenciana
2ª CARRERA POR LA DISCAPACIDAD DE ASTURIAS GIJÓN 2016,Gijón / Xixón,,Asturias / Asturies
2ª EDICION 3 HORAS MONUMENTALES POR RELEVOS DE LUGO 2014,Lugo,Lugo,Lugo
2ª TRAVESÍA DEL ESTE (GIJÓN),Teguise,,Las Palmas
2ª TRAVESÍA LARGA (GIJON),Biota,Cinco Villas,Aragón
2ª TRAVESÍA NOCTURNA DE BEGOÑA (GIJÓN),Madrid,,Comunidad de Madrid
2ª TRAVESÍA PLAYAS DE GIJÓN,Gijón / Xixón,,Asturias / Asturies
2º TRIATLÓN POPULAR DE CEDEIRA,Cedeira,Ferrol,Galicia
3 HORAS MONUMENTALES POR RELEVOS DE LUGO 2015,Lugo,Lugo,Lugo
30 CARRERA POPULAR DE NOCHEBUENA (GIJÓN),Villanueva del Conde,,Salamanca
30ª CARREIRA PEDESTRE POPULAR 'ANDAR E CORRER' 2014,,,
30ª CARREIRA PEDESTRE POPULAR 'ANDAR E CORRER' 2014. MENORES,,,
30º SAN SILVESTRE CLUB FLUVIAL 2024,Monforte de Lemos,Terra de Lemos,Lugo
31 CARREIRA PEDESTRE POPULAR ANDAR E CORRER'15 - GRAN PREMIO COCA-COLA,Madrid,,Comunidad de Madrid
31 CARRERA POPULAR DE NOCHEBUENA (GIJON),Villanueva del Conde,,Salamanca
31º SAN SILVESTRE CLUB FLUVIAL 2025,Monforte de Lemos,Terra de Lemos,Lugo
32 CARRERA POPULAR DE NOCHEBUENA (GIJON),Villanueva del Conde,,Salamanca
33 C.P. POPULAR DE SAN MARTIÑO. ADULTOS. LIGA09,,,
34 Carrera Popular de Nochebuena Gijón,,,
