nombre_carrera,fecha,categoria,n_masculino,n_femenino,n_desconocido,n_total,categoria_genero
"III CARREIRA E ANDAINA SOLIDARIA ""CAMIÑANDO POLO DANO CEREBRAL""",2024-06-30,ABSOLUTA 5K (2010 e anteriores),25,22,0,47,mixto
III CARREIRA MONTAÑA MONTES DE VIVEIRO,2013-04-07,MONTES DE VIVEIRO:OPEN. DISTANCIA: 40000 M,0,0,0,0,mixto
III CARREIRA NOCTURNA MURUS LUCIS,2019-06-14,ABSOLUTA,56,36,0,92,mixto
III CARREIRA NOCTURNA MURUS LUCIS,2019-06-14,CASTREX@S (A PARTIR DE 16 ANOS),29,17,0,46,mixto
III CARREIRA NOCTURNA MURUS LUCIS,2019-06-14,ROMAN@S (A PARTIR DE 16 ANOS),26,20,0,46,mixto
III CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,2024-06-21,ABSOLUTA (2008 e anteriores),114,41,0,155,mixto
III CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,2024-06-21,SUB10,4,5,0,9,mixto
III CARREIRA NOCTURNA URBANA CONCELLO DE PONTEDEUME,2024-06-21,SUB12SUB14SUB16,12,2,0,14,mixto
III CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,2017-08-10,ABSOLUTA (2001 E ANTERIORES),137,49,0,186,mixto
III CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,2017-08-10,ALEVIN (2006-2007),17,12,0,29,mixto
III CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,2017-08-10,BENXAMINES (2008-2009),15,9,0,24,mixto
III CARREIRA NOCTURNA “CONCELLO DE VIVEIRO” HOMENAXE ADRIAN BEN,2017-08-10,INFANTIL (04-05) / CADETE (02-03),9,7,0,16,mixto
III CARREIRA PEDESTRE CONCELLO DE CAMARIÑAS 10K,2014-03-09,10K. DISTANCIA: 10000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE CAMARIÑAS 5K,2014-03-09,5K. DISTANCIA: 5000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE CAMARIÑAS MENORES,2014-03-09,ALEVIN. DISTANCIA: 1000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE CAMARIÑAS MENORES,2014-03-09,BENXAMIN. DISTANCIA: 1000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE CAMARIÑAS MENORES,2014-03-09,INFANTIL-CADETE. DISTANCIA: 3000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE MAZARICOS,2018-05-13,3K CONTRA O CANCRO (2002 E ANT.),54,70,0,124,mixto
III CARREIRA PEDESTRE CONCELLO DE MAZARICOS,2018-05-13,ABSOLUTA 10K (2002 E ANT.),160,30,0,190,mixto
III CARREIRA PEDESTRE CONCELLO DE MAZARICOS,2018-05-13,BENXAMIN (09-10) E ALEVÍN (07-08),17,18,0,35,mixto
III CARREIRA PEDESTRE CONCELLO DE MAZARICOS,2018-05-13,"INFANTIL (05-06), CADETE (03-04) E XUVENIL (01-02)",19,27,0,46,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. 10K,2014-05-04,CARREIRA ABSOLUTA (10K). DISTANCIA: 10000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. 5K,2014-05-04,CARREIRA ABSOLUTA (5K). DISTANCIA: 5400 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. 5K,2014-05-04,CARREIRA XUVENIL. DISTANCIA: 5400 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. MENORES,2014-05-04,CARREIRA ALEVIN. DISTANCIA: 1000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. MENORES,2014-05-04,CARREIRA BENXAMIN. DISTANCIA: 1000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE CONCELLO DE VIMIANZO. MENORES,2014-05-04,CARREIRA INFANTIL E CADETE. DISTANCIA: 3000 M,0,0,0,0,mixto
III CARREIRA PEDESTRE DE DUMBRÍA,2017-05-27,ABSOLUTA 10K (1999 E ANTERIORES),145,35,0,180,mixto
III CARREIRA PEDESTRE DE DUMBRÍA,2017-05-27,ABSOLUTA 3K CONTRA O CANCRO (1999 E ANOS ANTERIORES),44,59,0,103,mixto
III CARREIRA PEDESTRE DE DUMBRÍA,2017-05-27,"BENXAMIN: (08-09), ALEVIN: (06-07)",24,29,0,53,mixto
III CARREIRA PEDESTRE DE DUMBRÍA,2017-05-27,"INFANTIL: (04-05),CADETE: (02-03), XUVENIL: (00-01)",27,29,0,56,mixto
III CARREIRA PEDESTRE DO CONCELLO DE MALPICA,2018-09-08,ALEVIN (2007-2008),8,1,0,9,mixto
III CARREIRA PEDESTRE DO CONCELLO DE MALPICA,2018-09-08,BENXAMIN (2009 A 2012),11,9,0,20,mixto
III CARREIRA PEDESTRE DO CONCELLO DE MALPICA,2018-09-08,INFANTIL (2005-2006) E CADETE (2003-2004),3,3,0,6,mixto
III CARREIRA PEDESTRE DO CONCELLO DE MALPICA,2018-09-08,PROBA DE 10K (2002 E ANT.),80,13,0,93,mixto
III CARREIRA PINGA-PINGA 2012,2012-10-13,III CARREIRA PINGA-PINGA 2012,0,0,0,0,mixto
III CARREIRA PONTENOITE 5+5 “RUN FOR PARKINSON´S”,2015-06-13,ABSOLUTA 10K,446,108,0,554,mixto
III CARREIRA PONTENOITE 5+5 “RUN FOR PARKINSON´S”,2015-06-13,ABSOLUTA CCCP,231,48,0,279,mixto
III CARREIRA PONTENOITE 5+5 “RUN FOR PARKINSON´S”,2015-06-13,ABSOLUTA CCCP [Compensada],231,48,0,279,mixto
III CARREIRA PONTENOITE 5+5 “RUN FOR PARKINSON´S”,2015-06-13,PERCORRIDO DE 5.000 METROS,73,67,0,140,mixto
III CARREIRA POPULAR ALFOZ-VALADOURO,2024-10-05,ABSOLUTA (ata 2008),55,12,0,67,mixto
III CARREIRA POPULAR ALFOZ-VALADOURO,2024-10-05,ALEVÍN SUB12 (2013-2014),5,6,0,11,mixto
III CARREIRA POPULAR ALFOZ-VALADOURO,2024-10-05,BENXAMIN SUB10 (2015-2016),6,6,0,12,mixto
III CARREIRA POPULAR ALFOZ-VALADOURO,2024-10-05,INFANTIL SUB14 (2011-2012) e CADETE SUB16 (2009-2010),9,13,0,22,mixto
"III CARREIRA POPULAR CARBALLEDO ""ENTRE CARBALLOS CENTENARIOS""",2017-05-13,ABSOLUTA (2001 E ANTERIORES),90,21,0,111,mixto
III CARREIRA POPULAR CONCELLO DE BEGONTE,2018-06-23,ABSOLUTA (1999 E ANTERIORES),142,24,0,166,mixto
III CARREIRA POPULAR CONCELLO DE BEGONTE,2018-06-23,CATEGORIA A (2009-2010),5,1,0,6,mixto
III CARREIRA POPULAR CONCELLO DE BEGONTE,2018-06-23,CATEGORIA B (2006-2008),13,9,0,22,mixto
III CARREIRA POPULAR CONCELLO DE BEGONTE,2018-06-23,CATEGORIA C (2003-2005),6,3,0,9,mixto
III CARREIRA POPULAR CONCELLO DE BEGONTE,2018-06-23,CATEGORIA D (2000-2002),8,2,0,10,mixto
III CARREIRA POPULAR CONCELLO DE FRIOL,2015-05-02,ABSOLUTA (1999 E ANTERIORES),169,50,0,219,mixto
III CARREIRA POPULAR CONCELLO DE MONTERREI. MONTERREI é 10,2016-11-06,ABSOLUTA (2001 E ANTERIORES),169,50,0,219,mixto
III CARREIRA POPULAR CONCELLO DE MONTERREI. MONTERREI é 10,2016-11-06,BENXAMIN-ALEVIN (2006-2009),19,22,0,41,mixto
III CARREIRA POPULAR CONCELLO DE MONTERREI. MONTERREI é 10,2016-11-06,EQUIPOS III 10K CONCELLO DE MONTERREI,0,0,0,0,mixto
III CARREIRA POPULAR CONCELLO DE MONTERREI. MONTERREI é 10,2016-11-06,INFANTIL-CADETE (2002-2005),8,11,0,19,mixto
III CARREIRA POPULAR CONCELLO DE O SAVIÑAO,2014-08-02,ADULTOS. DISTANCIA: 8000 M,0,0,0,0,mixto
III CARREIRA POPULAR CONCELLO DE PARADELA 2024,2024-06-01,ABSOLUTA (2008 e anteriores),27,9,0,36,mixto
III CARREIRA POPULAR CONCELLO DE PARADELA 2024,2024-06-01,SUB12 (2013-2014) SUB10 (2015-2016),4,10,0,14,mixto
III CARREIRA POPULAR CONCELLO DE PARADELA 2024,2024-06-01,SUB16 (2009-2010) SUB14 (2011-2012),3,0,0,3,mixto
III CARREIRA POPULAR DE COMBARRO,2017-10-28,PROBA ABSOLUTA (2001 E ANTERIORES),114,34,0,148,mixto
