nombre_carrera,candidato_lugar,ubicacion,lat,lon
CARREIRA POPULAR DA FUNDACION CELTA DE VIGO | INVASIÓN CELESTE 2014. PERCORRIDO DE 6K,6K,"España, Galapagar, Comunidad de Madrid, 28292, España",40.6196813,-4.0318692
CARREIRA POPULAR DE A MERCA 2013,A MERCA,"A Merca, Terra da Celanova, Ourense, Galicia, España",42.2102895,-7.8846017
CARREIRA POPULAR DE A MERCA 2014 ABSOLUTA,A MERCA,"A Merca, Terra da Celanova, Ourense, Galicia, España",42.2102895,-7.8846017
CARREIRA POPULAR DE A MERCA 2014 MENORES,A MERCA,"A Merca, Terra da Celanova, Ourense, Galicia, España",42.2102895,-7.8846017
CARREIRA POPULAR DE A MERCA 2015,A MERCA,"A Merca, Terra da Celanova, Ourense, Galicia, España",42.2102895,-7.8846017
CARREIRA POPULAR DE A MERCA 2016,A MERCA,"A Merca, Terra da Celanova, Ourense, Galicia, España",42.2102895,-7.8846017
CARREIRA POPULAR MONDOÑEDO MONUMENTAL,MONDOÑEDO MONUMENTAL,,,
CARREIRA POPULAR POLA LINGUA - RAXÓ,POLA LINGUA - RAXÓ,,,
CARREIRA POPULAR SAN ROQUE DE LARIN 2023 - ARTEIXO,LARIN,"Larín, Arteixo, A Coruña, Galicia, España",43.2675779,-8.5360624
CARREIRA POPULAR SOLIDARIA DE REIS CONCELLO DE BARREIROS 2020,BARREIROS,"Barreiros, A Mariña Oriental, Lugo, Galicia, España",43.514168,-7.2505546
CARREIRA POPULAR TOFFE CONCELLO DE RIANXO,RIANXO,"Rianxo, A Barbanza, A Coruña, Galicia, España",42.6909268,-8.7911951
CARREIRA POPULAR UN MOIO,UN MOIO,,,
CARREIRA POPULAR XINZO DE LIMIA 2015,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
CARREIRA POPULAR XINZO DE LIMIA 2016,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
CARREIRA POPULAR XINZO DE LIMIA 2017,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
CARREIRA POPULAR XINZO DE LIMIA 2018,LIMIA,"Limia, Camiño do Coíño, O Casal, Frieira, Allariz, Allariz-Maceda, Ourense, Galicia, 32660, España",42.1933429,-7.7919966
CARREIRA POPULAR “XXX MEMORIAL ADOLFO ROS – VOLTA Á RÍA”,“XXX ADOLFO ROS – Á RÍA”,,,
CARREIRA SANTA CRUZ - MONDIGO (RIBADEO) 2016,SANTA CRUZ - MONDIGO,,,
"CARREIRA SOLIDARIA VIRTUAL ""SOMOS UNIDOS POR EL CANCER"" 2021","VIRTUAL ""SOMOS UNIDOS POR EL CANCER""",,,
CARREIRA “50 ANIVERSARIO A MERCED-AS ACEAS” (SARRIA),“50 ANIVERSARIO A MERCED-AS ACEAS”,,,
CARREIRA-ANDAINA SOLIDARIA RUTA DO ROMANICO,ROMANICO,"Puente Románico, Puente la Reina / Gares, Izarbeibar-Novenera, Navarra, Navarra / Nafarroa, 31100, España",42.6711221,-1.818795
CARRERA 10 KM PEÑACORADA 2012,10 KM PEÑACORADA,"Fuentes de Peñacorada, Cistierna, León, Castilla y León, 24816, España",42.8354904,-5.0905392
CARRERA CARREFOUR FERROL,CARREFOUR FERROL,"Carrefour, Rúa Buque Escola Giralda, Os Loureiros, O Espiño, Santa Icía de Trasancos, Ferrol, A Coruña, Galicia, 15570, España",43.5038227,-8.2050152
CARRERA CLUB FLUVIAL DE LUGO,LUGO,"Lugo, Galicia, España",43.0395266,-7.4567985
CARRERA DE EMPRESAS GALICIA 2023 PORRIÑO,EMPRESAS,"Centro de Innovación de empresas de Aragón, Parque Goya, Actur-Rey Fernando, Zaragoza, Aragón, España",41.6807688,-0.8857615
CARRERA DE MENORES MINI ATLÁNTICA,MENORES MINI ATLÁNTICA,,,
CARRERA DE VIGO CONTRA EL CÁNCER,VIGO CONTRA EL CÁNCER,,,
CARRERA DE VIGO CONTRA EL CÁNCER 2016,VIGO CONTRA EL CÁNCER,,,
CARRERA DE VIGO CONTRA EL CÁNCER 2017,VIGO CONTRA EL CÁNCER,,,
CARRERA DE VIGO CONTRA EL CÁNCER 2018,VIGO CONTRA EL CÁNCER,,,
CARRERA POPULAR DRAGOMAN 2013,DRAGOMAN,,,
CARRERA POPULAR MEDIA MARATON ANCARES 2014,MEDIA ANCARES,,,
CARRERA POPULAR SIN-SON 10 KM 2012,SIN-SON 10 KM,"Carrer de la Sin Nombre, Son Blanc, sa Caleta, Ciutadella, Menorca, Illes Balears, 07769, España",39.9868347,3.835844
CARRERA SOLIDARIA CONTRA EL HAMBRE,CONTRA EL HAMBRE,"Acción contra el Hambre, 3, Calle del Duque de Sevilla, El Viso, Chamartín, Madrid, Comunidad de Madrid, 28002, España",40.4417802,-3.6794678
CATOUTE VERTICAL 2014,CATOUTE VERTICAL,,,
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014,CAMPAÑÓ - HOTEL CAMPANIOLA,,,
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. CCCP,CAMPAÑÓ - HOTEL CAMPANIOLA,,,
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. COMPENSADA FEMENINA,CAMPAÑÓ - HOTEL CAMPANIOLA,,,
CCCP 2014. VII CARREIRA PEDESTRE DE CAMPAÑÓ - GRAN PREMIO HOTEL CAMPANIOLA 2014. COMPENSADA MASCULINA,CAMPAÑÓ - HOTEL CAMPANIOLA,,,
CHANDREXA TRAIL 2017,CHANDREXA,"Chandrexa, Chandrexa de Queixa, Terra de Trives, Ourense, Galicia, España",42.2411281,-7.3870248
CHANDREXA TRAIL 2018,CHANDREXA,"Chandrexa, Chandrexa de Queixa, Terra de Trives, Ourense, Galicia, España",42.2411281,-7.3870248
CHANDREXA TRAIL 2019,CHANDREXA,"Chandrexa, Chandrexa de Queixa, Terra de Trives, Ourense, Galicia, España",42.2411281,-7.3870248
"CIRCUITO DECATHLON, 10600M","DECATHLON, 10600M",,,
CLASICA ALVARO PINO 2013,CLASICA ALVARO PINO,,,
"COESES, CORRENDO POLO RURAL","COESES, CORRENDO POLO RURAL",,,
CONTRARRELOXO TRAIL-BTT PENEDwOMAN VIVEIRO,CONTRARRELOXO TRAIL-BTT PENEDwOMAN VIVEIRO,,,
COPA GALLEGA DE MONTAÑA (SOLO FEDERADOS): MONTES DE VIVEIRO 2012,VIVEIRO,"Viveiro, A Mariña Occidental, Lugo, Galicia, España",43.6433582,-7.5957612
CORRE CON NOS - GRAN PREMIO LARSA 2022,CORRE CON NOS - LARSA,,,
"CORRE CON NOS FEIRA EXPOSICIONS, ADULTOS","CORRE CON NOS FEIRA EXPOSICIONS, ADULTOS",,,
"CORRE CON NOS FEIRA EXPOSICIONS, NENOS","CORRE CON NOS FEIRA EXPOSICIONS, NENOS",,,
CORRE CON NOS PISTAS ADULTOS,CORRE CON NOS PISTAS ADULTOS,,,
"CORRE CON NOS PISTAS CATEGORIAS A,B Y C","CORRE CON NOS PISTAS CATEGORIAS A,B Y C",,,
CORRE CON NOS XII+I - AS TERMAS,CORRE CON NOS XII+I - AS TERMAS,,,
CORRE CON NOS XII+I - Montirón San Fiz,CORRE CON NOS XII+I - Montirón San Fiz,,,
CORRE CON NOS XII+I - PARADAI,CORRE CON NOS XII+I - PARADAI,,,
CORRE CON NOS XII+I - RECINTO FEIRAL,CORRE CON NOS XII+I - RECINTO FEIRAL,,,
CORRE CON NOS XII+I AS GANDARAS 5300M,CORRE CON NOS XII+I AS GANDARAS 5300M,,,
CORRE CON NOS XII+I NOCTURNA MONUMENTAL,CORRE CON NOS XII+I MONUMENTAL,,,
CORRE CON NOS XII+I PISTAS G. PÉREZ RIVERA 4900M,CORRE CON NOS XII+I PISTAS G. PÉREZ RIVERA 4900M,,,
CORRE CON NOS. BARRIO SANFIZ,CORRE CON NOS. BARRIO SANFIZ,,,
CORRE CON NOS. C.C. AS TERMAS,CORRE CON NOS. C.C. AS TERMAS,,,
CORRE CON NOS. NOCTURNA MONUMENTAL,CORRE CON NOS. MONUMENTAL,,,
CORRE CON NOS. PARQUE DE FRIGSA (FINAL ADULTOS),FRIGSA,"Parque da Milagrosa, A Milagrosa, Lugo, Galicia, España",43.0222696,-7.5632399
CORRE CON NOS. PASEO OMBREIRO (SAAMASAS-ANXO CARRO),CORRE CON NOS. PASEO OMBREIRO,,,
CORRE CON NOS. RECINTO FEIRAL,CORRE CON NOS. RECINTO FEIRAL,,,
CORRE CON NÓS CC AS TERMAS,CORRE CON NÓS CC AS TERMAS,,,
CORRE CON NÓS Corre con Elas,CORRE CON NÓS Corre con Elas,,,
CORRENDO POLA VIA KÜNIG,CORRENDO POLA VIA KÜNIG,,,
CORRESAN CENTRO COMERCIAL COMPOSTELA,CORRESAN CENTRO COMERCIAL COMPOSTELA,,,
CORRIDA ATLANTICA COMPORTA - TROIA,CORRIDA ATLANTICA COMPORTA - TROIA,,,
CORUÑA CORRE 2014-2015. III CARRERA POPULAR LOS ROSALES 2014,CORUÑA CORRE,,,
CORUÑA CORRE 2014-2015. III CARRERA POPULAR LOS ROSALES 2014. MENORES,CORUÑA CORRE,,,
CORUÑA CORRE 2014-2015. IV CARRERA POPULAR NOVO MESOIRO - MEMORIAL IVAN ROCHA FREIRE 2014. MENORES,CORUÑA CORRE,,,
CRONO ESCALADA MONTE CASTELO,CRONO ESCALADA MONTE CASTELO,,,
CROSS POSEIDON RACE ACEM,POSEIDON ACEM,,,
CTO. GALEGO DE AUGAS ABERTAS - ETAPA FINAL PONTEAREAS 2022,AUGAS ABERTAS - ETAPA PONTEAREAS,,,
CTO. GALEGO DE AUGAS ABERTAS - PONTEAREAS 2022,AUGAS ABERTAS - PONTEAREAS,,,
CXOU CARREIRA DA CARBALLEIRA,CARBALLEIRA,"Carballeira, Torroso, Mos, Vigo, Pontevedra, Galicia, 36417, España",42.2120012,-8.6173064
CXOU CARREIRA DA CARBALLEIRA MENORES,CARBALLEIRA MENORES,,,
CXOU CARREIRA DA ZONA UNIVERSITARIA,ZONA UNIVERSITARIA,"Zona Universitària, Avinguda Diagonal (lateral mar), la Maternitat i Sant Ramon, les Corts, Barcelona, Barcelonès, Barcelona, Catalunya, 08904, España",41.3840563,2.1115353
CXOU CARREIRA DA ZONA UNIVERSITARIA MENORES,ZONA UNIVERSITARIA MENORES,,,
Campionato Galego de Dúatlón - Naron,Dúatlón - Naron,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía,Tríatlon Contra o reloxo - Vilagarcía,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2018,Tríatlon Contra o reloxo - Vilagarcía,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2019,Tríatlon Contra o reloxo - Vilagarcía,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2022,Tríatlon Contra o reloxo - Vilagarcía,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2023,Tríatlon Contra o reloxo - Vilagarcía,,,
Campionato Galego de Tríatlon Contra o reloxo - Vilagarcía 2024,Tríatlon Contra o reloxo - Vilagarcía,,,
Carreira Contra o Cancro 5km Monforte,Contra o Cancro 5km Monforte,,,
Carreira Pedestre Santiaguiño do Burgo,Burgo,"Burgo, la Guingueta d'Àneu, Pallars Sobirà, Lleida, Catalunya, 25588, España",42.6165857,1.1534718
Carreira Pedestre Santiaguiño do Burgo 2016,Burgo,"Burgo, la Guingueta d'Àneu, Pallars Sobirà, Lleida, Catalunya, 25588, España",42.6165857,1.1534718
Carreira Pedestre Santiaguiño do Burgo 2017,Burgo,"Burgo, la Guingueta d'Àneu, Pallars Sobirà, Lleida, Catalunya, 25588, España",42.6165857,1.1534718
Carreira Pedestre Santiaguiño do Burgo 2018,Burgo,"Burgo, la Guingueta d'Àneu, Pallars Sobirà, Lleida, Catalunya, 25588, España",42.6165857,1.1534718
Carreira Popular 50 anos do CHUAC,CHUAC,"Complexo Hospitalario Universitario da Coruña, 84, Lugar As Xubias de Arriba, Oza, A Coruña, Galicia, 15006, España",43.3442634,-8.3891462
Carreira Popular de San Roque de Larín 2019 - Arteixo,Larín,"Larín, Arteixo, A Coruña, Galicia, España",43.2675779,-8.5360624
DESAFIO BOOT CAMP RACE VIGO 2015,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2016,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2017,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2018,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2019,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2021,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2022,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2023,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2024,DESAFIO BOOT CAMP VIGO,,,
DESAFIO BOOT CAMP VIGO 2025,DESAFIO BOOT CAMP VIGO,,,
DESAFIO COUREL 2017 CRONO SEMIURBANA,DESAFIO COUREL,,,
DESAFIO COUREL 2017 JABALI - LOBO - OSO,DESAFIO COUREL,,,
DESAFIO COUREL 2017 MONTAÑA DEL LOR,DESAFIO COUREL,,,
DESAFIO COUREL 2017 VALLE DEL SOLDÓN,DESAFIO COUREL,,,
DESAFIO MONTE TREGA 2016,DESAFIO MONTE TREGA,,,
DESAFIO VIA ROMANA,DESAFIO VIA ROMANA,,,
DESAFIO VIA ROMANA 2018,DESAFIO VIA ROMANA,,,
DESAFIO42 OURENSE - MEDIO MARATON DO RIBEIRO 2014,RIBEIRO,"O Ribeiro, Ourense, Galicia, España",42.3199065,-8.1522669
DESAFIO42 OURENSE - NOGUEIRA DE RAMUIN 2014,RAMUIN,"Nogueira de Ramuín, Ourense, Galicia, España",42.4029157,-7.7057075
DESAFIO42 OURENSE - OURENSE CIDADE 2014,DESAFIO42 OURENSE - OURENSE,,,
DESAFÍO BOMBEROS A CORUÑA 2016,DESAFÍO BOMBEROS A CORUÑA,,,
DESAFÍO BOMBEROS A CORUÑA 2019,DESAFÍO BOMBEROS A CORUÑA,,,
DESAFÍO SAN MAMEDE 2016,DESAFÍO SAN MAMEDE,,,
DESAFÍO SAN MAMEDE 2017,DESAFÍO SAN MAMEDE,,,
DESAFÍO SAN MAMEDE SOLIDARIO 2018,DESAFÍO SAN MAMEDE,,,
DESAFÍO SAN MAMEDE SOLIDARIO 2019,DESAFÍO SAN MAMEDE,,,
DIEZ KILOMETROS CUIDAD DE LEON 2012,LEON,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KILÓMETROS CIUDAD DE LEÓN 2013,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KILÓMETROS CIUDAD DE LEÓN 2014,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KILÓMETROS CIUDAD DE LEÓN 2015,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KILÓMETROS CIUDAD DE LEÓN 2016,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KILÓMETROS LEÓN CAPITAL ESPAÑOLA DE LA GASTRONOMÍA 2018,LA GASTRONOMÍA,"La Gastronomia, Calle María Garralón ""Julia"", Nerja, La Axarquía, Málaga, Andalucía, 29780, España",36.750645,-3.8680299
DIEZ KILÓMETROS LEÓN CUNA DEL PARLAMENTARISMO 2017,DIEZ KILÓMETROS LEÓN CUNA DEL PARLAMENTARISMO,,,
DIEZ KM UNIVERSITARIOS CIUDAD DE LEON 2013,LEON,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KM UNIVERSITARIOS CIUDAD DE LEON 2014,LEON,"León, Castilla y León, España",42.6341451,-5.9714151
DIEZ KM. UNIVERSITARIOS CIUDAD DE LEÓN 2015,LEÓN,"León, Castilla y León, España",42.6341451,-5.9714151
