fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,categoria_genero,modalidad
ccnorte,XVII CARRERA O PORRIÑO 10K,2026-03-22,Domingo,10.0,road running,Absoluta/General,210,732,O Porriño,Vigo,Galicia,0,mixto,
ccnorte,XVII CARRERA O PORRIÑO 10K,2026-03-22,Domingo,5.0,road running,Absoluta/General,139,133,O Porriño,Vigo,Galicia,0,mixto,
ccnorte,XVII CARRERA O PORRIÑO 10K,2026-03-22,Domingo,0.0,road running,Infantil,12,15,O Porriño,Vigo,Galicia,0,mixto,SUB10
ccnorte,XVII CARRERA O PORRIÑO 10K,2026-03-22,Domingo,0.0,road running,Infantil,13,13,O Porriño,Vigo,Galicia,0,mixto,SUB12
ccnorte,XVII CARRERA O PORRIÑO 10K,2026-03-22,Domingo,0.0,road running,Infantil,7,10,O Porriño,Vigo,Galicia,0,mixto,SUB14
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. CC AS TERMAS,2017-03-19,Domingo,0.0,road running,Absoluta/General,159,460,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. CC AS TERMAS,2017-03-19,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. CC AS TERMAS,2017-03-19,Domingo,0.0,road running,Infantil,67,63,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. CC AS TERMAS,2017-03-19,Domingo,0.0,road running,Infantil,12,26,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2017-02-12,Domingo,0.0,road running,Absoluta/General,189,544,Lugo,Lugo,Lugo,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2017-02-12,Domingo,0.0,road running,Absoluta/General,0,0,Lugo,Lugo,Lugo,0,mixto,ADULTOS [Compensada]
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2017-02-12,Domingo,0.0,road running,Infantil,75,81,Lugo,Lugo,Lugo,0,mixto,BENXAMÍN E ALEVIN
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. ESTRADA RÍO RATO,2017-02-12,Domingo,0.0,road running,Infantil,15,27,Lugo,Lugo,Lugo,0,mixto,INFANTIL E CADETE
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. FINAL ADULTOS,2017-06-04,Domingo,0.0,road running,Absoluta/General,134,424,,,,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2017-01-14,Sábado,0.0,road running,Absoluta/General,219,605,,,,0,mixto,ADULTOS
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2017-01-14,Sábado,0.0,road running,Absoluta/General,0,0,,,,0,mixto,ADULTOS [Compensada]
ccnorte,XVII CIRCUITO LARSA CORRE CON NÓS. NOCTURNA MONUMENTAL,2017-01-14,Sábado,0.0,road running,Infantil,88,88,,,,0,mixto,BENXAMÍN E ALEVIN
