id,modalidad_raceresult,finisher_h,finisher_d,finisher_total,nombre_carrera,fecha_inicio,fecha_fin,tipo_deporte,distancias,ubicacion,region,pais,codigo_pais,lat,lon,url_evento,municipio,comarca,provincia
402398,Team Adults,,,38,DEKA MILE: Bootcamp Valladolid,2026-06-06,2026-06-06,Otros,,,,España,ES,39.716,-96.9997,https://my.raceresult.com/402398/,,Washington County,Kansas
402417,Team Adults,,,21,DEKA MILE: Nalonbox,2026-06-06,2026-06-06,Otros,,,,España,ES,39.716,-96.9997,https://my.raceresult.com/402417/,,Washington County,Kansas
402421,Team Adults,,,20,DEKA MILE: CrossFit Tándem 55,2026-06-06,2026-06-06,Otros,,Vilafranca del Penedés,,España,ES,39.716,-96.9997,https://my.raceresult.com/402421/,,Washington County,Kansas
402461,Team Adults,,,31,DEKA MILE: La Carpa Sports,2026-06-06,2026-06-06,Otros,,Nave Sueca,,España,ES,39.716,-96.9997,https://my.raceresult.com/402461/,,Washington County,Kansas
402563,Live,0.0,16.0,16,AthlonX Moonfall,2026-07-25,2026-07-26,Carrera de Obstáculos,,Alicante,Alicante,España,ES,38.3456,-0.4855,https://my.raceresult.com/402563/,Alicante,L'Alacantí,Alicante
402818,Resultados,,,795,"Bosques Del Sur - Media, Mini y Peque",2026-06-06,2026-06-06,Carreras de montaña,,Cazorla,Jaén,España,ES,37.9141,-3.004,https://my.raceresult.com/402818/,Cazorla,,Jaén
403612,Live,,,21,SAC Series Junio 2026,2026-06-05,2026-06-06,Carrera de fitness,,Pollença,,España,ES,39.8777,3.0162,https://my.raceresult.com/403612/,Pollença,Sierra de Tramontana,Islas Baleares
404045,Clasificación General,,,37,Supercampeonato de Canarias de MTB,2026-06-20,2026-06-21,Ciclismo,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/404045/,Colmenar de Oreja,,Comunidad de Madrid
404074,Trail General,,,133,Tias bike Race 2026,2026-06-14,2026-06-14,Bicicleta de montaña,,Tias,,España,ES,28.9543,-13.6516,https://my.raceresult.com/404074/,Tías,,Las Palmas
404074,MTB General,,,127,Tias bike Race 2026,2026-06-14,2026-06-14,Bicicleta de montaña,,Tias,,España,ES,28.9543,-13.6516,https://my.raceresult.com/404074/,Tías,,Las Palmas
405500,Team Adults,,,9,DEKA STRONG & MILE: RED RIBBON ACADEMY,2026-06-20,2026-06-21,Otros,,Reus,,España,ES,39.716,-96.9997,https://my.raceresult.com/405500/,,Washington County,Kansas
406727,Clasificación General,,,101,XCO AJEI 2026 [MTB Escuelas],2026-06-20,2026-06-21,Ciclismo,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/406727/,Colmenar de Oreja,,Comunidad de Madrid
406729,Clasificación General,,,32,XCO AJEI 2026 [Short Track],2026-06-20,2026-06-21,Ciclismo,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/406729/,Colmenar de Oreja,,Comunidad de Madrid
406730,Clasificación General,,,79,XCO AJEI 2026 [XCO-MTB Ajei],2026-06-20,2026-06-21,Ciclismo,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/406730/,Colmenar de Oreja,,Comunidad de Madrid
406910,Team Adults,,,36,DEKA MILE: Hiberus training box,2026-06-27,2026-06-27,Otros,,nave,,España,ES,39.716,-96.9997,https://my.raceresult.com/406910/,,Washington County,Kansas
406913,Team Adults,,,22,DEKA MILE: NSTOP,2026-06-27,2026-06-27,Otros,,Bajo,,España,ES,39.716,-96.9997,https://my.raceresult.com/406913/,,Washington County,Kansas
407182,Team Adults,,,17,DEKA MILE: Nilfit Box Valdemoro,2026-06-28,2026-06-28,Otros,,Valdemoro,,España,ES,39.716,-96.9997,https://my.raceresult.com/407182/,,Washington County,Kansas
408145,Team Adults,,,31,DEKA MILE: KGM TRAINING,2026-07-04,2026-07-04,Otros,,Elda,,España,ES,39.716,-96.9997,https://my.raceresult.com/408145/,,Washington County,Kansas
408165,Team Adults,,,19,DEKA STRONG & MILE: TOLETVM CROSSFIT,2026-07-04,2026-07-05,Otros,,Castilla-La Mancha,,España,ES,39.716,-96.9997,https://my.raceresult.com/408165/,,Washington County,Kansas
408284,Team Adults,,,43,DEKA STRONG & MILE: Happy Gym Magaluf,2026-07-04,2026-07-05,Otros,,Calvià,,España,ES,39.716,-96.9997,https://my.raceresult.com/408284/,,Washington County,Kansas
409310,Live,,,100,DEKA Happy Gym Calvià 2026,2026-07-04,2026-07-05,Carrera de fitness,,Calvià,,España,ES,39.5667,2.508,https://my.raceresult.com/409310/,Calvià,Sierra de Tramontana,Islas Baleares
409630,Premiados general,11.0,12.0,23,XXII Travesía San Juan,2026-07-04,2026-07-04,Natación,,Arrecife,,España,ES,28.962,-13.5519,https://my.raceresult.com/409630/,Arrecife,,Las Palmas
409630,Clasificación General,9.0,10.0,19,XXII Travesía San Juan,2026-07-04,2026-07-04,Natación,,Arrecife,,España,ES,28.962,-13.5519,https://my.raceresult.com/409630/,Arrecife,,Las Palmas
409643,Clasificación Individual,,,12,Sylex 2026,2026-07-04,2026-07-04,Carrera de fitness,,,,España,ES,40.091,-3.4646,https://my.raceresult.com/409643/,Colmenar de Oreja,,Comunidad de Madrid
