fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,evento_ref,resultado_ref,nombre_evento,nombre_prueba,distancia_m
cronorunner,X 10K Arco Foios per la Fibrosi Quistica (Alevin),2023-12-17,Domingo,0.5,road running,Infantil,,,Foios,l'Horta Nord,Comunitat Valenciana,468-1754,468-1754-2680,X 10K Arco Foios per la Fibrosi Quistica,Alevin,500
cronorunner,X 10K Arco Foios per la Fibrosi Quistica (10km),2023-12-17,Domingo,10.0,road running,Absoluta/General,232.0,522.0,Foios,l'Horta Nord,Comunitat Valenciana,468-1754,468-1754-2674,X 10K Arco Foios per la Fibrosi Quistica,10km,10000
cronorunner,X 10K Arco Foios per la Fibrosi Quistica (Fila 0 (No corro)),2023-12-17,Domingo,0.0,road running,Absoluta/General,,,Foios,l'Horta Nord,Comunitat Valenciana,468-1754,468-1754-2675,X 10K Arco Foios per la Fibrosi Quistica,Fila 0 (No corro),0
cronorunner,X 10K Arco Foios per la Fibrosi Quistica (Compro Camiseta (No corro)),2023-12-17,Domingo,0.0,road running,Absoluta/General,,,Foios,l'Horta Nord,Comunitat Valenciana,468-1754,468-1754-2676,X 10K Arco Foios per la Fibrosi Quistica,Compro Camiseta (No corro),0
cronorunner,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE (5k),2023-12-16,Sábado,5.0,road running,Absoluta/General,,,Burjassot,l'Horta Nord,Comunitat Valenciana,591-1828,591-1828-2682,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE,5k,5000
cronorunner,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE (Marcha 5k),2023-12-16,Sábado,5.0,marcha,Absoluta/General,,,Burjassot,l'Horta Nord,Comunitat Valenciana,591-1828,591-1828-2683,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE,Marcha 5k,5000
cronorunner,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE (Fila 0 (SOLO DONACIONES)),2023-12-16,Sábado,0.0,road running,Absoluta/General,,,Burjassot,l'Horta Nord,Comunitat Valenciana,591-1828,591-1828-2684,IV CARRERA SOLIDARIA L'EMPALME-AVAPACE,Fila 0 (SOLO DONACIONES),0
cronorunner,XXI CURSA DE NADAL BÉTERA (Sub 6 Xupetins),2023-12-16,Sábado,0.1,road running,Absoluta/General,,,Bétera,València / Valencia,Comunitat Valenciana,361-1771,361-1771-2700,XXI CURSA DE NADAL BÉTERA,Sub 6 Xupetins,100
cronorunner,XXI CURSA DE NADAL BÉTERA (Sub 8 Prebenjamin),2023-12-16,Sábado,0.2,road running,Infantil,,,Bétera,València / Valencia,Comunitat Valenciana,361-1771,361-1771-2701,XXI CURSA DE NADAL BÉTERA,Sub 8 Prebenjamin,200
cronorunner,XXI CURSA DE NADAL BÉTERA (Sub 10 Benjamin),2023-12-16,Sábado,0.4,road running,Infantil,,,Bétera,València / Valencia,Comunitat Valenciana,361-1771,361-1771-2702,XXI CURSA DE NADAL BÉTERA,Sub 10 Benjamin,400
cronorunner,XXI CURSA DE NADAL BÉTERA (Sub 12 Alevin),2023-12-16,Sábado,0.8,road running,Infantil,,,Bétera,València / Valencia,Comunitat Valenciana,361-1771,361-1771-2703,XXI CURSA DE NADAL BÉTERA,Sub 12 Alevin,800
cronorunner,XXI CURSA DE NADAL BÉTERA (Sub 14 Infantil),2023-12-16,Sábado,1.2,road running,Infantil,,,Bétera,València / Valencia,Comunitat Valenciana,361-1771,361-1771-2704,XXI CURSA DE NADAL BÉTERA,Sub 14 Infantil,1200
