fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,evento_ref,resultado_ref,nombre_evento,nombre_prueba,distancia_m
cronorunner,XXII VOLTA A PEU LORIGUILLA (Junior (2009-2010)),2026-09-04,Viernes,0.0,road running,Infantil,,,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3895,XXII VOLTA A PEU LORIGUILLA,Junior (2009-2010),0
cronorunner,XXII VOLTA A PEU LORIGUILLA (Benjamin (2017-2018)),2026-09-04,Viernes,0.3,road running,Infantil,9.0,8.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3861,XXII VOLTA A PEU LORIGUILLA,Benjamin (2017-2018),300
cronorunner,XXII VOLTA A PEU LORIGUILLA (Alevin (2015-2016)),2026-09-04,Viernes,0.7,road running,Infantil,5.0,7.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3862,XXII VOLTA A PEU LORIGUILLA,Alevin (2015-2016),700
cronorunner,XXII VOLTA A PEU LORIGUILLA (Infantil (2013-2014)),2026-09-04,Viernes,1.05,road running,Infantil,2.0,1.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3863,XXII VOLTA A PEU LORIGUILLA,Infantil (2013-2014),1050
cronorunner,XXII VOLTA A PEU LORIGUILLA (Cadete (2011-2012)),2026-09-04,Viernes,1.4,road running,Infantil,1.0,2.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3864,XXII VOLTA A PEU LORIGUILLA,Cadete (2011-2012),1400
cronorunner,XXII VOLTA A PEU LORIGUILLA (10k),2026-09-04,Viernes,10.0,road running,Absoluta/General,58.0,220.0,Loriguilla,València / Valencia,Comunitat Valenciana,448-2212,448-2212-3694,XXII VOLTA A PEU LORIGUILLA,10k,10000
cronorunner,XXIX VOLTA A PEU LA CANYADA (Sub 10 (Nacidos en 2017 y posteriores)),2026-08-29,Sábado,1.0,road running,Absoluta/General,,,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3814,XXIX VOLTA A PEU LA CANYADA,Sub 10 (Nacidos en 2017 y posteriores),1000
cronorunner,XXIX VOLTA A PEU LA CANYADA (Sub 14 (Nacidos entre 2013 y 2016)),2026-08-29,Sábado,1.0,road running,Absoluta/General,,,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3815,XXIX VOLTA A PEU LA CANYADA,Sub 14 (Nacidos entre 2013 y 2016),1000
cronorunner,"XXIX VOLTA A PEU LA CANYADA (Volta a peu La Canyada (6,4km))",2026-08-29,Sábado,6.4,road running,Absoluta/General,156.0,320.0,Paterna,l'Horta Nord,Comunitat Valenciana,331-2261,331-2261-3813,XXIX VOLTA A PEU LA CANYADA,"Volta a peu La Canyada (6,4km)",6400
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Prebenjamin (2019-2020)),2026-08-28,Viernes,0.2,road running,Infantil,10.0,14.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3868,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Prebenjamin (2019-2020),200
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Benjamin (2017-2018)),2026-08-28,Viernes,0.55,road running,Infantil,5.0,20.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3869,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Benjamin (2017-2018),550
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Alevin (2015-2016)),2026-08-28,Viernes,1.1,road running,Infantil,10.0,12.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3870,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Alevin (2015-2016),1100
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Infantil (2013-2014)),2026-08-28,Viernes,1.65,road running,Infantil,4.0,6.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3871,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Infantil (2013-2014),1650
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (Cadet (2009-2012)),2026-08-28,Viernes,2.2,road running,Infantil,3.0,5.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3872,XXXIV VOLTA A PEU NOCTURNA A MANUEL,Cadet (2009-2012),2200
cronorunner,XXXIV VOLTA A PEU NOCTURNA A MANUEL (7k),2026-08-28,Viernes,7.0,road running,Absoluta/General,135.0,363.0,Manuel,València / Valencia,Comunitat Valenciana,306-2175,306-2175-3591,XXXIV VOLTA A PEU NOCTURNA A MANUEL,7k,7000
cronorunner,"XVI VOLTA A PEU ALBUIXECH (6,5k)",2026-08-21,Viernes,6.5,road running,Absoluta/General,204.0,479.0,Albuixech,l'Horta Nord,Comunitat Valenciana,437-2184,437-2184-3602,XVI VOLTA A PEU ALBUIXECH,"6,5k",6500
cronorunner,"XVI VOLTA A PEU ALBUIXECH (6,5k Cadet-juvenil)",2026-08-21,Viernes,6.5,road running,Infantil,13.0,26.0,Albuixech,l'Horta Nord,Comunitat Valenciana,437-2184,437-2184-3894,XVI VOLTA A PEU ALBUIXECH,"6,5k Cadet-juvenil",6500
cronorunner,"XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (5,5KM)",2026-08-08,Sábado,5.572,road running,Absoluta/General,121.0,297.0,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3693,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,"5,5KM",5572
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Querubines ( 0 a 5 años)),2026-08-08,Sábado,0.1,road running,Absoluta/General,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3848,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Querubines ( 0 a 5 años),100
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Prebenjamines ( 6 a 7 años)),2026-08-08,Sábado,0.2,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3849,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Prebenjamines ( 6 a 7 años),200
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Benjamines (8 a 9 años)),2026-08-08,Sábado,0.3,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3850,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Benjamines (8 a 9 años),300
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Alevines (10 a 11 años)),2026-08-08,Sábado,0.4,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3851,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Alevines (10 a 11 años),400
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Infantil (12 a 13 años)),2026-08-08,Sábado,0.6,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3852,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Infantil (12 a 13 años),600
cronorunner,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER (Cadetes (14 a 15 aoñs)),2026-08-08,Sábado,0.8,road running,Infantil,,,San Antonio de Benagéber,València / Valencia,Comunitat Valenciana,453-2211,453-2211-3853,XXVIII LEGUA SAN ANTONIO DE BENAGÉBER,Cadetes (14 a 15 aoñs),800
cronorunner,IX 8k ALBALAT DE LA RIBERA,2026-08-07,Viernes,8.0,road running,Absoluta/General,39.0,172.0,Albalat de la Ribera,València / Valencia,Comunitat Valenciana,671-2267,671-2267-3834,IX 8k ALBALAT DE LA RIBERA,8KM,8000
cronorunner,XI 10K MONTSERRAT,2026-07-31,Viernes,10.0,road running,Absoluta/General,140.0,528.0,Montserrat,València / Valencia,Comunitat Valenciana,347-2229,347-2229-3812,XI 10K MONTSERRAT,10k,10000
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Chupetín 2022-2025),2026-07-25,Sábado,0.1,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3766,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Chupetín 2022-2025,100
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Prebenjamín 2019-2021),2026-07-25,Sábado,0.25,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3767,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Prebenjamín 2019-2021,250
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Benjamín 2017-2018),2026-07-25,Sábado,0.55,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3768,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Benjamín 2017-2018,550
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Alevín 2015-2016),2026-07-25,Sábado,0.8,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3769,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Alevín 2015-2016,800
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Infantil 2013-2014),2026-07-25,Sábado,1.2,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3770,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Infantil 2013-2014,1200
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Cadet 2009-2012),2026-07-25,Sábado,1.8,road running,Infantil,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3771,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Cadet 2009-2012,1800
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (8K),2026-07-25,Sábado,8.0,road running,Absoluta/General,259.0,554.0,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3577,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,8K,8000
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Compra Obsequios (No corro)),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3772,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Compra Obsequios (No corro),0
cronorunner,XXIV VOLTA A PEU PEL XÚQUER - RIOLA (Marcha),2026-07-25,Sábado,5.5,marcha,Absoluta/General,,,Riola,València / Valencia,Comunitat Valenciana,305-2170,305-2170-3774,XXIV VOLTA A PEU PEL XÚQUER - RIOLA,Marcha,5500
cronorunner,10K L'ELIANA (Sub6),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3842,10K L'ELIANA,Sub6,0
cronorunner,10K L'ELIANA (Sub8),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3843,10K L'ELIANA,Sub8,0
cronorunner,10K L'ELIANA (Sub10),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3844,10K L'ELIANA,Sub10,0
cronorunner,10K L'ELIANA (Sub12),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3845,10K L'ELIANA,Sub12,0
cronorunner,10K L'ELIANA (Sub14/16),2026-07-25,Sábado,0.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3846,10K L'ELIANA,Sub14/16,0
cronorunner,10K L'ELIANA (Lista espera (inscripción dia de la carrera sin chip)),2026-07-25,Sábado,10.0,road running,Absoluta/General,,,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3879,10K L'ELIANA,Lista espera (inscripción dia de la carrera sin chip),10000
cronorunner,10K L'ELIANA (10km (Prueba Puntuable para el circuito Camp de Túria 2026)),2026-07-25,Sábado,10.0,road running,Absoluta/General,181.0,465.0,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3680,10K L'ELIANA,10km (Prueba Puntuable para el circuito Camp de Túria 2026),10000
cronorunner,10K L'ELIANA (5km),2026-07-25,Sábado,5.0,road running,Absoluta/General,118.0,105.0,l'Eliana,València / Valencia,Comunitat Valenciana,667-2237,667-2237-3841,10K L'ELIANA,5km,5000
cronorunner,XXVIII VOLTA A PEU LLAURÍ,2026-07-24,Viernes,8.0,road running,Absoluta/General,63.0,241.0,Llaurí,València / Valencia,Comunitat Valenciana,395-2174,395-2174-3590,XXVIII VOLTA A PEU LLAURÍ,8k,8000
cronorunner,XIV 10K SENSE LÍMITS ALDAIA,2026-07-18,Sábado,10.0,road running,Absoluta/General,213.0,739.0,Aldaia,l'Horta Sud,Comunitat Valenciana,265-2196,265-2196-3802,XIV 10K SENSE LÍMITS ALDAIA,10km,10000
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Aguiluchos 2026/2025),2026-07-17,Viernes,0.05,road running,Absoluta/General,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3804,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Aguiluchos 2026/2025,50
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Chupetines 2022-2023),2026-07-17,Viernes,0.1,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3805,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Chupetines 2022-2023,100
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Prebenjamines 2019-2021),2026-07-17,Viernes,0.25,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3806,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Prebenjamines 2019-2021,250
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Benjamines 2017-2018),2026-07-17,Viernes,0.35,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3807,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Benjamines 2017-2018,350
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Alevines 2015-2016),2026-07-17,Viernes,0.8,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3808,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Alevines 2015-2016,800
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Infantiles 2013-2014),2026-07-17,Viernes,1.3,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3809,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Infantiles 2013-2014,1300
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (Cadets 2009-2012),2026-07-17,Viernes,1.8,road running,Infantil,,,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3810,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,Cadets 2009-2012,1800
cronorunner,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER (8KM),2026-07-17,Viernes,8.0,road running,Absoluta/General,61.0,243.0,Polinyà de Xúquer,València / Valencia,Comunitat Valenciana,160-2220,160-2220-3803,XII VOLTA A PEU JOANOT PRESÈNCIA POLINYÀ DE XÚQUER,8KM,8000
cronorunner,XXXIX VOLTA A PEU SOLLANA (Compra Camiseta (NO CORRO)),2026-07-11,Sábado,0.0,road running,Absoluta/General,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3796,XXXIX VOLTA A PEU SOLLANA,Compra Camiseta (NO CORRO),0
cronorunner,XXXIX VOLTA A PEU SOLLANA (Xupetins (2022-2024)),2026-07-11,Sábado,0.2,road running,Absoluta/General,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3784,XXXIX VOLTA A PEU SOLLANA,Xupetins (2022-2024),200
cronorunner,XXXIX VOLTA A PEU SOLLANA (Prebenjamins (2019-2021)),2026-07-11,Sábado,0.4,road running,Infantil,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3785,XXXIX VOLTA A PEU SOLLANA,Prebenjamins (2019-2021),400
cronorunner,XXXIX VOLTA A PEU SOLLANA (Benjamins (2017-2018)),2026-07-11,Sábado,0.8,road running,Infantil,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3786,XXXIX VOLTA A PEU SOLLANA,Benjamins (2017-2018),800
cronorunner,XXXIX VOLTA A PEU SOLLANA (Alevins (2015-2016)),2026-07-11,Sábado,0.8,road running,Infantil,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3787,XXXIX VOLTA A PEU SOLLANA,Alevins (2015-2016),800
cronorunner,XXXIX VOLTA A PEU SOLLANA (Infantil (2013-2014)),2026-07-11,Sábado,1.6,road running,Infantil,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3788,XXXIX VOLTA A PEU SOLLANA,Infantil (2013-2014),1600
cronorunner,XXXIX VOLTA A PEU SOLLANA (Cadets (2009-2012)),2026-07-11,Sábado,2.5,road running,Infantil,,,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3789,XXXIX VOLTA A PEU SOLLANA,Cadets (2009-2012),2500
cronorunner,XXXIX VOLTA A PEU SOLLANA (8K),2026-07-11,Sábado,8.0,road running,Absoluta/General,103.0,367.0,Sollana,València / Valencia,Comunitat Valenciana,344-2169,344-2169-3576,XXXIX VOLTA A PEU SOLLANA,8K,8000
cronorunner,VI TRAIL NOCTURNO DE CULLERA,2026-07-11,Sábado,11.4,trail running,Absoluta/General,70.0,319.0,Cullera,València / Valencia,Comunitat Valenciana,542-2258,542-2258-3773,VI TRAIL NOCTURNO DE CULLERA,"11,4KM",11400
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Minibenjamin (2021 y posteriores)),2026-07-10,Viernes,0.05,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3835,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Minibenjamin (2021 y posteriores),50
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Prebenjamin (2019/2020)),2026-07-10,Viernes,0.1,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3836,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Prebenjamin (2019/2020),100
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Benjamin (2017/2018)),2026-07-10,Viernes,0.2,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3837,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Benjamin (2017/2018),200
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Alevins (2015/2016)),2026-07-10,Viernes,0.35,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3838,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Alevins (2015/2016),350
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Infantils (2013/2014)),2026-07-10,Viernes,0.9,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3839,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Infantils (2013/2014),900
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (Cadets (2011/2012)),2026-07-10,Viernes,1.35,road running,Infantil,,,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3840,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,Cadets (2011/2012),1350
cronorunner,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA (5km),2026-07-10,Viernes,5.0,road running,Absoluta/General,224.0,430.0,la Pobla de Vallbona,València / Valencia,Comunitat Valenciana,450-2210,450-2210-3692,XXXIX VOLTA A PEU NOCTURNA A LA POBLA DE VALLBONA,5km,5000
cronorunner,XVII VOLTA A PEU MARENY DE BARRAQUETES,2026-07-04,Sábado,7.0,road running,Absoluta/General,115.0,253.0,Sueca,València / Valencia,Comunitat Valenciana,304-2173,304-2173-3589,XVII VOLTA A PEU MARENY DE BARRAQUETES,7k,7000
cronorunner,XII 5K ALBALAT DELS SORELLS (Compra Camiseta (No Corro)),2026-07-04,Sábado,0.0,road running,Absoluta/General,,,Albalat dels Sorells,l'Horta Nord,Comunitat Valenciana,597-2183,597-2183-3811,XII 5K ALBALAT DELS SORELLS,Compra Camiseta (No Corro),0
cronorunner,XII 5K ALBALAT DELS SORELLS (Compra Bocadillo (No corro)),2026-07-04,Sábado,0.0,road running,Absoluta/General,,,Albalat dels Sorells,l'Horta Nord,Comunitat Valenciana,597-2183,597-2183-3816,XII 5K ALBALAT DELS SORELLS,Compra Bocadillo (No corro),0
cronorunner,XII 5K ALBALAT DELS SORELLS (MENORES),2026-07-04,Sábado,0.0,road running,Infantil,13.0,20.0,Albalat dels Sorells,l'Horta Nord,Comunitat Valenciana,597-2183,597-2183-3860,XII 5K ALBALAT DELS SORELLS,MENORES,0
cronorunner,XII 5K ALBALAT DELS SORELLS (5k),2026-07-04,Sábado,5.0,road running,Absoluta/General,175.0,462.0,Albalat dels Sorells,l'Horta Nord,Comunitat Valenciana,597-2183,597-2183-3601,XII 5K ALBALAT DELS SORELLS,5k,5000
cronorunner,XXXIV VOLTA A PEU ALBAL (Chupetins 2021 i posteriors),2026-07-04,Sábado,0.1,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3777,XXXIV VOLTA A PEU ALBAL,Chupetins 2021 i posteriors,100
cronorunner,XXXIV VOLTA A PEU ALBAL (Prebenjamins 2019-2020),2026-07-04,Sábado,0.3,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3778,XXXIV VOLTA A PEU ALBAL,Prebenjamins 2019-2020,300
cronorunner,XXXIV VOLTA A PEU ALBAL (Benjamins 2017-2018),2026-07-04,Sábado,0.5,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3779,XXXIV VOLTA A PEU ALBAL,Benjamins 2017-2018,500
cronorunner,XXXIV VOLTA A PEU ALBAL (Alevins 2015-2016),2026-07-04,Sábado,1.0,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3780,XXXIV VOLTA A PEU ALBAL,Alevins 2015-2016,1000
cronorunner,XXXIV VOLTA A PEU ALBAL (Infantils 2013-2014),2026-07-04,Sábado,1.1,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3781,XXXIV VOLTA A PEU ALBAL,Infantils 2013-2014,1100
cronorunner,XXXIV VOLTA A PEU ALBAL (Cadets 2011-2012),2026-07-04,Sábado,2.1,road running,Infantil,,,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3782,XXXIV VOLTA A PEU ALBAL,Cadets 2011-2012,2100
cronorunner,XXXIV VOLTA A PEU ALBAL (10k),2026-07-04,Sábado,10.0,road running,Absoluta/General,48.0,236.0,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3775,XXXIV VOLTA A PEU ALBAL,10k,10000
cronorunner,XXXIV VOLTA A PEU ALBAL (5km),2026-07-04,Sábado,5.0,road running,Absoluta/General,50.0,62.0,Albal,l'Horta Sud,Comunitat Valenciana,324-2200,324-2200-3776,XXXIV VOLTA A PEU ALBAL,5km,5000
cronorunner,XXXII LEGUA URBANA CIUTAT DE TORRENT,2026-07-03,Viernes,5.572,road running,Absoluta/General,157.0,313.0,Torrent,l'Horta Sud,Comunitat Valenciana,266-2202,266-2202-3824,XXXII LEGUA URBANA CIUTAT DE TORRENT,Legua Urbana,5572
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Querubins 2023-2026),2026-07-02,Jueves,0.05,road running,Absoluta/General,,,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3818,XXXII VOLTA A PEU A GUADASSUAR,Querubins 2023-2026,50
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Xupetins 2021-2022),2026-07-02,Jueves,0.075,road running,Absoluta/General,,,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3819,XXXII VOLTA A PEU A GUADASSUAR,Xupetins 2021-2022,75
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Prebenjamins 2019-2020),2026-07-02,Jueves,0.25,road running,Infantil,,,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3820,XXXII VOLTA A PEU A GUADASSUAR,Prebenjamins 2019-2020,250
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Benjamins 2017-2018),2026-07-02,Jueves,0.45,road running,Infantil,11.0,13.0,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3821,XXXII VOLTA A PEU A GUADASSUAR,Benjamins 2017-2018,450
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Alevins 2015-216),2026-07-02,Jueves,0.75,road running,Infantil,9.0,22.0,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3822,XXXII VOLTA A PEU A GUADASSUAR,Alevins 2015-216,750
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (Infantils 2013-2014),2026-07-02,Jueves,1.2,road running,Infantil,9.0,5.0,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3823,XXXII VOLTA A PEU A GUADASSUAR,Infantils 2013-2014,1200
cronorunner,XXXII VOLTA A PEU A GUADASSUAR (8KM),2026-07-02,Jueves,8.0,road running,Absoluta/General,185.0,547.0,Guadassuar,València / Valencia,Comunitat Valenciana,561-2257,561-2257-3817,XXXII VOLTA A PEU A GUADASSUAR,8KM,8000
cronorunner,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA (Alevín (2015-2014)),2026-07-01,Miércoles,0.85,road running,Infantil,,,Picanya,l'Horta Sud,Comunitat Valenciana,457-2263,457-2263-3833,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA,Alevín (2015-2014),850
cronorunner,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA (Benjamín (2017-2016)),2026-07-01,Miércoles,0.54,road running,Infantil,,,Picanya,l'Horta Sud,Comunitat Valenciana,457-2263,457-2263-3832,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA,Benjamín (2017-2016),540
cronorunner,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA (Prebenjamín (2019-2018)),2026-07-01,Miércoles,0.41,road running,Infantil,,,Picanya,l'Horta Sud,Comunitat Valenciana,457-2263,457-2263-3831,VIII CARRERA INFANTIL CAIXA RURAL TORRENT A PICANYA,Prebenjamín (2019-2018),410
