event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,classificat_sexe_desconegut,DNF_h,DNF_d,DNF_total,DSQ_h,DSQ_d,DSQ_total,DNS_h,DNS_d,DNS_total,estat_desconegut_h,estat_desconegut_d,estat_desconegut_sexe_desconegut,esport
1417,IV TRIATLON DE MENORES CIUDAD DE TÍJOLA,2021-09-26,Tíjola (Almería),Varias,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/JVM.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlón
1341,V ALPUJARRA MAGNA GRAN FONDO,2021-09-25,Lanjarón (Granada),133 Km,4160,ok,,765,740,25,765,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcha ciclodeportiva
1394,"XI TRIATLON CROS ""CIUDAD DE TIJOLA"" - GERIAL",2021-09-25,Tíjola (Almería),Varias,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/MANGA_1_-_GENERAL_M.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlón Cros
1271,"XXXV PRUEBA DE FONDO ""DEL MELOCOTÓN""",2021-09-19,Guadix (Granada),21 Km,4149,ok,,229,199,30,229,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1290,XI CXM VALLE DE LOS GUÁJARES,2021-09-19,"Guajares, Los (Granada)","25, 14 u 8,5 Km",4155,ok,,85,70,15,85,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1325,III MEMORIAL ANDRÉS PÉREZ PRIETO,2021-09-19,Granada (Granada),7 Km,4148,ok,,451,305,146,451,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1344,XVII SUBIDA AL PANTANO DEL QUIEBRAJANO,2021-09-19,Jaén (Jaén),"13,6 Km",4159,ok,,386,335,51,386,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1405,I TRIATLÓN SUPER-SPRINT CASTILLO DE GUARDIAS VIEJAS 2021,2021-09-19,"Ejido, El (Almería)",400 m - 8 Km - 3 Km,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/GENERAL_spBDGcz.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlón cross
1406,I GRAN PREMIO LA AMATISTA,2021-09-19,Carboneras (Almería),88,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/CLASIFICACI%C3%93N__LA_AMATISTA.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ciclismo
1227,LA SAGRA SKYRACE 2021,2021-09-18,Puebla de Don Fadrique (Granada),"70K, 41K Y 28K",4144,ok,,146,129,17,146,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1362,GÁDOR - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-09-18,Gádor (Almería),"9,3",4143,ok,,172,135,37,172,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1388,CARRERA DE LA UVA - CANJAYAR 2021,2021-09-12,Canjáyar (Almería),"20,6  o 10,5 Km",4139,ok,,73,61,12,73,0,0,0,0,0,0,0,0,0,0,0,0,0,Montaña
1361,BÉDAR - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-09-11,Bédar (Almería),-,4136,ok,,129,106,23,129,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1333,ALPINA SIERRA DE GADOR - DALIAS 2021,2021-09-05,Dalías (Almería),28 Y 21 Km,4127,ok,,147,116,31,147,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1355,TRAVESIA A NADO ''PUERTO DE AGUADULCE'' 2021,2021-09-05,Roquetas de Mar (Almería),"250, 750, 1500 y 5000",4123,ok,,44,33,11,44,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía
1399,VI GREEN TOUR KOPPERT,2021-09-05,"Ejido, El (Almería)",104,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/TRAMO_1_YmO7XAw.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cicloturista
1360,VERA - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-09-04,Vera (Almería),-,4112,ok,,197,155,42,197,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1393,VII MILLA PORTUARIA DE CARBONERAS,2021-09-04,Carboneras (Almería),Varias,4113,ok,,68,52,16,68,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1337,3ª CRONOESCALADA CASCAMORRAS,2021-09-03,Baza (Granada),3K,4132,ok,,55,45,10,55,0,0,0,0,0,0,0,0,0,0,0,0,0,Cronoescalada
1253,VIII CARRERA PEDESTRE ALCORNOCAL SIERRA DE LUJAR,2021-08-29,Lújar (Granada),"19 Km y 11,5 Km",4087,ok,,132,110,22,132,0,0,0,0,0,0,0,0,0,0,0,0,0,CxM
1347,V TRIATLÓN CROS “CIUDAD DE ROQUETAS”,2021-08-29,Roquetas de Mar (Almería),"0,5 - 10 - 4 Km",,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/GENERAL_-_M_v2_u5Af5XY.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Triatlón
1391,"III RALLY BTT LAGUNABIKES ""VILLA DE PADUL""",2021-08-29,Padul (Granada),Varias,4102,ok,,9,8,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Rally
1349,"VI DESAFÍO ""CASTILLEJO DE NÍVAR""",2021-08-28,Nívar (Granada),10 Km - Senderismo - Carreras Infantiles,4077,ok,,78,66,12,78,0,0,0,0,0,0,0,0,0,0,0,0,0,Mixta
1359,TIJOLA - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-08-28,Tíjola (Almería),8K,4078,ok,,124,106,18,124,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1378,TRAVESÍA A NADO CARLOS TEJADA. ALMERÍA,2021-08-28,Almería (Almería),VARIAS,4103,ok,,28,18,10,28,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
1387,XXII CARRERA POPULAR QUESADA CLÍNICA DENTAL BAZA 2021,2021-08-27,Baza (Granada),10K,4076,ok,,127,108,19,127,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1281,1ª MEDIA MARATÓN TAJOS DE ALHAMA,2021-08-22,Alhama de Granada (Granada),51 Km,4069,ok,,193,187,6,193,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
1358,BALANEGRA - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-08-22,Balanegra (Almería),7K,4067,ok,,174,131,43,174,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1381,"XV ACUATLÓN ""PLAYAS DE CHICLANA""",2021-08-22,Chiclana de la Frontera (Cádiz),Sprint,,error,pdf_pendent_de_parsejar:https://www.cruzandolameta.es/media/competiciones/clasificaciones/CATEGORIAS_-_F_LT53yQF.pdf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acuatlón
1395,III OPEN BTT LA CERRUZA TORREPEROGIL,2021-08-22,Torreperogil (Jaén),66,4070,ok,,190,185,5,190,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT
1346,XXXV AGUACARBO,2021-08-21,Carboneras (Almería),10 Km (5K Inf/Cad),4065,ok,,462,353,109,462,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1374,I BTT NOCTURNA DE ANTAS,2021-08-21,Antas (Almería),36 Km,4063,ok,,59,58,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,BTT nocturna
1377,TRAVESÍA A NADO DE MOJACAR 2021,2021-08-21,Mojácar (Almería),VARIAS,4074,ok,,32,18,14,32,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
1326,10K Y 5K PUERTO DE MOTRIL 2021,2021-08-14,Motril (Granada),10K y 5K,4060,ok,,395,317,78,395,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
1376,TRAVESÍA A NADO DE GARRUCHA 2021,2021-08-14,Garrucha (Almería),VARIAS,4057,ok,,28,15,13,28,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
1348,XXXI CRONOESCALADA SERÓN - LAS MENAS,2021-08-08,Serón (Almería),CRI,4056,ok,,79,72,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,Cronoescalada
1375,TRAVESÍA A NADO DE CUEVAS DEL ALMANZORA 2021,2021-08-07,Cuevas del Almanzora (Almería),VARIAS,4050,ok,,17,9,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,Travesía a nado
1320,GARRUCHA - CIRCUITO CARRERAS POPULARES DIPUTACIÓN DE ALMERÍA,2021-08-01,Garrucha (Almería),9K,4047,ok,,253,210,43,253,0,0,0,0,0,0,0,0,0,0,0,0,0,Ruta
