fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,32.0,43.0,Bilbao,,Vizcaya,
buscametas,San Silvestre Santurtzi,2025-12-31,Miércoles,7.0,road running,Absoluta/General,152.0,309.0,Santurtzi,,Vizcaya,
buscametas,Muskiz 3 Milia,2025-12-20,Sábado,5.0,road running,Absoluta/General,190.0,240.0,Muskiz,,Vizcaya,
buscametas,Zalla-Balma-Zalla,2025-12-14,Domingo,14.0,road running,Absoluta/General,62.0,221.0,Zalla,,Vizcaya,
buscametas,La Media de Vitoria-Gasteiz,2025-12-14,Domingo,0.0,road running,Absoluta/General,730.0,2562.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Soxoguti Erronka,2025-12-13,Sábado,0.0,road running,Absoluta/General,47.0,203.0,Artziniega,,Álava,
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,0.0,0.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,1.0,7.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4.0,6.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4.0,1.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,8.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,3.0,2.0,Alcalá la Real,,Jaén,
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7.0,12.0,Alcalá la Real,,Jaén,
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7.0,14.0,Alcalá la Real,,Jaén,
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,11.0,12.0,Alcalá la Real,,Jaén,
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,5.0,9.0,Alcalá la Real,,Jaén,
buscametas,Lemoatx Trail,2025-11-16,Domingo,25.0,trail running,Absoluta/General,15.0,134.0,Lemoa,,Vizcaya,
buscametas,Lemoatx Trail,2025-11-16,Domingo,17.0,trail running,Absoluta/General,35.0,168.0,Lemoa,,Vizcaya,
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,33.0,road running,Absoluta/General,23.0,175.0,Orduña,,Vizcaya,
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,0.0,road running,Absoluta/General,0.0,0.0,Orduña,,Vizcaya,
buscametas,Urduñako Mendi Lasterketa,2025-11-09,Domingo,14.0,road running,Absoluta/General,50.0,111.0,Orduña,,Vizcaya,
buscametas,BBK Mendi Martxak - Arrigorriaga-Basauri,2025-11-09,Domingo,16.0,marcha,Absoluta/General,117.0,138.0,Arrigorriaga-Basauri,,Vizcaya,
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,10.0,road running,Absoluta/General,193.0,410.0,Vitoria,Gasteizko kuadrilla,Álava,
buscametas,La Conquista de la Almendra,2025-11-02,Domingo,5.0,road running,Absoluta/General,137.0,155.0,Vitoria,Gasteizko kuadrilla,Álava,
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,25.0,trail running,Absoluta/General,39.0,252.0,Balmaseda,,Vizcaya,
buscametas,Kolitza Balmatrail,2025-11-02,Domingo,12.0,trail running,Absoluta/General,47.0,122.0,Balmaseda,,Vizcaya,
