fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,comunidad_autonoma,anyo,mes,estacion,total_finishers,es_finde,municipio_norm,provincia_norm,provincia_ine,anyo_cruce,total_poblacion,poblacion_h,poblacion_d,superficie_km2,densidad_poblacion,es_carrera_popular
buscametas,KZ Krono,2026-05-30,Sábado,0.0,Ciclismo y btt,Absoluta/General,2.0,5.0,Santurtzi,,Vizcaya,,2026,5,Primavera,7.0,True,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,33.0,45.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,78.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,marcha,Absoluta/General,66.0,37.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,103.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,trail running,Absoluta/General,8.0,59.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,67.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mitxarro Bira,2026-05-30,Sábado,0.0,trail running,Absoluta/General,49.0,109.0,Araia,Arabako lautada,Álava,,2026,5,Primavera,158.0,True,ARAIA,ALAVA,1.0,2025,,,,,,False
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,50.0,road running,Absoluta/General,21.0,93.0,Galdakao,,Vizcaya,,2026,5,Primavera,114.0,True,GALDAKAO,VIZCAYA,48.0,2025,24767.0,12093.0,12674.0,24.1638,1024.9629611236644,False
buscametas,Mugarriz Mugarri,2026-05-23,Sábado,24.0,road running,Absoluta/General,43.0,47.0,Galdakao,,Vizcaya,,2026,5,Primavera,90.0,True,GALDAKAO,VIZCAYA,48.0,2025,24767.0,12093.0,12674.0,24.1638,1024.9629611236644,False
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,0.0,trail running,Absoluta/General,19.0,186.0,Getxo,,Vizcaya,,2026,5,Primavera,205.0,True,GETXO,VIZCAYA,48.0,2025,75967.0,35597.0,40370.0,11.8727,6398.4603333698315,False
buscametas,Etorki Mendi Trail,2026-05-17,Domingo,0.0,trail running,Absoluta/General,121.0,253.0,Getxo,,Vizcaya,,2026,5,Primavera,374.0,True,GETXO,VIZCAYA,48.0,2025,75967.0,35597.0,40370.0,11.8727,6398.4603333698315,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,25.0,23.0,Ugao-Miraballes,,Vizcaya,,2026,5,Primavera,48.0,True,UGAO-MIRABALLES,VIZCAYA,48.0,2025,4210.0,2108.0,2102.0,5.2573,800.791280695414,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,19.0,28.0,Ugao-Miraballes,,Vizcaya,,2026,5,Primavera,47.0,True,UGAO-MIRABALLES,VIZCAYA,48.0,2025,4210.0,2108.0,2102.0,5.2573,800.791280695414,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Infantil,6.0,21.0,Ugao-Miraballes,,Vizcaya,,2026,5,Primavera,27.0,True,UGAO-MIRABALLES,VIZCAYA,48.0,2025,4210.0,2108.0,2102.0,5.2573,800.791280695414,False
buscametas,Ugao-Miraballes Herri Krosa,2026-05-10,Domingo,0.0,Otros,Mayores/Veteranos,70.0,204.0,Ugao-Miraballes,,Vizcaya,,2026,5,Primavera,274.0,True,UGAO-MIRABALLES,VIZCAYA,48.0,2025,4210.0,2108.0,2102.0,5.2573,800.791280695414,False
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,0.0,trail running,Absoluta/General,25.0,132.0,Güeñes,,Vizcaya,,2026,4,Primavera,157.0,True,GUENES,VIZCAYA,48.0,2025,6815.0,3289.0,3526.0,41.4767,164.3091181313846,False
buscametas,Lurretza Güeñes Skyrace,2026-04-19,Domingo,0.0,trail running,Absoluta/General,20.0,76.0,Güeñes,,Vizcaya,,2026,4,Primavera,96.0,True,GUENES,VIZCAYA,48.0,2025,6815.0,3289.0,3526.0,41.4767,164.3091181313846,False
buscametas,Subida a Estibaliz,2026-04-19,Domingo,15.0,road running,Absoluta/General,294.0,601.0,Armentia,Gasteizko kuadrilla,Álava,,2026,4,Primavera,895.0,True,ARMENTIA,ALAVA,1.0,2025,,,,,,False
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,0.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,,,2025,,,,,,False
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,5.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,,,2025,,,,,,False
buscametas,Carrera Campus Universidad de La Rioja,2026-04-12,Domingo,10.0,road running,Absoluta/General,0.0,0.0,Logroño,,,La Rioja,2026,4,Primavera,0.0,True,LOGRONO,,,2025,,,,,,False
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,0.0,road running,Absoluta/General,58.0,258.0,Ajo,,,Cantabria,2026,4,Primavera,316.0,True,AJO,,,2025,,,,,,False
buscametas,Trail Cabo de Ajo,2026-04-11,Sábado,0.0,marcha,Absoluta/General,157.0,166.0,Ajo,,,Cantabria,2026,4,Primavera,323.0,True,AJO,,,2025,,,,,,False
buscametas,UnderRun,2026-03-29,Domingo,8.0,road running,Absoluta/General,66.0,105.0,Bilbao,,Vizcaya,,2026,3,Primavera,171.0,True,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,False
buscametas,UnderRun,2026-03-29,Domingo,10.0,road running,Absoluta/General,16.0,62.0,Bilbao,,Vizcaya,,2026,3,Primavera,78.0,True,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,False
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,60.0,trail running,Absoluta/General,9.0,89.0,Zaramillo,,Vizcaya,,2026,3,Primavera,98.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,42.0,trail running,Absoluta/General,13.0,126.0,Zaramillo,,Vizcaya,,2026,3,Primavera,139.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,30.0,trail running,Absoluta/General,17.0,104.0,Zaramillo,,Vizcaya,,2026,3,Primavera,121.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,10.0,trail running,Absoluta/General,44.0,60.0,Zaramillo,,Vizcaya,,2026,3,Primavera,104.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,4.0,51.0,Amurrio,,Álava,,2026,3,Primavera,55.0,True,AMURRIO,ALAVA,1.0,2025,10346.0,5120.0,5226.0,96.1786,107.57070699719064,False
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,51.0,119.0,Amurrio,,Álava,,2026,3,Primavera,170.0,True,AMURRIO,ALAVA,1.0,2025,10346.0,5120.0,5226.0,96.1786,107.57070699719064,False
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,26.0,trail running,Absoluta/General,8.0,52.0,Mungia,,Vizcaya,,2026,3,Primavera,60.0,True,MUNGIA,VIZCAYA,48.0,2025,18135.0,8812.0,9323.0,44.4588,407.90574644389864,False
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,12.0,trail running,Absoluta/General,46.0,117.0,Mungia,,Vizcaya,,2026,3,Primavera,163.0,True,MUNGIA,VIZCAYA,48.0,2025,18135.0,8812.0,9323.0,44.4588,407.90574644389864,False
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,7.0,trail running,Absoluta/General,22.0,37.0,Mungia,,Vizcaya,,2026,3,Primavera,59.0,True,MUNGIA,VIZCAYA,48.0,2025,18135.0,8812.0,9323.0,44.4588,407.90574644389864,False
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,9.0,104.0,Bilbao,,Vizcaya,,2026,3,Primavera,113.0,True,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,False
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,0.0,0.0,Bilbao,,Vizcaya,,2026,3,Primavera,0.0,True,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,False
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,58.0,131.0,Bilbao,,Vizcaya,,2026,3,Primavera,189.0,True,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,False
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,30.0,road running,Absoluta/General,25.0,216.0,Zaramillo,,Vizcaya,,2026,2,Invierno,241.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,24.0,road running,Absoluta/General,50.0,285.0,Zaramillo,,Vizcaya,,2026,2,Invierno,335.0,True,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Pruebas Crono,2026-02-12,Jueves,30.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Vizcaya,,2026,2,Invierno,0.0,False,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,Pruebas Crono,2026-02-12,Jueves,24.0,road running,Absoluta/General,0.0,0.0,Zaramillo,,Vizcaya,,2026,2,Invierno,0.0,False,ZARAMILLO,VIZCAYA,48.0,2025,,,,,,False
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,10.0,road running,Absoluta/General,96.0,264.0,Mungia,,Vizcaya,,2026,1,Invierno,360.0,True,MUNGIA,VIZCAYA,48.0,2025,18135.0,8812.0,9323.0,44.4588,407.90574644389864,False
buscametas,San Antontxuko Herri Krosa,2026-01-11,Domingo,5.0,road running,Absoluta/General,163.0,131.0,Mungia,,Vizcaya,,2026,1,Invierno,294.0,True,MUNGIA,VIZCAYA,48.0,2025,18135.0,8812.0,9323.0,44.4588,407.90574644389864,False
buscametas,Bilbao Rekalde San Silvestre,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1057.0,1703.0,Bilbao,,Vizcaya,,2025,12,Invierno,2760.0,False,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,True
buscametas,San Silvestre Sodupe,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,124.0,298.0,Sodupe,,Vizcaya,,2025,12,Invierno,422.0,False,SODUPE,VIZCAYA,48.0,2025,,,,,,True
buscametas,San Silvestre de Vitoria-Gasteiz,2025-12-31,Miércoles,0.0,Otros,Mayores/Veteranos,1167.0,1355.0,Vitoria,Gasteizko kuadrilla,Álava,,2025,12,Invierno,2522.0,False,VITORIA,ALAVA,1.0,2025,,,,,,True
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,6.0,12.0,Bilbao,,Vizcaya,,2025,12,Invierno,18.0,False,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,True
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,23.0,46.0,Bilbao,,Vizcaya,,2025,12,Invierno,69.0,False,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,True
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,35.0,32.0,Bilbao,,Vizcaya,,2025,12,Invierno,67.0,False,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,True
buscametas,Bilbao Rekalde San Silvestre Txiki,2025-12-31,Miércoles,0.0,Otros,Infantil,32.0,43.0,Bilbao,,Vizcaya,,2025,12,Invierno,75.0,False,BILBAO,VIZCAYA,48.0,2025,350975.0,167198.0,183777.0,41.3426,8489.427370315365,True
buscametas,San Silvestre Santurtzi,2025-12-31,Miércoles,7.0,road running,Absoluta/General,152.0,309.0,Santurtzi,,Vizcaya,,2025,12,Invierno,461.0,False,SANTURTZI,VIZCAYA,48.0,2025,46530.0,22357.0,24173.0,8.8651,5248.671757791791,True
buscametas,Muskiz 3 Milia,2025-12-20,Sábado,5.0,road running,Absoluta/General,190.0,240.0,Muskiz,,Vizcaya,,2025,12,Invierno,430.0,True,MUSKIZ,VIZCAYA,48.0,2025,7468.0,3691.0,3777.0,21.0098,355.4531694732934,False
buscametas,Zalla-Balma-Zalla,2025-12-14,Domingo,14.0,road running,Absoluta/General,62.0,221.0,Zalla,,Vizcaya,,2025,12,Invierno,283.0,True,ZALLA,VIZCAYA,48.0,2025,8350.0,4083.0,4267.0,31.077800000000003,268.68053723236517,False
buscametas,La Media de Vitoria-Gasteiz,2025-12-14,Domingo,0.0,road running,Absoluta/General,730.0,2562.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,12,Invierno,3292.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Soxoguti Erronka,2025-12-13,Sábado,0.0,road running,Absoluta/General,47.0,203.0,Artziniega,,Álava,,2025,12,Invierno,250.0,True,ARTZINIEGA,ALAVA,1.0,2025,1868.0,925.0,943.0,27.2873,68.45675460745476,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,0.0,0.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,11,Otoño,0.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,1.0,7.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,11,Otoño,8.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4.0,6.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,11,Otoño,10.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,4.0,1.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,11,Otoño,5.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Duatlón Mendizabala Juegos Escolares Araba 25/26,2025-11-29,Sábado,0.0,Multidisciplina,Absoluta/General,3.0,8.0,Vitoria-Gasteiz,Gasteizko kuadrilla,Álava,,2025,11,Otoño,11.0,True,VITORIA-GASTEIZ,ALAVA,1.0,2025,260402.0,126749.0,133653.0,276.9648,940.1988989214514,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,3.0,2.0,Alcalá la Real,,Jaén,,2025,11,Otoño,5.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7.0,12.0,Alcalá la Real,,Jaén,,2025,11,Otoño,19.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,7.0,14.0,Alcalá la Real,,Jaén,,2025,11,Otoño,21.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,11.0,12.0,Alcalá la Real,,Jaén,,2025,11,Otoño,23.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
buscametas,Final Encuentro Interprovincial Escolar de CXM,2025-11-22,Sábado,0.0,Otros,Infantil,5.0,9.0,Alcalá la Real,,Jaén,,2025,11,Otoño,14.0,True,ALCALA LA REAL,JAEN,23.0,2025,21577.0,10650.0,10927.0,261.3437,82.56177592955177,False
buscametas,Lemoatx Trail,2025-11-16,Domingo,25.0,trail running,Absoluta/General,15.0,134.0,Lemoa,,Vizcaya,,2025,11,Otoño,149.0,True,LEMOA,VIZCAYA,48.0,2025,3611.0,1824.0,1787.0,15.4153,234.24779277730565,False
