fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad
cronofinisher,III TRAVESIA RIO GUADALQUIVIR - CLUB NAUTICO SEVILLA - BRAZADAS SOLIDARIAS,2019-10-05,Sábado,0.0,Otros,Absoluta/General,0,0,SEVILLA,,Sevilla,67,328,3000 M
cronofinisher,III TRAVESIA RIO GUADALQUIVIR - CLUB NAUTICO SEVILLA - BRAZADAS SOLIDARIAS,2019-10-05,Sábado,0.0,Otros,Absoluta/General,0,0,SEVILLA,,Sevilla,49,328,3000 M PREMIACION
cronofinisher,III TRAVESIA RIO GUADALQUIVIR - CLUB NAUTICO SEVILLA - BRAZADAS SOLIDARIAS,2019-10-05,Sábado,0.5,Otros,Absoluta/General,0,0,SEVILLA,,Sevilla,10,328,1500 M ALETAS
cronofinisher,III TRAVESIA RIO GUADALQUIVIR - CLUB NAUTICO SEVILLA - BRAZADAS SOLIDARIAS,2019-10-05,Sábado,0.5,Otros,Absoluta/General,0,0,SEVILLA,,Sevilla,11,328,1500 M ALETAS PREMIACION
cronofinisher,III TRAVESIA RIO GUADALQUIVIR - CLUB NAUTICO SEVILLA - BRAZADAS SOLIDARIAS,2019-10-05,Sábado,0.0,Otros,Absoluta/General,0,0,SEVILLA,,Sevilla,7,328,3000 M ALETAS
cronofinisher,XII DESSAFIO SIERRA SUR DE JAEN,2019-10-05,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,0,FRAILES,,Jaén,640,324,INDIVIDUAL CON PARCIALES
cronofinisher,XII DESSAFIO SIERRA SUR DE JAEN,2019-10-05,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,59,FRAILES,,Jaén,0,324,PAREJAS CON PARCIALES
cronofinisher,XII DESSAFIO SIERRA SUR DE JAEN,2019-10-05,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,102,FRAILES,,Jaén,0,324,PAREJAS
cronofinisher,XII DESSAFIO SIERRA SUR DE JAEN,2019-10-05,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,0,FRAILES,,Jaén,11,324,PAREJAS MIXTAS CON PARCIALES
cronofinisher,XII DESSAFIO SIERRA SUR DE JAEN,2019-10-05,Sábado,0.0,Ciclismo y btt,Absoluta/General,0,0,FRAILES,,Jaén,6,324,PAREJAS MIXTAS
cronofinisher,III CARRERA SOLIDARIA “CRUCERA ALTAFIT”,2019-09-22,Domingo,0.0,road running,Absoluta/General,1,0,CADIZ,Bahía de Cádiz,Andalucía,232,309,GENERAL
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Absoluta/General,0,0,SANTIAGO PONTONES,,Jaén,89,283,UTSS CON PUNTOS INTERMEDIOS
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Equipos,0,0,SANTIAGO PONTONES,,Jaén,14,283,UTSS EQUIPOS - CON PUNTOS INTERMEDIOS
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Absoluta/General,0,0,SANTIAGO PONTONES,,Jaén,226,283,LTSS CON PUNTO INTERMEDIO
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Absoluta/General,0,0,SANTIAGO PONTONES,,Jaén,119,283,CXM
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Absoluta/General,10,6,SANTIAGO PONTONES,,Jaén,115,283,MINITRAIL ADULTOS
cronofinisher,VI CXM SIERRA DE SEGURA - III TRAIL WEEKEND (SANTIAGO PONTONES),2019-09-21,Sábado,0.0,trail running,Cadete/Juvenil,0,0,SANTIAGO PONTONES,,Jaén,16,283,MINITRAIL CADETE JUNIOR
cronofinisher,I RUNNING NIGHT ZAHARA DE LA SIERRA “LA LUNA ES NUESTRA”,2019-09-13,Viernes,0.0,road running,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,152,296,GENERAL
cronofinisher,I RUNNING NIGHT ZAHARA DE LA SIERRA “LA LUNA ES NUESTRA”,2019-09-13,Viernes,0.0,road running,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,17,296,LOCAL
cronofinisher,VI TRAVESÍA DISCOVERY AVENTURA – ZAHARA DE LA SIERRA,2019-08-25,Domingo,8.0,Otros,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,22,314,8000
cronofinisher,VI TRAVESÍA DISCOVERY AVENTURA – ZAHARA DE LA SIERRA,2019-08-25,Domingo,4.0,Otros,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,71,314,4000
cronofinisher,VI TRAVESÍA DISCOVERY AVENTURA – ZAHARA DE LA SIERRA,2019-08-25,Domingo,1.5,Otros,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,63,314,1500
cronofinisher,VI TRAVESÍA DISCOVERY AVENTURA – ZAHARA DE LA SIERRA,2019-08-25,Domingo,0.5,Otros,Absoluta/General,0,0,ZAHARA DE LA SIERRA,Sierra de Cádiz,Andalucía,14,314,500
cronofinisher,XVII TRAVESIA SOLIDARIA PUNTA UMBRIA - BRAZADAS SOLIDARIAS,2019-08-24,Sábado,1.5,Otros,Absoluta/General,0,0,PUNTA UMBRIA,Comarca Metropolitana de Huelva,Huelva,162,316,1500
cronofinisher,XVII TRAVESIA SOLIDARIA PUNTA UMBRIA - BRAZADAS SOLIDARIAS,2019-08-24,Sábado,0.0,Otros,Absoluta/General,0,0,PUNTA UMBRIA,Comarca Metropolitana de Huelva,Huelva,9,316,1500 LOCALES
