event_id,nom_cursa,data,lloc,modalitat_nom,modalitat_codi,estat_esdeveniment,error_detall,total_classificats,classificat_h,classificat_d,classificat_total,inscrits,DNF_total,DSQ_total,DNS_total,esport,classificat_sexe_desconegut
235,XVIII CARRERA NOCTURNA PUENTE GENAVE,2018-08-19,PUENTE GENAVE,ABSOLUTA,absoluta,ok,,44,0,0,44,,,,,Carrera,44
235,XVIII CARRERA NOCTURNA PUENTE GENAVE,2018-08-19,PUENTE GENAVE,LOCALES CADETE JUVENIL,localescadetejuvenil,ok,,17,0,0,17,,,,,Carrera,17
230,"XIII CARRERA POPULAR ""CIUDAD DE QUESADA""",2018-08-19,QUESADA,CHUPETE,chupete,ok,,16,0,0,16,,,,,Carrera,16
230,"XIII CARRERA POPULAR ""CIUDAD DE QUESADA""",2018-08-19,QUESADA,BENJAMIN ALEVIN,benjaminalevin,ok,,35,0,0,35,,,,,Carrera,35
230,"XIII CARRERA POPULAR ""CIUDAD DE QUESADA""",2018-08-19,QUESADA,INFANTIL CADETE,infantilcadete,ok,,17,0,0,17,,,,,Carrera,17
230,"XIII CARRERA POPULAR ""CIUDAD DE QUESADA""",2018-08-19,QUESADA,ADULTOS,adultos,ok,,61,0,0,61,,,,,Carrera,61
212,XXIII CRONOESCALADA JABALCÓN 2018,2018-08-15,ZUJAR,GENERAL,general,ok,,50,0,0,50,,,,,Ciclismo,50
212,XXIII CRONOESCALADA JABALCÓN 2018,2018-08-15,ZUJAR,LOCAL,local,ok,,11,0,0,11,,,,,Ciclismo,11
222,II TRAVESIA A NADO EMBALSE DEL TRANCO,2018-07-29,HORNOS DE SEGURA,400 M.,400m,ok,,16,5,6,16,,,,,Travesía,5
222,II TRAVESIA A NADO EMBALSE DEL TRANCO,2018-07-29,HORNOS DE SEGURA,1.200 M.,1200m,ok,,57,0,0,57,,,,,Travesía,57
226,XV ACUATLON COSTA DE LA LUZ,2018-07-22,ROTA,CON PARCIALES,conparciales,ok,,157,123,34,157,,,,,Acuatlón,0
226,XV ACUATLON COSTA DE LA LUZ,2018-07-22,ROTA,LOCAL,local,ok,,40,0,0,40,,,,,Acuatlón,40
221,II TRAVESIA A NADO SIERRA DE CAZORLA - POZO ALCÓN,2018-07-15,POZO ALCÓN,1200,1200,ok,,42,3,7,42,,,,,Travesía,32
220,IV TRAVESIA A NADO VILLA DE MARMOLEJO,2018-07-01,MARMOLEJO,400,400,ok,,16,0,0,16,,,,,Travesía,16
220,IV TRAVESIA A NADO VILLA DE MARMOLEJO,2018-07-01,MARMOLEJO,1200,1200,ok,,76,0,0,76,,,,,Travesía,76
189,V CXM MANCHA REAL - NOCTURNA,2018-06-30,MANCHA REAL,RUTA CORTA,rutacorta,ok,,81,0,0,81,,,,,Carrera por montaña,81
189,V CXM MANCHA REAL - NOCTURNA,2018-06-30,MANCHA REAL,RUTA LARGA,rutalarga,ok,,86,37,8,86,,,,,Carrera por montaña,41
206,XI RUTA DEL CALOR,2018-06-24,ECIJA,RUTA LAGARTO,rutalagarto,ok,,41,0,0,41,,,,,Ciclismo,41
206,XI RUTA DEL CALOR,2018-06-24,ECIJA,RUTA CALOR,rutacalor,ok,,217,0,0,217,,,,,Ciclismo,217
206,XI RUTA DEL CALOR,2018-06-24,ECIJA,RUTA CALOR - PARCIALES,rutacalorparciales,ok,,221,0,0,221,,,,,Ciclismo,221
206,XI RUTA DEL CALOR,2018-06-24,ECIJA,LOCAL RUTA CALOR,localrutacalor,ok,,32,0,0,32,,,,,Ciclismo,32
224,III CARRERA POPULAR NOCHE DE SAN JUAN,2018-06-23,TARIFA,ADULTOS,adultos,ok,,125,0,0,125,,,,,Carrera,125
210,IV URBAN RACE - CROSS DE LAS CUESTAS,2018-06-09,SAN ROQUE,GENERAL,general,ok,,228,0,0,228,,,,,Carrera,228
