fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconegut,id
buscametas,UnderRun,2026-03-29,Domingo,8.0,road running,Absoluta/General,66,105,Bilbao,,Bizkaia,,112
buscametas,UnderRun,2026-03-29,Domingo,10.0,road running,Absoluta/General,16,62,Bilbao,,Bizkaia,,113
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,60.0,trail running,Absoluta/General,9,89,Zaramillo,,Bizkaia,,110
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,42.0,trail running,Absoluta/General,13,126,Zaramillo,,Bizkaia,,109
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,30.0,trail running,Absoluta/General,17,104,Zaramillo,,Bizkaia,,108
buscametas,Enkarterri Extrem Trails,2026-03-28,Sábado,10.0,trail running,Absoluta/General,44,60,Zaramillo,,Bizkaia,,111
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,4,51,Amurrio,,Álava,,100
buscametas,Amurrio Trail Lasterketa,2026-03-15,Domingo,0.0,trail running,Absoluta/General,51,119,Amurrio,,Álava,,99
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,26.0,trail running,Absoluta/General,8,52,Mungia,,Bizkaia,,103
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,12.0,trail running,Absoluta/General,46,117,Mungia,,Bizkaia,,102
buscametas,Lau Haizeta Trail,2026-03-15,Domingo,7.0,trail running,Absoluta/General,22,37,Mungia,,Bizkaia,,104
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,9,104,Bilbao,,Bizkaia,,91
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,0,0,Bilbao,,Bizkaia,13.0,96
buscametas,Artxanda Urban Trail,2026-03-01,Domingo,0.0,trail running,Absoluta/General,58,131,Bilbao,,Bizkaia,,90
buscametas,Apuko Igoera  Zaramillo Enkarterri,2026-02-22,Domingo,30.0,road running,Absoluta/General,25,216,Zaramillo,,Bizkaia,,87
