fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia
cursescat,La Sussissa,2026-01-25,Domingo,0.0,marcha,Absoluta/General,199,210,Espolla,Alt Empordà,Girona
cursescat,Mitja marató de Roses,2026-01-04,Domingo,21.1,road running,Absoluta/General,65,184,Roses,Alt Empordà,Girona
cursescat,Mitja marató de Roses,2026-01-04,Domingo,7.5,road running,Absoluta/General,93,119,Roses,Alt Empordà,Girona
cursescat,Sant Silvestre Cadaqués,2025-12-31,Miércoles,10.0,road running,Absoluta/General,230,363,Cadaqués,Alt Empordà,Girona
cursescat,Cursa dels nassos Maçanet de Cabrenys,2025-12-31,Miércoles,5.0,road running,Absoluta/General,101,94,Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,Sant Esteve Llagostera,2025-12-28,Domingo,10.0,marcha,Absoluta/General,48,125,Llagostera,Gironès,Girona
cursescat,Sant Esteve Llagostera,2025-12-28,Domingo,5.0,marcha,Absoluta/General,29,54,Llagostera,Gironès,Girona
cursescat,Sant Silvestre Palafrugell,2025-12-28,Domingo,5.0,road running,Absoluta/General,52,110,Palafrugell,Baix Empordà,Girona
cursescat,Trail La Vall,2025-11-30,Domingo,46.0,trail running,Absoluta/General,4,25,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2025-11-30,Domingo,22.0,trail running,Absoluta/General,38,89,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2025-11-30,Domingo,13.0,trail running,Absoluta/General,23,87,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Trail La Vall,2025-11-30,Domingo,0.0,trail running,Absoluta/General,16,18,Bellcaire d'Empordà,Baix Empordà,Girona
cursescat,Cims de Girona 2025 -Rocacorba-,2025-11-28,Viernes,0.0,Otros,Absoluta/General,25,65,Canet D'Adri -Rocacorba,Gironès,Girona
cursescat,Olla de Tapis 2025,2025-11-23,Domingo,9.0,trail running,Absoluta/General,67,102,Tapis -Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,Olla de Tapis 2025,2025-11-23,Domingo,20.0,trail running,Absoluta/General,17,47,Tapis -Maçanet de Cabrenys,Alt Empordà,Girona
cursescat,Cims de Girona 2025 -Sant Miquel-,2025-11-20,Jueves,0.0,trail running,Absoluta/General,24,77,Girona,Gironès,Girona
cursescat,Trail LLuerts 2025,2025-11-16,Domingo,9.0,trail running,Absoluta/General,72,58,Viladamat,Alt Empordà,Girona
cursescat,Trail LLuerts 2025,2025-11-16,Domingo,15.0,trail running,Absoluta/General,12,27,Viladamat,Alt Empordà,Girona
cursescat,Querroig 2025,2025-11-16,Domingo,9.0,trail running,Absoluta/General,81,72,Portbou,Alt Empordà,Girona
cursescat,Querroig 2025,2025-11-16,Domingo,15.0,trail running,Absoluta/General,32,72,Portbou,Alt Empordà,Girona
cursescat,Querroig 2025,2025-11-16,Domingo,21.0,trail running,Absoluta/General,14,45,Portbou,Alt Empordà,Girona
cursescat,MDM 2025,2025-11-09,Domingo,42.2,trail running,Absoluta/General,2,12,Beuda,Garrotxa,Girona
cursescat,MDM 2025,2025-11-09,Domingo,21.1,trail running,Absoluta/General,8,11,Beuda,Garrotxa,Girona
cursescat,MDM 2025,2025-11-09,Domingo,12.0,trail running,Absoluta/General,18,35,Beuda,Garrotxa,Girona
cursescat,BTT Darnius 2025,2025-10-26,Domingo,26.0,Ciclismo y btt,Absoluta/General,4,38,Darnius,Alt Empordà,Girona
cursescat,BTT Darnius 2025,2025-10-26,Domingo,40.0,Ciclismo y btt,Absoluta/General,3,43,Darnius,Alt Empordà,Girona
cursescat,La Selvatjada 2025,2025-10-25,Sábado,7.5,trail running,Absoluta/General,95,97,La Selva de Mar,Alt Empordà,Girona
cursescat,La Selvatjada 2025,2025-10-25,Sábado,15.0,trail running,Absoluta/General,23,104,La Selva de Mar,Alt Empordà,Girona
cursescat,BesaluCross 2025,2025-10-19,Domingo,12.0,trail running,Absoluta/General,41,78,Besalú,Garrotxa,Girona
cursescat,BesaluCross 2025,2025-10-19,Domingo,21.0,trail running,Absoluta/General,13,41,Besalú,Garrotxa,Girona
cursescat,Cursa Orriols,2025-10-11,Sábado,6.0,road running,Absoluta/General,48,43,Orriols,Alt Empordà,Girona
cursescat,Cursa Orriols,2025-10-11,Sábado,11.0,road running,Absoluta/General,20,41,Orriols,Alt Empordà,Girona
cursescat,Cursa de la dona de Roses,2025-09-21,Domingo,5.0,Otros,Absoluta/General,1088,439,Roses,Alt Empordà,Girona
cursescat,Ventallonina2025,2025-09-21,Domingo,8.0,marcha,Absoluta/General,111,85,Ventalló,Alt Empordà,Girona
cursescat,Ventallonina2025,2025-09-21,Domingo,11.0,marcha,Absoluta/General,29,57,Ventalló,Alt Empordà,Girona
cursescat,Cursa Bomebrs Girona,2025-09-14,Domingo,5.0,road running,Absoluta/General,56,58,Girona,Gironès,Girona
cursescat,Cursa Bomebrs Girona,2025-09-14,Domingo,10.0,road running,Absoluta/General,115,133,Girona,Gironès,Girona
cursescat,Tramuntana trail 2025,2025-09-11,Jueves,11.0,trail running,Absoluta/General,24,61,La Jonquera,Alt Empordà,Girona
cursescat,Despertaferro 2025,2025-09-11,Jueves,8.0,trail running,Absoluta/General,118,80,Bàscara,Alt Empordà,Girona
cursescat,Despertaferro 2025,2025-09-11,Jueves,11.0,trail running,Absoluta/General,61,139,Bàscara,Alt Empordà,Girona
cursescat,Cursa caminada Parlem del suicidi,2025-09-06,Sábado,6.0,trail running,Absoluta/General,0,39,Avinyonet de puigventòs,Alt Empordà,Girona
cursescat,Cursa caminada Parlem del suicidi,2025-09-06,Sábado,10.0,trail running,Absoluta/General,22,44,Avinyonet de puigventòs,Alt Empordà,Girona
cursescat,Cursa del Blat de Moro,2025-08-22,Viernes,5.0,trail running,Absoluta/General,120,58,Cabanes,Alt Empordà,Girona
cursescat,Cursa del Blat de Moro,2025-08-22,Viernes,10.0,trail running,Absoluta/General,26,82,Cabanes,Alt Empordà,Girona
cursescat,Travessia Roses 2025,2025-08-10,Domingo,2.0,Otros,Absoluta/General,50,109,Roses,Alt Empordà,Girona
cursescat,Travessia Roses 2025,2025-08-10,Domingo,1.0,Otros,Absoluta/General,58,88,Roses,Alt Empordà,Girona
cursescat,AMER,2025-08-10,Domingo,5.0,road running,Absoluta/General,19,30,,,
cursescat,AMER,2025-08-10,Domingo,10.0,road running,Absoluta/General,13,58,,,
cursescat,Milla Urbana Sant Feliu,2025-08-09,Sábado,1.6,road running,Absoluta/General,8,2,Sant feliu de Guixols,Baix Empordà,Girona
cursescat,25a TRAVESSA S'EIXUGADOR-AIGUAFREDA,2025-07-20,Domingo,1.0,Otros,Absoluta/General,84,109,BEGUR,Baix Empordà,Girona
cursescat,LA SANTA CURSA,2025-07-19,Sábado,6.0,Otros,Absoluta/General,67,106,SANTA LLOGAIA d'ALGEMA,Alt Empordà,Girona
cursescat,Barretina Rural Fest 2025,2025-07-05,Sábado,6.0,Otros,Absoluta/General,122,91,Siurana d'Empordà,Alt Empordà,Girona
cursescat,Terres Blanques,2025-06-08,Domingo,10.0,trail running,Absoluta/General,28,54,Cantallops,Alt Empordà,Girona
cursescat,Terres Blanques,2025-06-08,Domingo,20.0,trail running,Absoluta/General,3,24,Cantallops,Alt Empordà,Girona
cursescat,Corriols de Colomers,2025-06-01,Domingo,14.0,road running,Absoluta/General,67,111,Colomers,Baix Empordà,Girona
cursescat,Cursa de la Cirera,2025-06-01,Domingo,13.0,trail running,Absoluta/General,111,162,Terrades,Alt Empordà,Girona
cursescat,Cursa de la Cirera,2025-06-01,Domingo,19.0,trail running,Absoluta/General,12,41,Terrades,Alt Empordà,Girona
cursescat,Marxa Ordis 2025,2025-05-25,Domingo,7.0,marcha,Absoluta/General,88,85,Ordis,Alt Empordà,Girona
cursescat,Marxa Ordis 2025,2025-05-25,Domingo,13.0,marcha,Absoluta/General,81,106,Ordis,Alt Empordà,Girona
cursescat,Marxa dels Dolmens,2025-05-18,Domingo,7.0,trail running,Absoluta/General,49,33,La Jonquera,Alt Empordà,Girona
cursescat,Marxa dels Dolmens,2025-05-18,Domingo,14.0,trail running,Absoluta/General,12,40,La Jonquera,Alt Empordà,Girona
cursescat,Cursa Solidària de Primavera,2025-05-04,Domingo,5.0,marcha,Absoluta/General,28,28,Sant Julià de Ramis,Gironès,Girona
cursescat,Cursa Solidària de Primavera,2025-05-04,Domingo,10.0,marcha,Absoluta/General,15,20,Sant Julià de Ramis,Gironès,Girona
