DES_d,DES_desconegut,DES_h,DES_total,NP_d,NP_desconegut,NP_h,NP_total,RET_d,RET_desconegut,RET_h,RET_total,codigo,comarca_provincia,data,event_id,finished_d,finished_desconegut,finished_h,finished_total,modalitat_nom,municipi,nom_cursa,sense_temps_d,sense_temps_h,sense_temps_total,total_classificats,total_inscrits
,,,,2,,17,19,1,,11,12,1203100197,Bizkaia,2025-04-05,41,14,,136,150,42K,Zaramillo,Enkarterri Extrem Trails,,,,150,181
,,,,1,,16,17,3,,16,19,1203101593,Bizkaia,2025-04-05,41,8,,107,115,60K,Zaramillo,Enkarterri Extrem Trails,,,,115,151
,,,,4,,7,11,,,,,1214031227,Bizkaia,2025-04-05,41,22,,31,53,10K,Zaramillo,Enkarterri Extrem Trails,,,,53,64
1,,,1,14,,35,49,1,,3,4,1202948563,Cantabria,2025-03-30,1202948563,60,,212,272,Corredores,Ajo,Trail Cabo de Ajo,,,,272,326
,,,,50,,33,83,,,1,1,1202949975,Cantabria,2025-03-30,1202948563,179,,162,341,Andarines,Ajo,Trail Cabo de Ajo,,,,341,425
,,,,7,,18,25,,,2,2,1207259360,Álava,2025-03-30,1207259360,48,,114,162,Trail Corto,Amurrio,Amurrio Trail Lasterketa,,,,162,189
,,,,,,16,16,1,,1,2,1207260616,Álava,2025-03-30,1207259360,11,,72,83,Trail Largo,Amurrio,Amurrio Trail Lasterketa,,,,83,101
,,,,,,,,,,,,39,Bizkaia,2025-03-25,39,,,,,10K,Güeñes,Evento de prueba,24,228,252,0,252
,,,,3,,22,25,,,1,1,1201896233,Bizkaia,2025-03-23,1201896233,6,,76,82,Trail Largo,Bilbao,Artxanda Urban Trail,,,,82,108
,,,,8,,33,41,1,,,1,1201894754,Bizkaia,2025-03-23,1201896233,20,,106,126,Trail Corto,Bilbao,Artxanda Urban Trail,,,,126,168
,,,,,,18,18,1,,2,3,1202572473,Bizkaia,2025-03-23,1202572473,9,,57,66,Trail Largo,Mungia,Lau Haizeta Trail,,,,66,87
,,,,13,,31,44,1,,3,4,1202571742,Bizkaia,2025-03-23,1202572473,60,,148,208,Trail Corto,Mungia,Lau Haizeta Trail,,,,208,256
,,,,,,,,,,,,1214112516,Bizkaia,2025-03-16,1214112516,128,,212,340,MAR 17K,Portugalete,BBK Mendi Martxak - Portugalete,38,44,82,340,422
,,5,5,6,,26,32,,,7,7,1185552510,Álava,2025-03-01,1185552510,18,,191,209,28K,Laudio,Mugagabe Trail Laudio,,,,209,253
,,,,16,,34,50,,,,,1185553110,Álava,2025-03-01,1185552510,54,,149,203,11K,Laudio,Mugagabe Trail Laudio,,,,203,253
,,,,,3,,3,,1,,1,1185554281,Álava,2025-03-01,1185552510,,19,,19,Parejas,Laudio,Mugagabe Trail Laudio,,,,23,23
,,,,1,,46,47,1,,1,2,1201220296,Bizkaia,2025-02-09,1201220296,6,,87,93,BTT,Zaramillo,Apuko Igoera  Zaramillo Enkarterri,,,,93,142
,,,,15,,105,120,3,,14,17,1201221500,Bizkaia,2025-02-09,1201220296,43,,413,456,Trail,Zaramillo,Apuko Igoera  Zaramillo Enkarterri,,,,457,593
,,,,19,,18,37,1,,1,2,1214107720,Bizkaia,2025-02-02,1214107720,141,,161,302,MAR 14K,Berriz,BBK Mendi Martxak - Berriz,,,,302,341
,,,,17,,27,44,9,,5,14,1200594721,Bizkaia,2025-01-12,1200594721,81,,281,362,10K,Mungia,San Antontxuko Herri Krosa,,,,362,420
,,,,12,,14,26,3,,1,4,1200595375,Bizkaia,2025-01-12,1200594721,117,,129,246,5K,Mungia,San Antontxuko Herri Krosa,,,,246,276
,,1,1,5,,8,13,,,1,1,1199503986,Bizkaia,2025-01-05,1199503986,32,,110,142,5K,Sopuerta,5K Sopuerta,,,,142,157
1,,,1,187,,254,441,10,,18,28,1199206225,Bizkaia,2024-12-31,1199206225,1038,,1727,2765,Mayores,Bilbao,Bilbao Rekalde San Silvestre,,,,2765,3235
,,,,11,,21,32,1,,,1,1199350557,Bizkaia,2024-12-31,1199350557,80,,236,316,Mayores,Sodupe,San Silvestre Sodupe,,,,316,349
3,,,3,125,,132,257,24,,18,42,1199457586,Álava,2024-12-31,1199457586,1099,,1402,2501,Mayores,Vitoria,San Silvestre de Vitoria-Gasteiz,,,,2501,2803
,,,,5,,10,15,,,,,1199478285,Bizkaia,2024-12-31,1199478285,5,,15,20,14-15 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,20,35
,,,,20,,13,33,,,,,1199479536,Bizkaia,2024-12-31,1199478285,22,,65,87,12-13 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,87,120
,,,,8,,14,22,,,,,1199482543,Bizkaia,2024-12-31,1199478285,33,,42,75,11 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,75,97
,,,,10,,17,27,,,,,1199483492,Bizkaia,2024-12-31,1199478285,35,,43,78,10 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,78,105
,,,,9,,13,22,,,,,1199484398,Bizkaia,2024-12-31,1199478285,40,,55,95,9 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,95,117
,,,,11,,6,17,2,,,2,1199480919,Bizkaia,2024-12-31,1199478285,48,,59,107,8 años,Bilbao,Bilbao Rekalde San Silvestre Txiki,,,,107,126
,,,,10,,26,36,2,,,2,1198961209,Bizkaia,2024-12-22,1198961209,23,,147,170,Trail Largo,Zaramillo,Olentzero Martxa Trail,,,,170,208
,,,,13,,15,28,,,,,1198962977,Bizkaia,2024-12-22,1198961209,51,,97,148,Trail Corto,Zaramillo,Olentzero Martxa Trail,,,,148,176
1,,,1,125,,462,587,26,,90,116,1198803947,Álava,2024-12-15,1198803947,650,,2168,2818,Media Maratón,Vitoria-Gasteiz,La Media de Vitoria-Gasteiz,,,,2819,3522
5,,9,14,7,,41,48,1,,,1,1209870180,Álava,2024-12-14,1209870180,42,,150,192,Carrera,Artziniega,Soxoguti Erronka,,,,202,255
,,,,,,,,,,,,34,Bizkaia,2024-12-09,34,,,6,6,Bomberos Bilbao,Bilbao,Oposiciones Bomberos Bilbao,,,,6,6
,,,,,,,,,,,,1200335387,Bizkaia,2024-12-08,1200335387,,,,,MAR 10K,Bilbao,BBK Mendi Martxak - Bilbao,73,137,210,0,210
,,,,8,,18,26,3,,1,4,1204385912,Bizkaia,2024-12-01,1204385912,39,,200,239,14K,Zalla,Zalla-Balma-Zalla,,,,239,269
,,,,7,,35,42,3,,8,11,1197964378,Bizkaia,2024-11-17,1197964378,20,,129,149,25K,Lemoa,Lemoatx Trail,,,,149,202
,,,,11,,33,44,1,,5,6,1197963176,Bizkaia,2024-11-17,1197964378,35,,172,207,17K,Lemoa,Lemoatx Trail,1,,1,208,258
,,,,,,,,,,,,1197491900,Bizkaia,2024-11-10,1197491900,,,58,58,Cadetes - Infantiles MAS,Erandio,Erandioko Herri Krosa,,35,35,58,93
,,,,,,,,,,,,1197493402,Bizkaia,2024-11-10,1197491900,65,,,65,Cadetes - Infantiles FEM,Erandio,Erandioko Herri Krosa,41,,41,65,106
,,,,,,,,,,,,1197490178,Bizkaia,2024-11-10,1197491900,,,48,48,Alevín MAS,Erandio,Erandioko Herri Krosa,,10,10,48,58
,,,,,,,,,,,,1197492679,Bizkaia,2024-11-10,1197491900,62,,,62,Alevín FEM,Erandio,Erandioko Herri Krosa,32,,32,62,94
,,,,,,,,,,,,1197486922,Bizkaia,2024-11-10,1197491900,,,71,71,Benjamín MAS,Erandio,Erandioko Herri Krosa,,27,27,71,98
,,,,,,,,,,,,1197489452,Bizkaia,2024-11-10,1197491900,77,,,77,Benjamín FEM,Erandio,Erandioko Herri Krosa,35,,35,77,112
,,,,,,,,,,,,1197487444,Bizkaia,2024-11-10,1197491900,,,55,55,Prebenjamín MAS,Erandio,Erandioko Herri Krosa,,28,28,55,83
,,,,,,,,,,,,1197488843,Bizkaia,2024-11-10,1197491900,58,,,58,Prebenjamín FEM,Erandio,Erandioko Herri Krosa,19,,19,58,77
,,,,,,,,,,,,1200311252,Bizkaia,2024-11-10,1200311252,99,,145,244,MAR 14K,Basauri,BBK Mendi Martxak - Basauri,30,27,57,244,301
4,,1,5,7,,19,26,,,1,1,1204284793,Álava,2024-11-03,1204284793,104,,243,347,10K,Vitoria,La conquista de la Almendra,,,,351,379
,,,,14,,15,29,1,,,1,1204285674,Álava,2024-11-03,1204284793,93,,83,176,5K,Vitoria,La conquista de la Almendra,,,,176,206
,,,,3,,10,13,,,,,1197022910,Bizkaia,2024-10-27,1197022910,7,,63,70,Carrera,Galdames,Vertical Pico la Cruz,,,,70,83
,,,,,,,,,,,,1200310664,Bizkaia,2024-10-27,1200310664,46,,80,126,MAR 17K,Ortuella,BBK Mendi Martxak - Ortuella,45,59,104,126,230
1,,1,2,1,,3,4,,,,,1206731756,Navarra,2024-10-27,1206731756,9,,16,25,Federados,Azagra,Marcha Nórdica Villa de Azagra,,,,27,31
,,,,,,1,1,,,,,1206732905,Navarra,2024-10-27,1206731756,5,,6,11,No Federados,Azagra,Marcha Nórdica Villa de Azagra,,,,11,12
,,,,,,,,,,,,1206733659,Navarra,2024-10-27,1206731756,,,2,2,Juveniles y Cadetes,Azagra,Marcha Nórdica Villa de Azagra,,,,2,2
,,,,,,,,,,,,32,Bizkaia,2024-10-21,32,1,,3,4,Bomberos Bilbao,Bilbao,Oposiciones Bomberos Bilbao,,,,4,4
,,,,,,1,1,,,,,1196558874,Cantabria,2024-10-20,1196558874,3,,4,7,BTT Corta 22K,Quintana - Soba,La Sobanuca,,,,7,8
1,,,1,1,,2,3,,,,,1196559495,Cantabria,2024-10-20,1196558874,11,,46,57,Carrera,Quintana - Soba,La Sobanuca,,,,58,61
6,,4,10,7,,9,16,,,,,1196560162,Cantabria,2024-10-20,1196558874,75,,64,139,Marcha Larga,Quintana - Soba,La Sobanuca,,29,29,148,194
,,,,,,,,,,,,1196561911,Cantabria,2024-10-20,1196558874,122,,83,205,Marcha Corta,Quintana - Soba,La Sobanuca,19,12,31,205,236
,,,,,,,,,,1,1,1206738674,Cantabria,2024-10-20,1196558874,1,,8,9,BTT Plus 26K,Quintana - Soba,La Sobanuca,,,,9,10
,,,,22,,27,49,,,2,2,1200334114,Bizkaia,2024-10-20,1200334114,170,,249,419,MAR 18K,Mungia,BBK Mendi Martxak - Mungia,,,,419,470
,,,,,,13,13,1,,7,8,1196221958,Navarra,2024-10-19,1196221958,5,,83,88,43K,Galdeano,Basajaun Trail Race,,,,88,109
,,,,10,,46,56,,,4,4,1196222702,Navarra,2024-10-19,1196221958,45,,202,247,23K,Galdeano,Basajaun Trail Race,,,,247,307
,,,,14,,32,46,3,,2,5,1196223631,Navarra,2024-10-19,1196221958,73,,137,210,13K,Galdeano,Basajaun Trail Race,,,,210,261
,,,,14,,11,25,,,,,1196000408,Bizkaia,2024-10-13,1196000408,59,,31,90,Promesas,Zierbena,Galipa Swim,,,,90,115
,,,,,,38,38,,,,,1196001228,Bizkaia,2024-10-13,1196000408,,,217,217,Absoluta Masculina,Zierbena,Galipa Swim,,,,217,255
,,,,20,,,20,,,,,1196002219,Bizkaia,2024-10-13,1196000408,115,,,115,Absoluta Femenina,Zierbena,Galipa Swim,,,,115,135
,,,,,,,,,,,,1196003632,Bizkaia,2024-10-13,1196000408,1,,6,7,Con Discapacidad,Zierbena,Galipa Swim,,,,7,7
1,,2,3,6,,33,39,,,5,5,1196192479,Bizkaia,2024-10-13,1196192479,32,,197,229,Carrera,Balmaseda,Kolitza Balmatrail,,,,229,276
,,,,17,,35,52,4,,7,11,1196193379,Bizkaia,2024-10-13,1196192479,108,,177,285,Marcha Larga,Balmaseda,Kolitza Balmatrail,,,,285,348
1,,3,4,1,,1,2,,,1,1,1209781292,Bizkaia,2024-10-13,1209781292,17,,22,39,Federados,Gorliz,Marcha Nórdica de Gorliz,,,,46,46
,,,,1,,,1,3,,,3,1209782755,Bizkaia,2024-10-13,1209781292,13,,5,18,Open,Gorliz,Marcha Nórdica de Gorliz,,,,22,22
,,,,,,,,,,,,1209783918,Bizkaia,2024-10-13,1209781292,,,,,Infantiles,Gorliz,Marcha Nórdica de Gorliz,4,2,6,0,6
,,,,,,,,,,,,29,Bizkaia,2024-10-12,29,26,,102,128,Mayores,Zalla,Zalla Herri Bira Mayores,26,50,76,128,204
,,,,,,4,4,1,,,1,30,Bizkaia,2024-10-12,30,5,,41,46,Record del Kolitza,Balmaseda,Record del Kolitza,,,,46,51
,,,,11,,9,20,,,,,1195921424,Bizkaia,2024-10-12,1195921424,24,,19,43,Benjamín,Zalla,Zalla Herri Bira Txikis,,,,43,63
,,,,5,,9,14,,,,,1195922851,Bizkaia,2024-10-12,1195921424,5,,20,25,Alevín,Zalla,Zalla Herri Bira Txikis,,,,25,39
,,,,4,,11,15,,,,,1195923322,Bizkaia,2024-10-12,1195921424,,,5,5,Infantil,Zalla,Zalla Herri Bira Txikis,,,,5,20
,,,,4,,24,28,1,,6,7,1196087940,Bizkaia,2024-10-06,1196087940,14,,101,115,22K,Amorebieta Etxano,AraMotz Mendi Lasterketa,,,,115,150
,,,,,,,,,,,,1195680478,Bizkaia,2024-09-29,1195680478,21,,60,81,Txaramotx 10K,Markina Xemein,Txara Trail,3,10,13,81,94
,,,,,,,,,,,,1195681411,Bizkaia,2024-09-29,1195680478,6,,38,44,Txara Trail 21K,Markina Xemein,Txara Trail,2,8,10,44,54
1,,7,8,3,,,3,1,,1,2,1206580844,Bizkaia,2024-09-22,1206580844,23,,20,43,Federados,Portugalete,Marcha nórdica Portugalete,,,,43,56
,,,,1,,1,2,,,,,27,Bizkaia,2024-09-22,1206580844,30,,6,36,No Federados,Portugalete,Marcha nórdica Portugalete,,,,36,38
,,,,,,,,,,,,1206657530,Bizkaia,2024-09-22,1206657530,125,,192,317,MAR 13K,Barakaldo,BBK Mendi Martxak - Barakaldo,71,65,136,317,453
,,,,,,,,,,,,20,La Rioja,2024-09-15,20,12,,73,85,MAYORES 11K,Ezcaray,Picos de La Demanda - Domingo,4,12,16,85,101
,,,,,,,,,,,,21,La Rioja,2024-09-15,20,,,,,INFANTÍL,Ezcaray,Picos de La Demanda - Domingo,14,26,40,0,40
,,,,,,,,,,,,26,La Rioja,2024-09-15,26,6,,52,58,Combinada,Ezcaray,Picos de la demanda - Combinada,3,10,13,58,71
,,,,1,,8,9,,,4,4,1194697822,La Rioja,2024-09-14,1194697822,11,,77,88,UTPD 42K,Ezcaray,Picos de La Demanda - Sábado,,,,88,101
,,,,9,,17,26,,,4,4,1194696735,La Rioja,2024-09-14,1194697822,41,,276,317,UTPD 21K,Ezcaray,Picos de La Demanda - Sábado,,,,317,347
,,,,8,,13,21,,,,,1194698527,La Rioja,2024-09-14,1194697822,73,,142,215,UTPD 11K,Ezcaray,Picos de La Demanda - Sábado,,,,215,236
,,,,2,,7,9,,,,,18,La Rioja,2024-09-13,18,34,,131,165,"Nocturna 6,5K",Ezcaray,Picos de La Demanda - Viernes,6,13,19,165,193
,,,,,,,,1,,1,2,24,Jaén,2024-08-25,24,12,,54,66,La Iruela Urban Trail,La Iruela,La Iruela Urban Trail,19,53,72,66,140
,,,,7,,15,22,21,,68,89,25,Jaén,2024-08-25,25,4,,25,29,Circuito,Cazorla,Circuito de la Iruela,,,,29,140
,,,,,,,,,,,,23,Jaén,2024-08-18,23,14,,53,67,Trailshumancia Burunchel,Burunchel,Trailshumancia Burunchel,18,55,73,67,140
,,,,,,,,,,,,22,Jaén,2024-08-14,22,11,,49,60,Arroyo Frio Trail,Arroyo Frio,Arroyo Frio Trail,21,59,80,60,140
,,,,,,,,,,,,16,La Rioja,2024-07-28,16,7,,90,97,GENERAL - INDIVIDUAL,Ezcaray,BTT Extreme Valle de Ezcaray - Domingo,2,33,35,97,132
,,,,,,,,,,,,17,La Rioja,2024-07-28,16,,48,,48,GENERAL - PAREJAS,Ezcaray,BTT Extreme Valle de Ezcaray - Domingo,,,,48,48
,,,,,,,,,,,,14,La Rioja,2023-07-21,14,4,,67,71,GENERAL - INDIVIDUAL,Ezcaray,BTT Extreme Valle de Ezcaray,3,27,30,71,101
,,,,,,,,,,,,15,La Rioja,2023-07-21,14,,17,,17,GENERAL - PAREJAS,Ezcaray,BTT Extreme Valle de Ezcaray,,,,17,17
,,,,,,,,,,,,2,A Coruña,2021-03-01,2,,,6,6,Trail Largo,,Birsortu,4,41,45,6,51
,,,,,,,,,,,,3,A Coruña,2021-03-01,2,,,4,4,Trail Corto,,Birsortu,4,43,47,4,51
,,,,,,,,,,,,4,A Coruña,2021-03-01,2,,,,,BTT Largo,,Birsortu,,7,7,0,7
,,,,,,,,,,,,5,A Coruña,2021-03-01,2,,,3,3,BTT Corto,,Birsortu,,4,4,3,7
,,,,,,,,,,,,6,A Coruña,2021-03-01,2,,,2,2,Trekking Largo,,Birsortu,7,9,16,2,18
,,,,,,,,,,,,7,A Coruña,2021-03-01,2,1,,3,4,Trekking Corto,,Birsortu,6,8,14,4,18
,,,,,,,,,,,,1137718597,Bizkaia,2021-01-08,1137718597,3,,43,46,TRA 19K,Güeñes,EKOC | Güeñes - Gordexola,2,11,13,46,59
,,,,,,,,,,,,1137719865,Bizkaia,2021-01-08,1137718597,10,,14,24,MAR 13K,Güeñes,EKOC | Güeñes - Gordexola,3,1,4,24,28
,,,,,,,,,,,,1137720347,Bizkaia,2021-01-08,1137718597,3,,119,122,BTT 39K,Güeñes,EKOC | Güeñes - Gordexola,2,49,51,122,173
,,,,,,,,,,,,1137721974,Bizkaia,2021-01-08,1137718597,4,,10,14,BTT 28K,Güeñes,EKOC | Güeñes - Gordexola,,15,15,14,29
,,,,,,,,,,,,1139806404,Bizkaia,2021-01-08,1137718597,35,,33,68,MAR 19K,Güeñes,EKOC | Güeñes - Gordexola,5,16,21,68,89
,,,,,,,,,,,,1139807804,Bizkaia,2021-01-08,1137718597,7,,8,15,TRA 13K,Güeñes,EKOC | Güeñes - Gordexola,3,4,7,15,22
,,,,,,,,,,,,1,Bizkaia,2020-12-01,1,5,,53,58,COMBINADA,Bilbao,Bilbao San Silvestre,13,94,107,58,165
