fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,n_enlaces_sexo,tiene_sexo_identificado,candidato_lugar
youevent,3º Clasificatorio Campeonato de España de Duatlón - Alcobendas,2025-03-02,Domingo,0.0,Multidisciplina,Absoluta/General,0.0,40.0,Alcobendas,,Comunidad de Madrid,2,True,Clasificatorio Campeonato de España de Duatlón - Alcobendas
youevent,IBERIKA TRAIL - MATAELPINO 2025,2025-03-08,Sábado,0.0,trail running,Absoluta/General,64.0,309.0,El Boalo-Cerceda-Mataelpino,,Comunidad de Madrid,0,False,IBERIKA TRAIL - MATAELPINO
youevent,Duatlon Coslada 2025 - ESCOLAR,2025-03-08,Sábado,0.0,Multidisciplina,Infantil,111.0,152.0,Coslada,,Comunidad de Madrid,8,True,Coslada
youevent,Marcha Nordica Arnedo - Copa de España 2025,2025-03-08,Sábado,0.0,marcha,Absoluta/General,98.0,109.0,Madrid,,Comunidad de Madrid,0,False,Marcha Nordica Arnedo - Copa de España
youevent,Duatlon Rivas 2025 - ESCOLAR,2025-03-15,Sábado,0.0,Multidisciplina,Infantil,243.0,292.0,Rivas-Vaciamadrid,,Comunidad de Madrid,10,True,Rivas
youevent,XVI Viña del Ajo,2025-03-16,Domingo,0.0,road running,Absoluta/General,7.0,31.0,Muñoveros,,Castilla y León,0,False,Viña del Ajo
youevent,"VII VillareTrail ""Museo de los Tercios""",2025-03-16,Domingo,0.0,trail running,Absoluta/General,8.0,52.0,El Puerto de Santa María,Bahía de Cádiz,Andalucía,0,False,"VillareTrail ""Museo de los Tercios"""
youevent,VIII Lupiana Trail,2025-03-22,Sábado,0.0,trail running,Absoluta/General,22.0,113.0,,,,0,False,Lupiana Trail
youevent,Cross Escolar Colmenar Viejo 2025,2025-03-23,Domingo,0.0,trail running,Infantil,269.0,267.0,,,,12,True,Colmenar Viejo
youevent,VIII Trail de la Alcarruela,2025-03-29,Sábado,0.0,trail running,Absoluta/General,0.0,0.0,Brihuega,,Castilla-La Mancha,0,False,la Alcarruela
youevent,Media Maratón de Segovia 2025,2025-03-29,Sábado,0.0,road running,Absoluta/General,25.0,153.0,Segovia,,Castilla y León,0,False,Segovia
youevent,XXXI Duathlon Cross Villa de Alpedrete - Campeonato Sprint de Madrid,2025-03-30,Domingo,0.0,trail running,Absoluta/General,24.0,135.0,Madrid,,Comunidad de Madrid,2,True,Duathlon Cross Villa de Alpedrete - Campeonato Sprint de Madrid
youevent,Valdesaz - MTB Circuito Guadalajara 2025,2025-03-30,Domingo,0.0,Ciclismo y btt,Absoluta/General,11.0,0.0,Molina de Aragón,,Castilla-La Mancha,0,False,Valdesaz - MTB Circuito Guadalajara
youevent,I Trail Revolao de Valfermoso de Tajuña,2025-04-05,Sábado,0.0,trail running,Absoluta/General,35.0,94.0,Valfermoso de Tajuña,,Castilla-La Mancha,0,False,Revolao de Valfermoso de Tajuña
youevent,Campeonato Madrid Skimo Vertical 2025,2025-04-05,Sábado,0.0,trail running,Absoluta/General,8.0,7.0,,,,0,False,Madrid Skimo Vertical
youevent,Campeonato Madrileño de Snow Running 2025,2025-04-05,Sábado,0.0,road running,Absoluta/General,0.0,0.0,,,,0,False,Madrileño de Snow Running
youevent,Marcha Nordica Crevillente - Copa de España 2025,2025-04-05,Sábado,0.0,marcha,Absoluta/General,74.0,108.0,Madrid,,Comunidad de Madrid,0,False,Marcha Nordica Crevillente - Copa de España
youevent,Duatlón del Jarama 2025 - MEDIA DISTANCIA,2025-04-06,Domingo,0.0,Multidisciplina,Absoluta/General,0.0,0.0,,,Comunidad de Madrid,2,True,Jarama
youevent,Duatlón del Jarama 2025 - OLIMPICO,2025-04-06,Domingo,0.0,Multidisciplina,Absoluta/General,0.0,0.0,,,Comunidad de Madrid,2,True,Jarama
youevent,DUATLÓN DEL JARAMA 2025 - SPRINT Sin Drafting,2025-04-06,Domingo,0.0,Multidisciplina,Absoluta/General,0.0,0.0,,,Comunidad de Madrid,0,False,JARAMA
youevent,Arganza Trail 2025,2025-04-06,Domingo,0.0,trail running,Absoluta/General,21.0,105.0,,,,0,False,Arganza Trail
youevent,X Carrera Mondejana y Ruta Senderista,2025-04-06,Domingo,0.0,road running,Absoluta/General,0.0,0.0,Algarrobo,La Axarquía,Andalucía,0,False,Mondejana y Ruta Senderista
youevent,XVIII Miria Villa de Torija,2025-04-06,Domingo,0.0,road running,Absoluta/General,20.0,72.0,Torija,,Castilla-La Mancha,0,False,Miria Villa de Torija
youevent,XII Carrera Pedestre La Pirona,2025-04-12,Sábado,0.0,road running,Absoluta/General,6.0,31.0,Torreiglesias,,Castilla y León,0,False,La Pirona
youevent,XXIII Carrera Popular Bomberos Ayuntamiento Guadalajara,2025-04-12,Sábado,0.0,road running,Absoluta/General,0.0,0.0,Guadalajara,,Castilla-La Mancha,0,False,Bomberos Ayuntamiento Guadalajara
youevent,III Carrera Popular Fiestas Patronales de Talamanca,2025-04-12,Sábado,0.0,road running,Absoluta/General,0.0,0.0,El Casar,,Castilla-La Mancha,0,False,Patronales de Talamanca
youevent,VII DUATLÓN CROSS VILLASANDINO,2025-04-26,Sábado,0.0,Multidisciplina,Absoluta/General,15.0,43.0,Villasandino,,Castilla y León,0,False,VILLASANDINO
youevent,XVI Carrera Pedestre y Marcha Andariegos CARRALAGUNAS,2025-04-26,Sábado,0.0,marcha,Absoluta/General,34.0,96.0,,,,0,False,y Marcha Andariegos CARRALAGUNAS
youevent,Duatlón Las Perlas 2025 - ESCOLAR,2025-04-26,Sábado,0.0,Multidisciplina,Infantil,143.0,189.0,Zamora,,Zamora,8,True,Las Perlas
youevent,1ª PRUEBA COPA MADRILEÑA DE MARCHA NÓRDICA TRES CANTOS 2025,2025-04-26,Sábado,0.0,marcha,Absoluta/General,65.0,50.0,Tres Cantos,,Comunidad de Madrid,0,False,PRUEBA COPA MADRILEÑA DE MARCHA NÓRDICA TRES CANTOS
youevent,Trail Calamochos Casavieja 2025,2025-04-26,Sábado,0.0,trail running,Absoluta/General,15.0,98.0,Casavieja,,Castilla y León,0,False,Calamochos Casavieja
youevent,8º Duatlón Cross Moralzarzal - Campeonato Super Sprint de Madrid,2025-04-27,Domingo,0.0,Multidisciplina,Absoluta/General,3.0,51.0,Madrid,,Comunidad de Madrid,2,True,Moralzarzal - Campeonato Super Sprint de Madrid
youevent,Kilómetro Vertical Puerto del Alacrán 2025,2025-04-27,Domingo,0.0,trail running,Absoluta/General,12.0,4.0,Piedralaves,,Castilla y León,0,False,Puerto del Alacrán
youevent,K-22 Peñalara 2025,2025-04-27,Domingo,0.0,road running,Absoluta/General,36.0,129.0,Villaseco de los Gamitos,,Castilla y León,0,False,K-22 Peñalara
youevent,XXVII Carrera Popular de Colmenarejo,2025-04-27,Domingo,0.0,road running,Absoluta/General,0.0,0.0,,,,0,False,Colmenarejo
