fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,finisher_desconocido,id,modalidad,comunidad_autonoma
mychip,"IX Amanece por chiva, Maratón Nocturno",2026-06-06,Sábado,41.0,trail running,Absoluta/General,2,57,Chiva,La Hoya de Buñol,Valencia,0,3350,42k,Comunitat Valenciana
mychip,"IX Amanece por chiva, Maratón Nocturno",2026-06-06,Sábado,29.0,trail running,Absoluta/General,8,65,Chiva,La Hoya de Buñol,Valencia,0,3350,28k,Comunitat Valenciana
mychip,"IX Amanece por chiva, Maratón Nocturno",2026-06-06,Sábado,15.0,trail running,Absoluta/General,24,79,Chiva,La Hoya de Buñol,Valencia,0,3350,14k,Comunitat Valenciana
mychip,XXXVI Gran Fons de Massanassa,2026-06-06,Sábado,15.0,road running,Absoluta/General,103,485,Massanassa,,Valencia,0,3366,Gran Fons,Valencian Community
mychip,X Woman Trail,2026-06-06,Sábado,10.0,trail running,Absoluta/General,531,0,la Vall d'Uixó,la Plana Baixa,Castellón,0,3368,WOMAN TRAIL,Comunitat Valenciana
mychip,X Woman Trail,2026-06-06,Sábado,0.0,trail running,Absoluta/General,0,0,la Vall d'Uixó,la Plana Baixa,Castellón,0,3368,Samarreta + Donatiu,Comunitat Valenciana
mychip,"XIII CROSS LA ENCINA ""VUELTA AL ROCÍN""",2026-06-06,Sábado,10.0,trail running,Absoluta/General,0,0,La Encina,,Alicante,0,3377,Carrera,Valencian Community
mychip,"XIII CROSS LA ENCINA ""VUELTA AL ROCÍN""",2026-06-06,Sábado,10.0,trail running,Absoluta/General,0,0,La Encina,,Alicante,0,3377,Marcha senderista,Valencian Community
mychip,"Gala Circuit Tral Marina 2026, Molí de Xirles",2026-06-05,Viernes,0.0,road running,Absoluta/General,0,0,Polop,la Marina Baixa,Alicante,0,3378,Gala Circuit,Comunitat Valenciana
mychip,43a VOLTA AL TERME DE FONDEGUILLA,2026-05-30,Sábado,34.5,trail running,Absoluta/General,31,216,Alfondeguilla,,Castellón,1,3353,VTF-26,Valencian Community
mychip,43a VOLTA AL TERME DE FONDEGUILLA,2026-05-30,Sábado,14.0,trail running,Cadete/Juvenil,0,5,Alfondeguilla,,Castellón,0,3353,Cadete - Júnior,Valencian Community
mychip,"Trail las 7 Sendas - Siete Aguas, 2026",2026-05-24,Domingo,19.0,trail running,Absoluta/General,44,187,Siete Aguas,La Hoya de Buñol,Valencia,0,3357,20K,Comunitat Valenciana
mychip,"Trail las 7 Sendas - Siete Aguas, 2026",2026-05-24,Domingo,12.0,trail running,Absoluta/General,85,201,Siete Aguas,La Hoya de Buñol,Valencia,0,3357,12K,Comunitat Valenciana
mychip,"Trail las 7 Sendas - Siete Aguas, 2026",2026-05-24,Domingo,12.0,trail running,Absoluta/General,57,36,Siete Aguas,La Hoya de Buñol,Valencia,0,3357,Caminata,Comunitat Valenciana
mychip,Naranjas a domicilio 2026,2026-05-23,Sábado,0.0,Otros,Absoluta/General,0,0,Alberic,la Ribera Alta,Valencia,0,3336,Naranjas a domicilio,Comunitat Valenciana
mychip,"3ª Prueba de Liga Infantil de Escalada - Jocs Esportius FEMECV 2026, València",2026-05-23,Sábado,0.0,Otros,Absoluta/General,0,0,València,,Valencia,0,3376,LIE,Comunitat Valenciana
mychip,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",2026-05-22,Viernes,1.56,road running,Absoluta/General,12,46,Alcoy/alcoi,,Alicante,0,3361,Milla,Valencian Community
mychip,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",2026-05-22,Viernes,1.56,road running,Absoluta/General,0,0,Alcoy/alcoi,,Alicante,0,3361,Caminata,Valencian Community
mychip,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",2026-05-22,Viernes,0.0,road running,Infantil,0,0,Alcoy/alcoi,,Alicante,0,3361,Menores,Valencian Community
mychip,"VIII Milla solidaria Esclaves SCJ, Fundación Nirvel",2026-05-22,Viernes,0.0,road running,Otros,0,0,Alcoy/alcoi,,Alicante,0,3361,dorsal 0,Valencian Community
mychip,"Campionat Autonòmic de CxM FEMECV 2026, Bolulla",2026-05-17,Domingo,25.98,trail running,Absoluta/General,17,53,Bolulla,la Marina Baixa,Alicante,0,3346,Absoluta 21k FEMECV,Comunitat Valenciana
