fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,id,modalidad
carreirasgalegas,"VI CROS COMARCAL ""A MARIÑA LUCENSE"" CTO. PROVINCIAL CAMPO A TRAVÉS.",2023-02-12,Domingo,5.0,road running,Infantil,0,0,Lourenzá,A Mariña Central,Lugo,7glYkk9V,JUNIOR
carreirasgalegas,"VI CROS COMARCAL ""A MARIÑA LUCENSE"" CTO. PROVINCIAL CAMPO A TRAVÉS.",2023-02-12,Domingo,5.001,road running,Absoluta/General,0,0,Lourenzá,A Mariña Central,Lugo,7glYkk9V,SENIOR
carreirasgalegas,"VI CROS COMARCAL ""A MARIÑA LUCENSE"" CTO. PROVINCIAL CAMPO A TRAVÉS.",2023-02-12,Domingo,5.002,road running,Mayores/Veteranos,0,0,Lourenzá,A Mariña Central,Lugo,7glYkk9V,MÁSTER
carreirasgalegas,VI CROS DE ANTIOQUÍA 2025 - APRAZADA,2025-01-26,Domingo,6.0,road running,Absoluta/General,0,0,Xinzo de Limia,A Limia,Ourense,vojQk1mx,ABSOLUTA 6K
carreirasgalegas,VI EDICIÓN 100KM OURENSE - LALÍN - SANTIAGO (CANCELADA),2022-05-28,Sábado,52.0,Otros,Absoluta/General,0,0,Ourense,,Ourense,xKj6dAmR,Ourense - Lalín
carreirasgalegas,VI EDICIÓN 100KM OURENSE - LALÍN - SANTIAGO (CANCELADA),2022-05-28,Sábado,57.0,Otros,Absoluta/General,0,0,Ourense,,Ourense,xKj6dAmR,Lalín - Santiago
carreirasgalegas,VI EDICIÓN 100KM OURENSE - LALÍN - SANTIAGO (CANCELADA),2022-05-28,Sábado,108.999,Otros,Absoluta/General,0,0,Ourense,,Ourense,xKj6dAmR,RELEVOS 109K
carreirasgalegas,VI EDICIÓN 100KM OURENSE - LALÍN - SANTIAGO (CANCELADA),2022-05-28,Sábado,109.0,Otros,Otros,0,0,Ourense,,Ourense,xKj6dAmR,109KM
carreirasgalegas,VI MILLA LOURENZÁ FIN DE ETAPA CAMIÑO NORTE,2023-08-26,Sábado,0.25,road running,Infantil,0,0,Lourenzá,A Mariña Central,Lugo,gemDgVlD,SUB 8
carreirasgalegas,VI MILLA LOURENZÁ FIN DE ETAPA CAMIÑO NORTE,2023-08-26,Sábado,1.609,road running,Absoluta/General,0,0,Lourenzá,A Mariña Central,Lugo,gemDgVlD,MILLA FEMININA; MILLA MASCULINA
carreirasgalegas,VI MILLA NOCTURNA CONCELLO DE MUGARDOS,2023-10-28,Sábado,0.15,road running,Infantil,0,0,Mugardos,Ferrol,A Coruña,yz9zz69q,PREBENXAMÍN
carreirasgalegas,VI MILLA NOCTURNA CONCELLO DE MUGARDOS,2023-10-28,Sábado,0.8,road running,Infantil,0,0,Mugardos,Ferrol,A Coruña,yz9zz69q,SUB 10; SUB 12
carreirasgalegas,VI MILLA NOCTURNA CONCELLO DE MUGARDOS,2023-10-28,Sábado,1.609,road running,Absoluta/General,0,0,Mugardos,Ferrol,A Coruña,yz9zz69q,MILLA ABS FEM; MILLA ABS MASC
carreirasgalegas,VI MILLA NOCTURNA CONCELLO DE MUGARDOS,2023-10-28,Sábado,1.609,road running,Infantil,0,0,Mugardos,Ferrol,A Coruña,yz9zz69q,SUB 14; SUB 18 - 20 e SUB 16
