fuente,nombre_carrera,fecha,dia_semana,distancia,tipo_modalidad,publico,finisher_d,finisher_h,municipio,comarca,provincia,id,modalidad
carreirasgalegas,VII MILLA LOURENZÁ - CTO. XUNTA DE GALICIA,2024-06-01,Sábado,1.609,road running,Absoluta/General,22,52,Lourenzá,A Mariña Central,Lugo,Ov9OZqmL,ABS FEM; ABS MASC; M40 + MASC; MILLA POPULAR
carreirasgalegas,VII MILLA NOCTURNA CONCELLO DE MUGARDOS,2024-10-26,Sábado,0.15,road running,Infantil,0,0,Mugardos,Ferrol,A Coruña,0YjMVel4,PREBENXAMÍN
carreirasgalegas,VII MILLA NOCTURNA CONCELLO DE MUGARDOS,2024-10-26,Sábado,0.8,road running,Infantil,8,11,Mugardos,Ferrol,A Coruña,0YjMVel4,SUB 10; SUB 12
carreirasgalegas,VII MILLA NOCTURNA CONCELLO DE MUGARDOS,2024-10-26,Sábado,1.609,road running,Absoluta/General,18,20,Mugardos,Ferrol,A Coruña,0YjMVel4,MILLA ABS FEM; MILLA ABS MASC
carreirasgalegas,VII MILLA NOCTURNA CONCELLO DE MUGARDOS,2024-10-26,Sábado,1.609,road running,Infantil,7,2,Mugardos,Ferrol,A Coruña,0YjMVel4,SUB 16 E SUB 14
carreirasgalegas,VII MILLA NOCTURNA CONCELLO DE MUGARDOS,2024-10-26,Sábado,1.609,road running,Mayores/Veteranos,0,17,Mugardos,Ferrol,A Coruña,0YjMVel4,MASTER B - C MASC.
carreirasgalegas,VII SAN SILVESTRE CONCELLO DE FENE,2019-12-28,Sábado,1.0,road running,Infantil,0,0,Fene,Ferrol,A Coruña,L6lZaBj1,CARREIRAS MENORES
carreirasgalegas,VII SAN SILVESTRE CONCELLO DE FENE,2019-12-28,Sábado,2.5,marcha,Absoluta/General,0,0,Fene,Ferrol,A Coruña,L6lZaBj1,ANDAINA
carreirasgalegas,VII SAN SILVESTRE CONCELLO DE FENE,2019-12-28,Sábado,5.0,road running,Absoluta/General,0,0,Fene,Ferrol,A Coruña,L6lZaBj1,CARREIRA ABSOLUTA
carreirasgalegas,VII SAN SILVESTRE DE ORDES,2024-12-31,Martes,3.9,road running,Absoluta/General,0,0,Ordes,Ordes,A Coruña,769NXqlx,CORRE OU ANDA
carreirasgalegas,VII SAN SILVESTRE OURENSÁ,2022-12-31,Sábado,0.07,Otros,Infantil,0,0,Ourense,,Ourense,wBlp5XmQ,PITUFOS
carreirasgalegas,VII SAN SILVESTRE OURENSÁ,2022-12-31,Sábado,1.0,Otros,Infantil,0,0,Ourense,,Ourense,wBlp5XmQ,SUB 10 E SUB 12
carreirasgalegas,VII SAN SILVESTRE OURENSÁ,2022-12-31,Sábado,4.66,road running,Absoluta/General,0,0,Ourense,,Ourense,wBlp5XmQ,ABSOLUTA
carreirasgalegas,VII TRAIL DAS BESTAS. CTO. XUNTA DE GALICIA TRAIL RUNNING MARATÓN,2024-07-07,Domingo,44.5,road running,Absoluta/General,9,57,Muras,Terra Chá,Lugo,Maj4wo94,CAMPIONATO TR MARATÓN; XERAL TR MARATÓN
carreirasgalegas,VII TRAIL E ANDAINA RIBEIRAS DO TAMBRE -  III CTO. XUNTA DE GALICIA DE TR PRECLASSIC,2026-03-08,Domingo,8.0,trail running,Absoluta/General,61,106,Ames - Ponte Maceira,,,P92x3Xlo,CTO. TL PRECLASSIC; TRAIL CURTO
carreirasgalegas,VII TRAIL E ANDAINA RIBEIRAS DO TAMBRE -  III CTO. XUNTA DE GALICIA DE TR PRECLASSIC,2026-03-08,Domingo,15.0,trail running,Absoluta/General,0,0,Ames - Ponte Maceira,,,P92x3Xlo,CAMIÑADA
