ciutat,comarca_regio,coord_1,coord_2,data,distancia_m,en_meta,en_meta_d,en_meta_h,en_meta_other,esport,estat_cursa,event_numeric_id,event_slug,event_url,inscrits_d,inscrits_h,inscrits_other,modalitat_id,modalitat_nom,no_presentats,no_presentats_d,no_presentats_h,no_presentats_other,nom_cursa,pais,provincia_estat,retirats,retirats_d,retirats_h,retirats_other,sortida_donada,sortida_donada_d,sortida_donada_h,sortida_donada_other,total_inscrits
Simat de la Valldigna,la Safor,39.0423901,-0.307236,2026-02-07T00:00:00Z,11000,78,49,29,,trail_running,finished_official,3286,v-simat-trail-simat-de-la-valldigna-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/v-simat-trail-simat-de-la-valldigna-lliga-de-muntanya-valencia-sud-2526,54,34,,687a2ef58e800c0f52aa1e28,Sender,10,5,5,,"V Simat trail, Simat de la Valldigna, LLiga de Muntanya València Sud, 25/26",España,Comunitat Valenciana,,0,0,,78,49,29,,88
Alginet,,39.2570335,-0.4725015,2026-02-07T00:00:00Z,21000,51,4,47,,trail_running,finished_official,3315,x-tomaca-trail,https://www.mychip.es/e/x-tomaca-trail,4,50,,690ca89b26896b8486d3835d,21k,3,0,3,,X TOMACA TRAIL,Spain,Valencian Community,,0,0,,51,4,47,,54
Alginet,,39.2570335,-0.4725015,2026-02-07T00:00:00Z,10000,142,33,109,,trail_running,finished_official,3315,x-tomaca-trail,https://www.mychip.es/e/x-tomaca-trail,37,125,,690ca89c26896b8486d3835e,10k,20,4,16,,X TOMACA TRAIL,Spain,Valencian Community,,0,0,,142,33,109,,162
Alginet,,39.2570335,-0.4725015,2026-02-07T00:00:00Z,10000,151,88,63,,trail_running,finished_official,3315,x-tomaca-trail,https://www.mychip.es/e/x-tomaca-trail,99,78,,690ca89d26896b8486d3835f,Sender 10k,26,11,15,,X TOMACA TRAIL,Spain,Valencian Community,,0,0,,151,88,63,,177
Enguera,La Canal de Navarrés,38.9821379,-0.6869193,2026-02-01T00:00:00Z,20000,73,8,65,,trail_running,finished_official,3252,xiii-trail-umbria-la-plana-enguera,https://www.mychip.es/e/xiii-trail-umbria-la-plana-enguera,14,80,,6835b98f940c9c88d6f6b589,"Trail 20,5k, 1500m/+",18,5,13,,"XIII TRAIL UMBRÍA – LA PLANA, Enguera",España,Comunitat Valenciana,3,1,2,,76,9,67,,94
Enguera,La Canal de Navarrés,38.9821379,-0.6869193,2026-02-01T00:00:00Z,10000,115,23,92,,trail_running,finished_official,3252,xiii-trail-umbria-la-plana-enguera,https://www.mychip.es/e/xiii-trail-umbria-la-plana-enguera,33,108,,6835b990940c9c88d6f6b58a,"Speed trail 10,5km, 800m/+",26,10,16,,"XIII TRAIL UMBRÍA – LA PLANA, Enguera",España,Comunitat Valenciana,,0,0,,115,23,92,,141
Enguera,La Canal de Navarrés,38.9821379,-0.6869193,2026-02-01T00:00:00Z,10000,142,77,65,,trail_running,finished_official,3252,xiii-trail-umbria-la-plana-enguera,https://www.mychip.es/e/xiii-trail-umbria-la-plana-enguera,94,76,,6835b990940c9c88d6f6b58b,Marcha Senderista,28,17,11,,"XIII TRAIL UMBRÍA – LA PLANA, Enguera",España,Comunitat Valenciana,,0,0,,142,77,65,,170
la Vilavella,la Plana Baixa,39.8588983,-0.1849074,2026-02-01T00:00:00Z,17000,392,73,319,,trail_running,finished_official,3302,xxvi-marxa-de-muntanya-sant-sebastia-de-la-vilavella,https://www.mychip.es/e/xxvi-marxa-de-muntanya-sant-sebastia-de-la-vilavella,91,361,,68d3f81e273970be97f5bf6a,17k,56,17,39,,XXVI MARXA DE MUNTANYA “SANT SEBASTIÀ” DE LA VILAVELLA,España,Comunitat Valenciana,4,1,3,,396,74,322,,452
la Vilavella,la Plana Baixa,39.8588983,-0.1849074,2026-02-01T00:00:00Z,11000,305,121,184,,trail_running,finished_official,3302,xxvi-marxa-de-muntanya-sant-sebastia-de-la-vilavella,https://www.mychip.es/e/xxvi-marxa-de-muntanya-sant-sebastia-de-la-vilavella,147,219,,68d3f81e273970be97f5bf6b,11k,59,23,35,,XXVI MARXA DE MUNTANYA “SANT SEBASTIÀ” DE LA VILAVELLA,España,Comunitat Valenciana,2,2,0,,307,123,184,,366
Xàbia / Jávea,la Marina Alta,38.7712675,0.1920261,2026-02-01T00:00:00Z,14000,403,149,254,,trail_running,finished_official,3305,granadella-trail-2026,https://www.mychip.es/e/granadella-trail-2026,190,348,,68df76b1423a9d904a32833a,Sprint Trail 14k,124,39,85,,Granadella Trail 2026,España,Comunitat Valenciana,11,2,9,,414,151,263,,538
Xàbia / Jávea,la Marina Alta,38.7712675,0.1920261,2026-02-01T00:00:00Z,21000,341,90,251,,trail_running,finished_official,3305,granadella-trail-2026,https://www.mychip.es/e/granadella-trail-2026,99,315,,68df7a3794897e40e6336794,"21K, Media Maratón",73,9,64,,Granadella Trail 2026,España,Comunitat Valenciana,,0,0,,341,90,251,,414
Xàbia / Jávea,la Marina Alta,38.7712675,0.1920261,2026-02-01T00:00:00Z,5650,52,28,24,,trail_running,finished_official,3305,granadella-trail-2026,https://www.mychip.es/e/granadella-trail-2026,41,40,,68df7a3794897e40e6336795,"5K, Short trail",29,13,16,,Granadella Trail 2026,España,Comunitat Valenciana,,0,0,,52,28,24,,81
Xàbia / Jávea,la Marina Alta,38.7712675,0.1920261,2026-02-01T00:00:00Z,,,0,0,,trail_running,finished_official,3305,granadella-trail-2026,https://www.mychip.es/e/granadella-trail-2026,62,99,,68df76b1423a9d904a32833b,Menores,161,62,99,,Granadella Trail 2026,España,Comunitat Valenciana,,0,0,,0,0,0,,161
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,18500,141,41,100,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,45,109,,693d183531f7a36c5331989f,Absoluta 21k FEDME,12,3,9,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,1,1,0,,142,42,100,,154
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,12000,13,6,7,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,6,7,,693d183631f7a36c533198a0,Júnior FEDME,0,0,0,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,,0,0,,13,6,7,,13
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,12000,10,3,7,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,3,8,,693d183631f7a36c533198a1,Juvenil FEDME,1,0,1,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,,0,0,,10,3,7,,11
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,12000,16,5,11,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,5,12,,693d183731f7a36c533198a2,Cadete FEDME,0,0,0,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,1,0,1,,17,5,12,,17
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,9000,9,3,6,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,3,6,,693d183831f7a36c533198a3,Infantil FEDME,0,0,0,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,,0,0,,9,3,6,,9
Ròtova,la Safor,38.93198,-0.2578988,2026-02-01T00:00:00Z,18500,,0,0,,trail_running,finished_official,3329,1-prueba-de-liga-de-cxm-femecv-2026-rotova,https://www.mychip.es/e/1-prueba-de-liga-de-cxm-femecv-2026-rotova,0,0,,693d183831f7a36c533198a4,"Invidentes, FEDME",0,0,0,,"1ª Prueba de Liga de CxM FEMECV 2026, Ròtova",España,Comunitat Valenciana,,0,0,,0,0,0,,0
Polop,,38.6220969,-0.1265468,2026-01-25T00:00:00Z,24000,133,30,103,,trail_running,finished_official,3272,ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,https://www.mychip.es/e/ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,32,121,,6879041ff5796ab9af0267ec,"24k Ponoig, Mitjes CTM",14,2,12,,"IX Trail Monte Ponoig, Polop de la Marina, CTM 25/26",Spain,Valencian Community,6,0,6,,139,30,109,,153
Polop,,38.6220969,-0.1265468,2026-01-25T00:00:00Z,16000,236,66,170,,trail_running,finished_official,3272,ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,https://www.mychip.es/e/ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,75,195,,6879041ff5796ab9af0267ed,"Sprint Trail Ponoig, Sprint CTM",32,9,22,,"IX Trail Monte Ponoig, Polop de la Marina, CTM 25/26",Spain,Valencian Community,2,0,2,,238,66,172,,270
Polop,,38.6220969,-0.1265468,2026-01-25T00:00:00Z,10000,82,42,40,,trail_running,finished_official,3272,ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,https://www.mychip.es/e/ix-trail-monte-ponoig-polop-de-la-marina-ctm-2526,45,41,,68790420f5796ab9af0267ee,Sender Ponoig,4,3,1,,"IX Trail Monte Ponoig, Polop de la Marina, CTM 25/26",Spain,Valencian Community,,0,0,,82,42,40,,86
Callosa d'en Sarrià,la Marina Baixa,38.6517313,-0.1207607,2026-01-18T00:00:00Z,22000,114,23,91,,trail_running,finished_official,3271,vii-almedia-trail-callosa-den-sarria-ctm-2526,https://www.mychip.es/e/vii-almedia-trail-callosa-den-sarria-ctm-2526,27,104,,6879009ad4a792f63f4fa634,"Almèdia Trail, Mitjes CTM",16,4,12,,"VII ALMÈDIA TRAIL, CALLOSA D'EN SARRIÀ, CTM 25/26",España,Comunitat Valenciana,1,0,1,,115,23,92,,131
Callosa d'en Sarrià,la Marina Baixa,38.6517313,-0.1207607,2026-01-18T00:00:00Z,15000,284,82,202,,trail_running,finished_official,3271,vii-almedia-trail-callosa-den-sarria-ctm-2526,https://www.mychip.es/e/vii-almedia-trail-callosa-den-sarria-ctm-2526,97,230,,6879009bd4a792f63f4fa635,"Sprint Trail Almèdia, Sprint CTM",36,13,23,,"VII ALMÈDIA TRAIL, CALLOSA D'EN SARRIÀ, CTM 25/26",España,Comunitat Valenciana,7,2,5,,291,84,207,,327
Callosa d'en Sarrià,la Marina Baixa,38.6517313,-0.1207607,2026-01-18T00:00:00Z,12500,73,41,32,,trail_running,finished_official,3271,vii-almedia-trail-callosa-den-sarria-ctm-2526,https://www.mychip.es/e/vii-almedia-trail-callosa-den-sarria-ctm-2526,46,34,,6879009cd4a792f63f4fa636,Sender,7,5,2,,"VII ALMÈDIA TRAIL, CALLOSA D'EN SARRIÀ, CTM 25/26",España,Comunitat Valenciana,,0,0,,73,41,32,,80
Callosa d'en Sarrià,la Marina Baixa,38.6517313,-0.1207607,2026-01-18T00:00:00Z,,,0,0,,trail_running,finished_official,3271,vii-almedia-trail-callosa-den-sarria-ctm-2526,https://www.mychip.es/e/vii-almedia-trail-callosa-den-sarria-ctm-2526,5,2,,69009664e3546c2b3f5cdb4b,Menores de 12 años,7,0,0,,"VII ALMÈDIA TRAIL, CALLOSA D'EN SARRIÀ, CTM 25/26",España,Comunitat Valenciana,,0,0,,7,0,0,,7
Barxeta,la Costera,39.0226051,-0.4159651,2026-01-18T00:00:00Z,42000,85,10,75,,trail_running,finished_official,3284,serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,11,90,,687a2468d49907d588c957fb,42k,16,1,14,,"SERRALADES DE BARXETA - MABU, 2026, LLiga de Muntanya València Sud, 25/26",España,Comunitat Valenciana,,0,0,,85,10,75,,101
Barxeta,la Costera,39.0226051,-0.4159651,2026-01-18T00:00:00Z,20500,210,34,176,,trail_running,finished_official,3284,serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,38,198,,687a2468d49907d588c957fc,"20k, LMVS Mitjes",25,3,22,,"SERRALADES DE BARXETA - MABU, 2026, LLiga de Muntanya València Sud, 25/26",España,Comunitat Valenciana,1,1,0,,211,35,176,,236
Barxeta,la Costera,39.0226051,-0.4159651,2026-01-18T00:00:00Z,12500,348,101,247,,trail_running,finished_official,3284,serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,113,283,,687a2469d49907d588c957fd,"12k, LMVS SPRINT",47,12,35,,"SERRALADES DE BARXETA - MABU, 2026, LLiga de Muntanya València Sud, 25/26",España,Comunitat Valenciana,1,0,1,,349,101,248,,396
Barxeta,la Costera,39.0226051,-0.4159651,2026-01-18T00:00:00Z,12000,180,94,86,,trail_running,finished_official,3284,serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/serralades-de-barxeta-mabu-2026-lliga-de-muntanya-valencia-sud-2526,107,94,,687a2469d49907d588c957fe,Sender,21,13,8,,"SERRALADES DE BARXETA - MABU, 2026, LLiga de Muntanya València Sud, 25/26",España,Comunitat Valenciana,,0,0,,180,94,86,,201
Benissa,la Marina Alta,38.7172335,0.0540053,2026-01-18T00:00:00Z,,,0,0,,climbing,finished_official,3340,1-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026,https://www.mychip.es/e/1-prueba-de-liga-infantil-de-escalada-jocs-esportius-femecv-2026,26,27,,694a3925ff0d1c58fb180442,LIE,53,0,0,,1ª Prueba de Liga Infantil de Escalada - Jocs Esportius FEMECV 2026,España,Comunitat Valenciana,,0,0,,53,0,0,,53
Benissa,la Marina Alta,38.7172335,0.0540053,2026-01-17T00:00:00Z,,,0,0,,climbing,finished_official,3338,1-prueba-de-copa-de-escalada-en-bloque-femecv-2026-y-la-1-copa-de-escalada-jocs-esportius-femecv-202,https://www.mychip.es/e/1-prueba-de-copa-de-escalada-en-bloque-femecv-2026-y-la-1-copa-de-escalada-jocs-esportius-femecv-202,11,21,,69497b4b0ed7fa929549cfb6,Copa Bloque,32,0,0,,1ª Prueba de Copa de Escalada en Bloque FEMECV 2026,España,Comunitat Valenciana,,0,0,,32,0,0,,32
Benissa,la Marina Alta,38.7172335,0.0540053,2026-01-17T00:00:00Z,,,0,0,,climbing,finished_official,3339,1-copa-de-escalada-jocs-esportius-femecv-2026,https://www.mychip.es/e/1-copa-de-escalada-jocs-esportius-femecv-2026,13,22,,694a359ff188524a7df553cd,Copa Escalada,35,0,0,,1ª Copa de Escalada Jocs Esportius FEMECV 2026,España,Comunitat Valenciana,,0,0,,35,0,0,,35
La Vall D'uixó,,39.8242794,-0.2315379,2025-12-31T00:00:00Z,2000,,0,0,,running,finished_official,3324,san-silvestre-vallera-2025,https://www.mychip.es/e/san-silvestre-vallera-2025,404,525,,692ecff34b2d23e61f43fad5,San Silvestre,929,0,0,,San Silvestre Vallera 2025,Spain,Valencian Community,,0,0,,929,0,0,,929
Algemesí,,39.1925662,-0.4337524,2025-12-30T00:00:00Z,2000,,0,0,,running,finished_official,3327,xvi-sant-silvestre-algemesi-2025,https://www.mychip.es/e/xvi-sant-silvestre-algemesi-2025,111,128,,693ab0f78f39107d032784ba,Sant Silvestre,239,0,0,,"XVI Sant Silvestre Algemesí,  2025",Spain,Valencian Community,,0,0,,239,0,0,,239
Cullera,la Ribera Baixa,39.1637668,-0.255177,2025-12-28T00:00:00Z,,,0,0,,running,finished_official,3326,ix-san-silvestre-de-cullera,https://www.mychip.es/e/ix-san-silvestre-de-cullera,95,116,,69396a03dc6d1ea4947fd26a,San Silvestre,211,0,0,,IX SAN SILVESTRE DE CULLERA,España,Comunitat Valenciana,,0,0,,211,0,0,,211
Altea,la Marina Baixa,38.6046271,-0.0444489,2025-12-27T00:00:00Z,4000,440,198,242,,running,finished_official,3312,xii-san-silvestre-altea-2025,https://www.mychip.es/e/xii-san-silvestre-altea-2025,221,279,,690231b2827ab6730eed48eb,4k,60,23,36,,"XII San Silvestre, Altea 2025",España,Comunitat Valenciana,,0,0,,440,198,242,,500
Altea,la Marina Baixa,38.6046271,-0.0444489,2025-12-27T00:00:00Z,4000,,0,0,,running,finished_official,3312,xii-san-silvestre-altea-2025,https://www.mychip.es/e/xii-san-silvestre-altea-2025,5,3,,690231b3827ab6730eed48ec,Marcha Nórdica,8,0,0,,"XII San Silvestre, Altea 2025",España,Comunitat Valenciana,,0,0,,8,0,0,,8
Altea,la Marina Baixa,38.6046271,-0.0444489,2025-12-27T00:00:00Z,,,0,0,,running,finished_official,3312,xii-san-silvestre-altea-2025,https://www.mychip.es/e/xii-san-silvestre-altea-2025,93,90,,690231b3827ab6730eed48ed,Menores (0-15 años),183,0,0,,"XII San Silvestre, Altea 2025",España,Comunitat Valenciana,,0,0,,183,0,0,,183
Altea,la Marina Baixa,38.6046271,-0.0444489,2025-12-27T00:00:00Z,4000,,0,0,,running,finished_official,3312,xii-san-silvestre-altea-2025,https://www.mychip.es/e/xii-san-silvestre-altea-2025,18,14,,6902337982214af615532448,Caminata popular,32,0,0,,"XII San Silvestre, Altea 2025",España,Comunitat Valenciana,,0,0,,32,0,0,,32
Vallada,,38.8956914,-0.6917576,2025-12-21T00:00:00Z,22000,215,37,178,,trail_running,finished_official,3299,xiv-trail-muntanya-de-vallada,https://www.mychip.es/e/xiv-trail-muntanya-de-vallada,41,213,,68ce3a95c7f366e997281eb4,Trail 22k,37,4,33,,XIV Trail Muntanya de Vallada,Spain,Valencian Community,2,0,2,,217,37,180,,254
Vallada,,38.8956914,-0.6917576,2025-12-21T00:00:00Z,10000,291,72,219,,trail_running,finished_official,3299,xiv-trail-muntanya-de-vallada,https://www.mychip.es/e/xiv-trail-muntanya-de-vallada,91,256,,68ce3a96c7f366e997281eb5,Sprint Trail 10k,55,19,36,,XIV Trail Muntanya de Vallada,Spain,Valencian Community,1,0,1,,292,72,220,,347
Aranjuez,,40.0358273,-3.6007672,2025-12-21T00:00:00Z,10000,3595,1102,2493,,running,finished_official,3304,41-carrera-popular-caixabank-villa-de-aranjuez,https://www.mychip.es/e/41-carrera-popular-caixabank-villa-de-aranjuez,1322,2993,,68d41ec91ff0eff5e6988d86,10k,718,219,498,,41 CARRERA POPULAR CAIXABANK VILLA DE ARANJUEZ,España,Comunidad de Madrid,,0,0,,3597,1103,2493,,4315
Aranjuez,,40.0358273,-3.6007672,2025-12-21T00:00:00Z,,,0,0,,running,finished_official,3304,41-carrera-popular-caixabank-villa-de-aranjuez,https://www.mychip.es/e/41-carrera-popular-caixabank-villa-de-aranjuez,265,289,,68d41eca1ff0eff5e6988d87,Menores 2010 al 2020,554,0,0,,41 CARRERA POPULAR CAIXABANK VILLA DE ARANJUEZ,España,Comunidad de Madrid,,0,0,,554,0,0,,554
Aranjuez,,40.0358273,-3.6007672,2025-12-21T00:00:00Z,,,0,0,,running,finished_official,3304,41-carrera-popular-caixabank-villa-de-aranjuez,https://www.mychip.es/e/41-carrera-popular-caixabank-villa-de-aranjuez,51,57,,68d6221bd0ba8f56d2eab389,Chupetines 2021 al 2025,108,0,0,,41 CARRERA POPULAR CAIXABANK VILLA DE ARANJUEZ,España,Comunidad de Madrid,,0,0,,108,0,0,,108
Aranjuez,,40.0358273,-3.6007672,2025-12-21T00:00:00Z,425,,0,0,,running,finished_official,3304,41-carrera-popular-caixabank-villa-de-aranjuez,https://www.mychip.es/e/41-carrera-popular-caixabank-villa-de-aranjuez,3,7,,68d6221cd0ba8f56d2eab38a,Diversidad,10,0,0,,41 CARRERA POPULAR CAIXABANK VILLA DE ARANJUEZ,España,Comunidad de Madrid,,0,0,,10,0,0,,10
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,5000,493,161,332,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,192,401,,68ed27c46174bca8099fca6e,5k +14 AÑOS,99,31,67,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,1,0,1,,494,161,333,,593
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,5000,104,88,16,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,97,20,,68ed27c46174bca8099fca6f,Marcha no competitiva,13,9,4,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,,0,0,,104,88,16,,117
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,1400,43,20,23,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,23,36,,68ed27c56174bca8099fca70,11 A 13 AÑOS,16,3,13,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,,0,0,,43,20,23,,59
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,800,73,24,49,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,30,60,,68ed27c66174bca8099fca71,8 A 10 AÑOS,17,6,11,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,,0,0,,73,24,49,,90
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,400,51,20,31,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,25,35,,68ed27c66174bca8099fca72,De 6 a 7 años,9,5,4,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,,0,0,,51,20,31,,60
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4358809,-0.8401195,2025-12-21T00:00:00Z,400,76,32,44,,running,finished_official,3309,xxxv-san-silvestre-monovera,https://www.mychip.es/e/xxxv-san-silvestre-monovera,36,52,,68ed27c76174bca8099fca73,HASTA 5 AÑOS,12,4,8,,XXXV San Silvestre Monovera,España,Comunitat Valenciana,,0,0,,76,32,44,,88
Xeresa,la Safor,39.0100029,-0.217823,2025-12-20T00:00:00Z,22000,149,20,129,,trail_running,finished_official,3283,trail-xeresa-monduver-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/trail-xeresa-monduver-lliga-de-muntanya-valencia-sud-2526,22,156,,687a1657e37b244fbf5d775c,"21k, LMVS Mitjes",25,2,17,,X Trail Xeresa Monduver. Lliga de Muntanya València Sud. 25/26,España,Comunitat Valenciana,4,0,4,,153,20,133,,178
Xeresa,la Safor,39.0100029,-0.217823,2025-12-20T00:00:00Z,11000,248,68,180,,trail_running,finished_official,3283,trail-xeresa-monduver-lliga-de-muntanya-valencia-sud-2526,https://www.mychip.es/e/trail-xeresa-monduver-lliga-de-muntanya-valencia-sud-2526,80,215,,687a1658e37b244fbf5d775d,"11k, LMVS SPRINT",47,11,33,,X Trail Xeresa Monduver. Lliga de Muntanya València Sud. 25/26,España,Comunitat Valenciana,,0,0,,248,68,180,,295
Calp,la Marina Alta,38.6500115,0.0490181,2025-12-14T00:00:00Z,22000,105,18,87,,trail_running,finished_official,3270,xxi-trail-serra-dolta-calp-ctm-2526,https://www.mychip.es/e/xxi-trail-serra-dolta-calp-ctm-2526,28,110,,6878fd16f5796ab9af0267e8,"MM Oltà, Mitjes CTM 25/26",31,10,21,,"XXI TRAIL SERRA D'OLTÀ, CALP, CTM 25/26",España,Comunitat Valenciana,2,0,2,,107,18,89,,138
Calp,la Marina Alta,38.6500115,0.0490181,2025-12-14T00:00:00Z,14000,219,65,154,,trail_running,finished_official,3270,xxi-trail-serra-dolta-calp-ctm-2526,https://www.mychip.es/e/xxi-trail-serra-dolta-calp-ctm-2526,85,185,,6878fd17f5796ab9af0267e9,"Sprint Trail la Mola, Sprint CTM",47,18,29,,"XXI TRAIL SERRA D'OLTÀ, CALP, CTM 25/26",España,Comunitat Valenciana,4,2,2,,223,67,156,,270
Calp,la Marina Alta,38.6500115,0.0490181,2025-12-14T00:00:00Z,14000,76,39,37,,trail_running,finished_official,3270,xxi-trail-serra-dolta-calp-ctm-2526,https://www.mychip.es/e/xxi-trail-serra-dolta-calp-ctm-2526,56,47,,6878fd18f5796ab9af0267ea,Marxa la Mola,26,16,10,,"XXI TRAIL SERRA D'OLTÀ, CALP, CTM 25/26",España,Comunitat Valenciana,1,1,0,,77,40,37,,103
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4096572,-0.9552312,2025-12-14T00:00:00Z,23000,191,32,159,,trail_running,finished_official,3300,xix-carrera-por-montana-y-marcha-a-pie-serra-del-coto,https://www.mychip.es/e/xix-carrera-por-montana-y-marcha-a-pie-serra-del-coto,46,208,,68d0d68e3420d63dae08e520,"23k, TRAIL",60,12,48,,XIX CARRERA POR MONTAÑA Y MARCHA A PIÉ SERRA DEL COTO,España,Comunitat Valenciana,3,2,1,,194,34,160,,254
Monòver / Monóvar,el Vinalopó Mitjà / El Vinalopó Medio,38.4096572,-0.9552312,2025-12-14T00:00:00Z,14000,327,115,212,,trail_running,finished_official,3300,xix-carrera-por-montana-y-marcha-a-pie-serra-del-coto,https://www.mychip.es/e/xix-carrera-por-montana-y-marcha-a-pie-serra-del-coto,141,266,,68d0d68f3420d63dae08e521,14k TRAIL & SENDER,77,26,51,,XIX CARRERA POR MONTAÑA Y MARCHA A PIÉ SERRA DEL COTO,España,Comunitat Valenciana,3,0,3,,330,115,215,,407
Castelló De La Plana,,40.0144501,-0.0544864,2025-12-14T00:00:00Z,21000,,0,0,,running,finished_official,3335,tombatossals-2025,https://www.mychip.es/e/tombatossals-2025,0,0,,693d37d64305cd430ef56f0f,21k,0,0,0,,Tombatossals 2025,Spain,Valencian Community,,0,0,,0,0,0,,0
Castelló De La Plana,,40.0144501,-0.0544864,2025-12-14T00:00:00Z,11000,,0,0,,running,finished_official,3335,tombatossals-2025,https://www.mychip.es/e/tombatossals-2025,0,0,,693d37d74305cd430ef56f10,11k,0,0,0,,Tombatossals 2025,Spain,Valencian Community,,0,0,,0,0,0,,0
Chiva,La Hoya de Buñol,39.4716334,-0.7171724,2025-12-06T00:00:00Z,61000,75,11,64,,trail_running,finished_official,3288,xiv-carrera-por-montana-sierra-de-chiva-2025,https://www.mychip.es/e/xiv-carrera-por-montana-sierra-de-chiva-2025,13,93,,687f74f4e1d7e0424023e9eb,61k,20,0,20,,XIV Carrera por Montaña Sierra de Chiva.,España,Comunitat Valenciana,10,2,8,,86,13,73,,106
Chiva,La Hoya de Buñol,39.4716334,-0.7171724,2025-12-06T00:00:00Z,35000,107,17,90,,trail_running,finished_official,3288,xiv-carrera-por-montana-sierra-de-chiva-2025,https://www.mychip.es/e/xiv-carrera-por-montana-sierra-de-chiva-2025,17,126,,687f74f4e1d7e0424023e9ec,35k,28,0,28,,XIV Carrera por Montaña Sierra de Chiva.,España,Comunitat Valenciana,8,0,8,,115,17,98,,143
